timestamp,vel_pos_innov[0],vel_pos_innov[1],vel_pos_innov[2],vel_pos_innov[3],vel_pos_innov[4],vel_pos_innov[5],mag_innov[0],mag_innov[1],mag_innov[2],heading_innov,airspeed_innov,beta_innov,flow_innov[0],flow_innov[1],hagl_innov,vel_pos_innov_var[0],vel_pos_innov_var[1],vel_pos_innov_var[2],vel_pos_innov_var[3],vel_pos_innov_var[4],vel_pos_innov_var[5],mag_innov_var[0],mag_innov_var[1],mag_innov_var[2],heading_innov_var,airspeed_innov_var,beta_innov_var,flow_innov_var[0],flow_innov_var[1],hagl_innov_var,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],drag_innov[0],drag_innov[1],drag_innov_var[0],drag_innov_var[1],aux_vel_innov[0],aux_vel_innov[1]
88456670,0.0,0.0,0.0,-0.0046981503,0.019264873,-0.048828125,0.0,0.0,0.0,0.0032357574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25784224,0.2578422,4.060647,0.0,0.0,0.0,0.090148725,0.0,0.0,0.0,0.0,0.0,0.00015473478,0.00042775646,0.001434301,0.0,0.0,0.0,0.0,0.0,0.0
88665470,0.0,0.0,0.0,-0.004688419,0.018295148,-0.05090332,0.0,0.0,0.0,0.0049769282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2577221,0.2577222,4.060177,0.0,0.0,0.0,0.09014864,0.0,0.0,0.0,0.0,0.0,0.00018386614,0.0010153988,0.0033887809,0.0,0.0,0.0,0.0,0.0,0.0
88866270,0.0,0.0,0.0,-0.0044813557,0.018130602,-0.08282471,0.0,0.0,0.0,0.004591942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25778398,0.25778413,4.060364,0.0,0.0,0.0,0.09014865,0.0,0.0,0.0,0.0,0.0,0.00017903921,0.0012302437,0.0036763255,0.0,0.0,0.0,0.0,0.0,0.0
89067070,0.0,0.0,0.0,-0.004977739,0.017345946,0.1317749,0.0,0.0,0.0,0.0039259195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25776014,0.2577604,4.0602465,0.0,0.0,0.0,0.09014858,0.0,0.0,0.0,0.0,0.0,0.00018442185,0.0024514738,0.0077217193,0.0,0.0,0.0,0.0,0.0,0.0
89267870,0.0,0.0,0.0,-0.0055947923,0.016751606,-0.041748047,0.0,0.0,0.0,0.005215049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25768527,0.25768563,4.0599,0.0,0.0,0.0,0.09014835,0.0,0.0,0.0,0.0,0.0,0.00018481893,0.0008154365,0.002600004,0.0,0.0,0.0,0.0,0.0,0.0
89468670,0.0,0.0,0.0,-0.0066477987,0.016966702,-0.13745117,0.0,0.0,0.0,0.0063670874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25781077,0.25781122,4.0603595,0.0,0.0,0.0,0.09014829,0.0,0.0,0.0,0.0,0.0,0.00019795806,0.001307108,0.0042929086,0.0,0.0,0.0,0.0,0.0,0.0
89676670,0.0,0.0,0.0,-0.006323624,0.01635555,0.13946533,0.0,0.0,0.0,0.005534947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25763714,0.2576376,4.059671,0.0,0.0,0.0,0.09014806,0.0,0.0,0.0,0.0,0.0,0.00019948714,0.0013838308,0.0034673272,0.0,0.0,0.0,0.0,0.0,0.0
89877474,0.0,0.0,0.0,-0.005781246,0.015798312,0.2189331,0.0,0.0,0.0,0.00528723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25750765,0.25750816,4.0590725,0.0,0.0,0.0,0.09014785,0.0,0.0,0.0,0.0,0.0,0.00021065265,0.0031345228,0.0098353885,0.0,0.0,0.0,0.0,0.0,0.0
90078270,0.0,0.0,0.0,-0.006804561,0.015380971,-0.10571289,0.0,0.0,0.0,0.005692959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25754356,0.25754407,4.0591006,0.0,0.0,0.0,0.09014771,0.0,0.0,0.0,0.0,0.0,0.00018925867,0.000980577,0.0021867119,0.0,0.0,0.0,0.0,0.0,0.0
90278270,0.0,0.0,0.0,-0.0064239246,0.015161441,0.30847168,0.0,0.0,0.0,0.0037993193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25763685,0.2576374,4.059403,0.0,0.0,0.0,0.09014758,0.0,0.0,0.0,0.0,0.0,0.00017680452,0.0023978027,0.0072982153,0.0,0.0,0.0,0.0,0.0,0.0
90479870,0.0,0.0,0.0,-0.006526462,0.015103689,0.036865234,0.0,0.0,0.0,0.0032775402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257847,0.25784764,4.060226,0.0,0.0,0.0,0.09014751,0.0,0.0,0.0,0.0,0.0,0.00015638523,0.0016201849,0.004546888,0.0,0.0,0.0,0.0,0.0,0.0
90689473,0.0,0.0,0.0,-0.005626118,0.014769441,-0.028930664,0.0,0.0,0.0,0.0033314824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25777304,0.25777367,4.0599966,0.0,0.0,0.0,0.0901473,0.0,0.0,0.0,0.0,0.0,0.00015398994,0.0020116873,0.0065053096,0.0,0.0,0.0,0.0,0.0,0.0
90891070,0.0,0.0,0.0,-0.0059986436,0.0144183105,0.21643066,0.0,0.0,0.0,0.0047133565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25781864,0.25781927,4.0602236,0.0,0.0,0.0,0.09014717,0.0,0.0,0.0,0.0,0.0,0.00014892952,0.00079021044,0.0014915755,0.0,0.0,0.0,0.0,0.0,0.0
91091870,0.0,0.0,0.0,-0.0059865196,0.014597571,-0.40093994,0.0,0.0,0.0,0.004757941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25779805,0.25779864,4.0601883,0.0,0.0,0.0,0.09014722,0.0,0.0,0.0,0.0,0.0,0.00015565631,0.0039260746,0.012280879,0.0,0.0,0.0,0.0,0.0,0.0
91291870,0.0,0.0,0.0,-0.005659439,0.014749142,0.5014038,0.0,0.0,0.0,0.005423367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25783795,0.2578385,4.0604067,0.0,0.0,0.0,0.09014717,0.0,0.0,0.0,0.0,0.0,0.00016540149,0.00109484,0.0035247735,0.0,0.0,0.0,0.0,0.0,0.0
91492670,0.0,0.0,0.0,-0.0056497264,0.014692132,0.036132812,0.0,0.0,0.0,0.0051488876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25786385,0.25786436,4.060582,0.0,0.0,0.0,0.0901472,0.0,0.0,0.0,0.0,0.0,0.00017645593,0.002275892,0.0065906756,0.0,0.0,0.0,0.0,0.0,0.0
91694270,0.0,0.0,0.0,-0.00534511,0.01464881,0.29345703,0.0,0.0,0.0,0.0061011314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2578148,0.25781524,4.060487,0.0,0.0,0.0,0.09014707,0.0,0.0,0.0,0.0,0.0,0.0002010448,0.004734821,0.015015988,0.0,0.0,0.0,0.0,0.0,0.0
91894270,0.0,0.0,0.0,-0.0050085033,0.014439332,0.06298828,0.0,0.0,0.0,0.0058937073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2576511,0.25765148,4.059873,0.0,0.0,0.0,0.09014695,0.0,0.0,0.0,0.0,0.0,0.00019899044,0.002500773,0.008464043,0.0,0.0,0.0,0.0,0.0,0.0
92103070,0.0,0.0,0.0,-0.004885835,0.014454782,-0.16766357,0.0,0.0,0.0,0.0061256886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25772673,0.2577271,4.0601516,0.0,0.0,0.0,0.090146825,0.0,0.0,0.0,0.0,0.0,0.00019916828,0.0010522879,0.00380511,0.0,0.0,0.0,0.0,0.0,0.0
92303910,0.0,0.0,0.0,-0.0045912676,0.014051267,-0.25976562,0.0,0.0,0.0,0.0048520565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25777516,0.2577755,4.060382,0.0,0.0,0.0,0.09014678,0.0,0.0,0.0,0.0,0.0,0.0001866756,0.0012378886,0.0028475341,0.0,0.0,0.0,0.0,0.0,0.0
92503870,0.0,0.0,0.0,-0.0046789497,0.013925426,-0.17419434,0.0,0.0,0.0,0.006862819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2578295,0.2578298,4.060637,0.0,0.0,0.0,0.09014675,0.0,0.0,0.0,0.0,0.0,0.00019365143,0.00075162883,0.0018063365,0.0,0.0,0.0,0.0,0.0,0.0
92712670,0.0,0.0,0.0,-0.004837977,0.013871586,0.16290283,0.0,0.0,0.0,0.007674575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2578431,0.2578434,4.060783,0.0,0.0,0.0,0.09014664,0.0,0.0,0.0,0.0,0.0,0.00021884072,0.00340485,0.010736833,0.0,0.0,0.0,0.0,0.0,0.0
92913470,0.0,0.0,0.0,-0.0045474772,0.0133626675,-0.1906128,0.0,0.0,0.0,0.008131504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25772652,0.25772682,4.0603876,0.0,0.0,0.0,0.09014669,0.0,0.0,0.0,0.0,0.0,0.00021844433,0.0014511215,0.0039877263,0.0,0.0,0.0,0.0,0.0,0.0
