timestamp,total_written_kb,write_rate_kb_s,dropouts,message_gaps,buffer_used_bytes,buffer_size_bytes,type,backend,num_messages
27777170,88.0,87.72236,7,29,6146,8192,0,3,142
28780069,116.12207,57.885498,7,29,5240,8192,0,3,142
29781081,148.50195,49.38417,7,29,61,8192,0,3,142
30784562,172.18848,42.933807,7,29,3609,8192,0,3,142
31788434,200.0,39.8849,7,29,4145,8192,0,3,142
32791070,228.01758,37.89515,7,29,4325,8192,0,3,142
33792248,260.15918,37.06899,7,29,61,8192,0,3,142
34793225,284.18262,35.43769,7,29,3662,8192,0,3,142
35794069,312.0,34.589554,7,29,3051,8192,0,3,142
36796583,340.02148,33.92555,7,29,3206,8192,0,3,142
