timestamp,total_written_kb,write_rate_kb_s,dropouts,message_gaps,buffer_used_bytes,buffer_size_bytes,type,backend,num_messages
58938953,0.0,0.0,0,34,58582,65536,0,3,122
59944836,80.12598,79.636375,0,35,9130,65536,0,3,122
60945857,109.50879,54.558853,0,35,6105,65536,0,3,122
61946880,136.02637,45.21866,0,35,6072,65536,0,3,122
62947868,162.25098,40.469864,0,35,6222,65536,0,3,122
63948989,188.6875,37.65992,0,35,5987,65536,0,3,122
64949863,215.00977,35.76835,0,35,6125,65536,0,3,122
65950935,241.38086,34.42276,0,35,6125,65536,0,3,122
66951905,268.08105,33.454865,0,35,5788,65536,0,3,122
67952889,294.18848,32.636116,0,35,6175,65536,0,3,122
68954028,320.0,31.951,0,35,6976,65536,0,3,122
