timestamp,total_written_kb,write_rate_kb_s,dropouts,message_gaps,buffer_used_bytes,buffer_size_bytes,type,backend,num_messages
23817366,0.0,0.0,0,11,57331,65536,0,3,122
24819319,77.49902,76.58188,0,11,8996,65536,0,3,122
25820550,105.46582,52.386974,0,11,5844,65536,0,3,122
26821530,132.20801,43.86191,0,11,4081,65536,0,3,122
27822252,155.27832,38.67543,0,11,5911,65536,0,3,122
28823138,180.25,35.936478,0,11,5844,65536,0,3,122
29824415,205.15625,34.09569,0,11,5793,65536,0,3,122
30825158,230.01367,32.77568,0,11,5793,65536,0,3,122
31826120,256.0,31.925064,0,11,4687,65536,0,3,122
32827129,279.94043,31.03626,0,11,5793,65536,0,3,122
33828602,304.79785,30.415121,0,11,6028,65536,0,3,122
