timestamp,total_written_kb,write_rate_kb_s,dropouts,message_gaps,buffer_used_bytes,buffer_size_bytes,type,backend,num_messages
1509020440,92.0293,91.80364,22,3237,3423,8192,0,3,142
1510021444,120.0,59.89632,22,3237,4329,8192,0,3,142
1511022144,152.0,50.596455,22,3237,1179,8192,0,3,142
1512024021,182.06445,45.4475,22,3237,61,8192,0,3,142
1513024175,208.0,41.54854,22,3237,2990,8192,0,3,142
1514025572,236.14258,39.307373,22,3237,3765,8192,0,3,142
1515026243,268.9961,38.382717,22,3237,50,8192,0,3,142
1516027148,296.0,36.957657,22,3237,2219,8192,0,3,142
1517028672,324.09863,35.96823,22,3237,3233,8192,0,3,142
1518029164,356.43262,35.60345,22,3237,100,8192,0,3,142
1519030137,384.0,34.87056,22,3237,2273,8192,0,3,142
1520031148,412.05176,34.30001,22,3237,3727,8192,0,3,142
1521033800,445.28223,34.210854,22,3237,150,8192,0,3,142
1522036637,472.0,33.669422,22,3237,2882,8192,0,3,142
1523037667,500.042,33.292442,22,3237,4328,8192,0,3,142
1524039123,533.38965,33.292862,22,3237,253,8192,0,3,142
1525039654,560.0,32.899235,22,3237,3349,8192,0,3,142
1526040651,592.0,32.847523,22,3237,1049,8192,0,3,142
1527041819,622.27637,32.71035,22,3237,324,8192,0,3,142
1528042679,652.08203,32.563892,22,3237,303,8192,0,3,142
1529044714,680.0,32.339787,22,3253,2086,8192,0,3,142
1530047493,710.81445,32.266464,22,3268,353,8192,0,3,142
1531049137,740.0957,32.134544,22,3279,100,8192,0,3,142
1532050120,768.0,31.957207,22,3290,1257,8192,0,3,142
1533051249,798.37695,31.89264,22,3291,403,8192,0,3,142
1534052172,828.0137,31.804857,22,3291,456,8192,0,3,142
1535053138,856.0,31.662477,22,3291,2129,8192,0,3,142
1536054232,884.0801,31.533463,22,3291,3536,8192,0,3,142
1537055657,916.3076,31.555819,22,3291,506,8192,0,3,142
1538056133,944.0,31.4267,22,3291,2310,8192,0,3,142
1539058255,972.0156,31.314661,22,3291,4044,8192,0,3,142
1540058272,1004.3701,31.347097,22,3305,614,8192,0,3,142
1541059280,1032.0,31.23364,22,3321,1733,8192,0,3,142
1542060156,1061.7549,31.189396,22,3338,727,8192,0,3,142
1543061166,1088.0,31.047407,22,3340,3913,8192,0,3,142
1544062140,1120.0,31.072994,22,3340,1476,8192,0,3,142
1545063159,1150.043,31.044338,22,3340,686,8192,0,3,142
1546065294,1180.0078,31.014223,22,3340,333,8192,0,3,142
1547065328,1208.0,30.936804,22,3340,1950,8192,0,3,142
1548066182,1238.6621,30.929283,22,3344,697,8192,0,3,142
1549070720,1268.0332,30.887909,22,3356,348,8192,0,3,142
1550071835,1296.0,30.817629,22,3367,1571,8192,0,3,142
1551072639,1325.0205,30.775314,22,3386,945,8192,0,3,142
1552073637,1352.0,30.688454,22,3389,3259,8192,0,3,142
1553074767,1384.0,30.716795,22,3389,412,8192,0,3,142
1554075984,1412.5527,30.668999,22,3389,1107,8192,0,3,142
1555076636,1440.0,30.60011,22,3389,3162,8192,0,3,142
1556077826,1472.0,30.62848,22,3389,485,8192,0,3,142
1557078862,1500.8467,30.591516,22,3389,1210,8192,0,3,142
1558079648,1528.0,30.522358,22,3389,3326,8192,0,3,142
1559080655,1560.0,30.550694,22,3389,649,8192,0,3,142
1560081822,1588.6025,30.512589,22,3389,1401,8192,0,3,142
1561082683,1616.0,30.453388,22,3401,2859,8192,0,3,142
