timestamp,total_written_kb,write_rate_kb_s,dropouts,message_gaps,buffer_used_bytes,buffer_size_bytes,type,backend,num_messages
630832882,88.0,87.651146,17,266,6041,8192,0,3,142
631835953,116.09766,57.844894,17,266,6269,8192,0,3,142
632836769,150.40137,50.002663,17,266,61,8192,0,3,142
633837762,176.0,43.902756,17,266,2587,8192,0,3,142
634838827,206.18066,41.15444,17,270,111,8192,0,3,142
635839817,232.0,38.596455,17,284,1312,8192,0,3,142
636841433,260.28223,37.11673,17,300,61,8192,0,3,142
637842023,284.21582,35.468803,17,311,3583,8192,0,3,142
638842765,312.0,34.61335,17,314,3653,8192,0,3,142
639843776,344.0,34.34891,17,321,410,8192,0,3,142
640844770,368.0,33.406357,17,340,3464,8192,0,3,142
641845783,396.05566,32.958275,17,347,3106,8192,0,3,142
642846874,424.0,32.57036,17,347,3071,8192,0,3,142
643847807,452.11035,32.250046,17,347,3106,8192,0,3,142
644848771,480.0,31.957666,17,347,3417,8192,0,3,142
645850047,508.02734,31.7098,17,347,3400,8192,0,3,142
646851767,536.0,31.487064,17,347,3195,8192,0,3,142
647851792,564.0654,31.297167,17,347,3145,8192,0,3,142
648852763,592.0,31.118816,17,347,2934,8192,0,3,142
649853768,620.0049,30.961748,17,347,3501,8192,0,3,142
650854783,652.1094,31.014606,17,347,434,8192,0,3,142
651855833,680.0,30.8713,17,347,1718,8192,0,3,142
