timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping,calibration_count
675384723,675384231,3801098,3801098,0.00011968398,4.512044e-05,0.00039791805,0.00785197,-0.034257,-0.042504992,4994,4994,0,1
675879181,675878688,3801098,3801098,-0.00089674816,0.00094529695,8.061985e-06,-0.036190063,-0.041663375,-0.032218035,4994,4994,0,1
676383626,676383133,3801098,3801098,0.0011711059,-0.00032974128,1.3834713e-05,-0.026610747,-0.010242869,-0.03329408,4994,4994,0,1
676883097,676882586,3801098,3801098,0.0012538984,0.00102909,0.00038066172,-0.023377126,-0.01017943,-0.043360677,4997,4997,0,1
677382535,677382035,3801098,3801098,-0.00063886814,-0.00012066637,-0.0005267259,0.009577807,0.05166909,-0.058135167,4995,4995,0,1
677881986,677881484,3801098,3801098,0.00031989298,-0.0008838911,0.00027134316,-0.024794891,-0.012453858,-0.036760084,4994,4994,0,1
678381436,678380936,3801098,3801098,0.0006897965,0.0010438383,6.931346e-05,0.012300447,0.005346476,-0.060304716,4998,4998,0,1
678885959,678885387,3801098,3801098,0.00053630763,1.0429371e-05,0.00080042594,0.021166952,0.0015294737,-0.055998042,4980,4980,0,1
679380324,679379829,3801098,3801098,-0.000720444,-0.0051053474,-0.00018467655,-0.037323095,-0.017224817,-0.040857445,4995,4995,0,1
679879762,679879276,3801098,3801098,0.00026723594,2.5965992e-05,-0.00014674441,-0.0066010184,0.00095863064,-0.049431857,4988,4988,0,1
680384225,680383716,3801098,3801098,-0.0002215423,0.00025113768,0.0001340955,-0.00045899668,0.0017227387,-0.05173221,4994,4994,0,1
680883703,680883162,3801098,3801098,-0.00011665558,-0.00010392125,-8.85948e-06,-0.00085982354,0.007772502,-0.052244063,4994,4994,0,1
681383101,681382608,3801098,3801098,0.00015631218,-0.00010709988,0.00014700563,-0.0011411911,0.0023744323,-0.043928288,4995,4995,0,1
681882563,681882053,3801098,3801098,-0.00075084687,3.3426426e-05,-2.5529836e-05,-0.008470961,-0.0017984626,-0.04567376,4994,4994,0,1
682381991,682381499,3801098,3801098,2.1804457e-05,2.2679316e-05,0.00013551906,-0.005092992,-0.0011054979,-0.041827295,4994,4994,0,1
682881467,682880948,3801098,3801098,4.225808e-06,1.7901473e-06,2.4045046e-06,-0.0048151384,0.001710161,-0.048450638,4994,4994,0,1
683380896,683380393,3801098,3801098,-1.917993e-05,2.1769114e-05,4.4599034e-05,-0.0038099533,0.0007182115,-0.048963044,4997,4997,0,1
