timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping,calibration_count
17168649,17168088,3801098,3801098,-0.0019846892,0.0009647781,8.8282046e-05,-0.00016960214,0.0010997605,-0.051160615,5003,5003,0,1
17667960,17667467,3801098,3801098,-0.0012860503,-6.3758716e-06,-7.792526e-05,-0.0008320798,0.0058389613,-0.04673047,5005,5005,0,1
18167469,18166835,3801098,3801098,0.000441174,-6.8395516e-06,8.559316e-05,0.00084417255,0.03653761,-0.064156376,4992,4992,0,1
18671696,18671209,3801098,3801098,-0.0003141315,-0.00034660503,0.00071196404,0.009304475,0.018869715,-0.04663492,4993,4993,0,1
19171084,19170591,3801098,3801098,0.0007611435,-6.0273465e-05,0.00010912785,-0.0014152848,0.017912168,-0.05333164,4987,4987,0,1
19670472,19669974,3801098,3801098,7.1510396e-05,-7.2777875e-05,-9.596497e-05,0.0021193388,0.012757297,-0.04710341,4994,4994,0,1
20169877,20169359,3801098,3801098,3.9104634e-05,-2.6741785e-05,-1.3205395e-05,0.0018455905,0.012521597,-0.04642445,4995,4995,0,1
20669254,20668744,3801098,3801098,3.9087055e-05,1.1988917e-05,-1.5394691e-05,0.0010478946,0.011473622,-0.04747921,4994,4994,0,1
21168711,21168134,3801098,3801098,2.047961e-05,4.1477715e-06,-3.7349146e-06,0.0010282364,0.011489084,-0.04778344,4998,4998,0,1
21668024,21667518,3801098,3801098,4.2563274e-06,3.6631962e-05,-2.8830837e-05,0.0005146752,0.010502561,-0.047733456,4993,4993,0,1
22172438,22171905,3801098,3801098,-6.246613e-06,1.33897765e-05,1.296917e-05,0.0011173487,0.0112685235,-0.04772965,4993,4993,0,1
22671790,22671293,3801098,3801098,-8.4196597e-07,9.615082e-06,9.0396725e-06,0.0010882323,0.011154947,-0.047621645,4991,4991,0,1
