timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping,calibration_count
66162549,66162021,3801098,3801098,0.0023203988,-0.0016911627,-0.0002836939,4.123945e-05,0.01622521,-0.04778682,4999,4999,0,3
66662028,66661535,3801098,3801098,-0.002432777,-0.0014210433,0.0009983062,-0.0050055045,-0.008220654,-0.050852932,4995,4995,0,3
67166563,67166048,3801098,3801098,3.660693e-05,0.00019582093,-4.470328e-05,-0.0012330497,-0.010042957,-0.043629043,4995,4995,0,3
67666163,67665565,3801098,3801098,-4.8464015e-05,0.00018949407,2.2956063e-05,-0.003054711,-0.015928753,-0.04466638,4989,4989,0,3
68165603,68165084,3801098,3801098,-8.009487e-05,-9.205818e-05,-3.2306067e-05,-0.006037929,-0.0129641555,-0.04266638,4999,4999,0,3
68665125,68664599,3801098,3801098,0.00044277476,0.00018821345,-4.497162e-05,-0.010857026,-0.009564579,-0.044788968,4999,4999,0,3
69164614,69164110,3801098,3801098,-0.0005670587,-0.0007825379,0.0001361348,0.0042970004,-0.015883984,-0.03871923,4993,4993,0,3
69664123,69663625,3801098,3801098,-0.00031971608,-0.00042399045,0.00034320803,-0.020780241,-0.0073816166,-0.04111112,4995,4995,0,3
70163649,70163140,3801098,3801098,0.00045435523,-0.0018057358,-0.0015377884,-0.028420057,-0.05374937,-0.03236122,4996,4996,0,3
70663156,70662653,3801098,3801098,0.00059431145,0.0011933554,-0.0021974044,0.012499665,0.010239846,-0.045820363,4995,4995,0,3
71162667,71162167,3801098,3801098,-0.00022064116,-5.214001e-07,0.00021100594,-0.0031867023,-0.006646477,-0.05170099,4995,4995,0,3
71667174,71666676,3801098,3801098,-0.0010425485,-0.00011543389,2.1696282e-05,0.0083237905,-0.016975567,-0.050333537,4990,4990,0,3
72166677,72166190,3801098,3801098,-0.00017005875,-2.8823599e-05,1.4319799e-05,-0.0015909622,-0.013507725,-0.05010597,4995,4995,0,3
72661196,72660709,3801098,3801098,-2.8235001e-05,-2.7804235e-06,4.0179675e-05,-0.0019251242,-0.012748944,-0.04790794,4996,4996,0,3
73165717,73165218,3801098,3801098,0.00012402641,1.3694553e-05,1.0930681e-06,-0.0023571542,-0.012763778,-0.0439675,4995,4995,0,3
73665242,73664733,3801098,3801098,4.817638e-06,7.2110192e-06,3.8369194e-06,-0.0017122204,-0.012217884,-0.04747408,4995,4995,0,3
74164756,74164250,3801098,3801098,-6.116166e-06,2.6689447e-06,4.6941036e-06,-0.0018379565,-0.01218359,-0.047464896,4995,4995,0,3
74664264,74663765,3801098,3801098,-8.2500665e-06,9.617343e-06,-3.5056567e-06,-0.0017983897,-0.012143705,-0.04766072,4995,4995,0,3
