timestamp,instance_count,seq_reached,seq_current,seq_total,item_changed_index,item_do_jump_remaining,valid,warning,finished,failure,stay_in_failsafe,flight_termination,item_do_jump_changed,execution_mode
18082716,1,-1,0,0,0,0,0,0,0,0,0,0,0,0
42670419,1,-1,0,0,0,0,0,0,0,0,0,0,0,0
47874606,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
47922311,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
47972599,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
48022800,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
48073362,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
48122755,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
48172839,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
48222621,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
48275172,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
48332681,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
48382297,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
48432662,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
48482270,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
48532416,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
48582329,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
48632020,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
48681970,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
48731855,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
48781799,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
48786180,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
48841688,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
48891857,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
48941300,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
48991895,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
49041600,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
49091703,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
49141439,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
49191549,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
49241867,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
49285651,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
49340933,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
49391333,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
49441193,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
49491787,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
49541567,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
49591418,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
49640914,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
49691097,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
49741273,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
49796625,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
49836249,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
