timestamp,instance_count,seq_reached,seq_current,seq_total,item_changed_index,item_do_jump_remaining,valid,warning,finished,failure,stay_in_failsafe,flight_termination,item_do_jump_changed,execution_mode
1303341148,1,-1,0,0,0,0,0,0,0,0,0,0,0,0
1311299165,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
1311347439,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
1311397107,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
1311440002,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
1311497961,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
1311548284,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
1311597198,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
1311647219,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
1311699726,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
1311746819,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
1311797273,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
1311846549,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
1311897838,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
1311948004,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
1312006945,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
1312056027,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
1312106256,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
1312156231,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
1312205910,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
1312256735,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
1312305781,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
1312356073,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
1312406209,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
1312448044,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
1312506786,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
1312555815,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
1312605696,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
1312655362,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
1312706319,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
1312756099,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
1312805508,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
1312855137,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
1312905914,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
1312955309,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
1312957414,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
1313014960,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
1313065690,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
1313115225,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
1313165638,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
1313214711,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
1313264905,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
