timestamp,timestamp_sample,hover_thrust,hover_thrust_var,accel_innov,accel_innov_var,accel_innov_test_ratio,accel_noise_var,valid
732581432,732581404,0.33516476,9.832584e-06,-2.043276,4.08451,0.1135721,4.0604725,1
732681519,732681491,0.3357173,9.658881e-06,2.331113,4.0150514,0.15038103,4.0471277,1
732781353,732781322,0.33639595,9.494274e-06,-1.3197745,4.053642,0.047743205,4.0267563,1
732881112,732881081,0.33734718,9.332482e-06,-1.2209015,3.8783484,0.04270433,3.852363,1
732981026,732980999,0.33658922,9.177855e-06,0.67265856,4.037823,0.0124508655,4.0235057,1
733080937,733080910,0.33579814,9.046e-06,0.16767263,4.1519876,0.0007523602,4.129707,1
733180792,733180765,0.33667672,8.940079e-06,-1.739332,4.1186013,0.08161551,4.096988,1
733280672,733280642,0.33577007,8.825034e-06,2.2625327,4.2507815,0.13380688,4.2620687,1
733380690,733380662,0.33561876,8.691899e-06,0.66784954,4.2218213,0.011738563,4.200308,1
733480435,733480405,0.3350557,8.561525e-06,-1.9674771,4.172588,0.103079274,4.1578116,1
733580323,733580293,0.33523136,8.432318e-06,1.410102,4.0307965,0.054810997,4.0193644,1
733680289,733680262,0.33388415,8.308962e-06,-0.096567154,4.228225,0.000245052,4.200392,1
733780106,733780076,0.3336616,8.187559e-06,1.0966432,4.1008945,0.03258439,4.080846,1
733880012,733879981,0.33367738,8.064338e-06,3.6545243,3.974736,0.3733455,4.015279,1
733979872,733979837,0.33265123,7.945856e-06,0.2543172,4.1080046,0.0017493553,4.081933,1
734079802,734079774,0.33314002,7.829605e-06,-0.73364013,3.961283,0.015096901,3.9382818,1
734179863,734179833,0.33336988,7.713304e-06,-0.5628173,3.8053174,0.009249142,3.7816565,1
734279514,734279487,0.3336807,7.5960775e-06,-0.38442582,3.6342638,0.004518207,3.6109858,1
734379409,734379372,0.33478248,7.4804943e-06,-2.3369896,3.5984404,0.16863851,3.5967019,1
734479286,734479259,0.3336476,7.372086e-06,3.0753767,3.730824,0.2816757,3.7526517,1
734579192,734579162,0.33299378,7.2678554e-06,0.80287766,3.698306,0.0193666,3.6764605,1
734679079,734679049,0.33164796,7.1660565e-06,5.6664705,3.8883984,0.9175125,3.999338,1
734784273,734784245,0.33098117,7.0767724e-06,-0.57748526,3.9985304,0.009266995,3.9776876,1
734884048,734883967,0.33033442,6.9850944e-06,1.5400419,3.8604414,0.06826304,3.8419757,1
734984143,734984114,0.32959402,6.900818e-06,1.4044809,3.9856994,0.054990117,3.9630213,1
735083628,735083594,0.33043137,6.8153663e-06,-3.3380897,4.02583,0.30753753,4.0663385,1
