timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
1233721038,0.0,0.0,0.0,0.0
1233923296,0.0,0.0,0.0,0.0
1234123074,0.0,0.0,0.0,0.0
1234322848,0.0,0.0,0.0,0.0
1234521344,0.0,0.0,0.0,0.0
1234726111,0.0,0.0,0.0,0.0
1234925878,0.0,0.0,0.0,0.0
1235123165,0.0,0.0,0.0,0.0
1235322920,0.0,0.0,0.0,0.0
1235522688,0.0,0.0,0.0,0.0
1235722460,0.0,0.0,0.0,0.0
1235922222,0.0,0.0,0.0,0.0
1236124489,0.0,0.0,0.0,0.0
1236324258,0.0,0.0,0.0,0.0
1236524044,0.0,0.0,0.0,0.0
1236723808,0.0,0.0,0.0,0.0
1236923564,0.0,0.0,0.0,0.0
1237123333,0.0,0.0,0.0,0.0
1237323120,0.0,0.0,0.0,0.0
1237521625,0.0,0.0,0.0,0.0
1237723903,0.0,0.0,0.0,0.0
1237923668,0.0,0.0,0.0,0.0
1238123434,0.0,0.0,0.0,0.0
1238323193,0.0,0.0,0.0,0.0
1238521718,0.0,0.0,0.0,0.0
1238721487,0.0,0.0,0.0,0.0
1238925000,0.0,0.0,0.0,0.0
1239124766,0.0,0.0,0.0,0.0
1239323289,0.0,0.0,0.0,0.0
1239523056,0.0,0.0,0.0,0.0
1239722824,0.0,0.0,0.0,0.0
1239922604,0.0,0.0,0.0,0.0
1240121121,0.0,0.0,0.0,0.0
1240324628,0.0,0.0,0.0,0.0
1240524412,0.0,0.0,0.0,0.0
1240724175,0.0,0.0,0.0,0.0
1240923953,0.0,0.0,0.0,0.0
1241123704,0.0,0.0,0.0,0.0
1241323479,0.0,0.0,0.0,0.0
1241523243,0.0,0.0,0.0,0.0
1241724259,0.0,0.0,0.0,0.0
1241924027,0.0,0.0,0.0,0.0
1242123797,0.0,0.0,0.0,0.0
1242323581,0.0,0.0,0.0,0.0
1242523348,0.0,0.0,0.0,0.0
1242721862,0.0,0.0,0.0,0.0
1242921629,0.0,0.0,0.0,0.0
1243121444,0.0,0.0,0.0,0.0
1243323675,0.0023431552,-0.00010355099,-9.214349e-06,0.0
1243523449,0.0062952535,9.677827e-06,3.338626e-05,0.0
1243723201,0.010093974,0.00039888622,0.00014074375,0.0
1243922969,0.011999471,0.00095056096,0.00011003808,0.0
1244122746,0.0105116805,-0.001831369,-0.00055396365,0.0
1244321258,0.010211024,-0.002678459,-0.000892089,0.0
1244524774,0.009741301,-0.0037150302,-0.0013624245,0.0
1244724568,0.009369831,-0.0043422617,-0.0014886626,0.0
1244924335,0.009061903,-0.004355747,-0.001383543,0.0
1245124081,0.008393644,-0.004439024,-0.0012012621,0.0
1245323866,0.008472834,-0.005119408,-0.00081610057,0.0
1245523625,0.0076384507,-0.0046806824,-0.00038221755,0.0
1245723400,0.0077105155,-0.0055495966,0.00035458995,0.0
1245924423,0.00749136,-0.0070888987,0.001188174,0.0
1246124181,0.0069738417,-0.0067766523,0.0014450111,0.0
1246323958,0.007095465,-0.008589988,0.00079461146,0.0
1246523714,0.0070140986,-0.008226172,-0.0005098541,0.0
1246722235,0.007792929,-0.008417699,-0.0019587788,0.0
1246922005,0.008416466,-0.009401347,-0.003355392,0.0
1247121774,0.008354519,-0.011007095,-0.00461378,0.0
1247321555,0.008107808,-0.011393699,-0.005990652,0.0
1247523809,0.0078088664,-0.012536919,-0.00753151,0.0
1247723579,0.007940541,-0.012481374,-0.009224731,0.0
1247923362,0.00854773,-0.012134115,-0.010790203,0.0
1248123137,0.008658879,-0.012793749,-0.01146213,0.0
1248321639,0.008971222,-0.013420782,-0.011193072,0.0
1248521419,0.008633015,-0.013824645,-0.0101645375,0.0
