timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
557594206,557582940,527625,-0.098834515,0.18066324,-0.10131802,3
557634184,557622933,527625,-0.100733876,0.1782111,-0.10140511,3
558093996,558082933,527625,-0.09750784,0.17537221,-0.10439296,3
558594399,558593129,527625,-0.101981655,0.18257627,-0.09743504,3
559113954,559102929,527625,-0.09840766,0.17978238,-0.108431235,3
559613972,559602956,527625,-0.10703768,0.1772627,-0.10031834,3
560094165,560082930,527625,-0.10093454,0.18008244,-0.102516,3
560613937,560602928,527625,-0.10116434,0.1759741,-0.10040637,3
561114286,561103060,527625,-0.10158321,0.1749391,-0.10393497,3
561594007,561582928,527625,-0.09863057,0.1788548,-0.1022355,3
562093950,562092928,527625,-0.10368648,0.1751615,-0.100748055,3
562594134,562582928,527625,-0.10304142,0.17767662,-0.104115285,3
563113949,563102929,527625,-0.10302369,0.1836626,-0.09963643,3
563594250,563583023,527625,-0.103670664,0.17798735,-0.10365421,3
564093977,564082929,527625,-0.10073537,0.17735437,-0.10274601,3
564593969,564592928,527625,-0.097789146,0.1794529,-0.10170141,3
565094105,565082928,527625,-0.10284719,0.17477788,-0.10147457,3
565613944,565602929,527625,-0.10326076,0.17629063,-0.10157344,3
566114160,566102930,527625,-0.100933716,0.18103926,-0.100452475,3
566593977,566592944,527625,-0.10200622,0.17593148,-0.09910229,3
567094154,567093128,527625,-0.10407488,0.18269113,-0.10131646,3
567613984,567602931,527625,-0.10597547,0.17908609,-0.10372764,3
568094012,568092973,527625,-0.09905123,0.17902693,-0.10123838,3
