timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
126157622,-0.122432314,-0.14670382,-0.114463724
126168916,-0.12213131,-0.1460144,-0.10840305
126358823,-0.122432314,-0.14670382,-0.114463724
126559875,-0.12198081,-0.1456697,-0.10537271
126761172,-0.12213131,-0.1460144,-0.10840305
126962083,-0.12213131,-0.1460144,-0.10840305
127163428,-0.14265756,-0.1456697,-0.104345806
127353276,-0.12198081,-0.1456697,-0.10537271
127554556,-0.12229865,-0.14337364,-0.11177217
127756849,-0.12198081,-0.1456697,-0.10537271
127958057,-0.12213131,-0.1460144,-0.10840305
128159105,-0.12213131,-0.1460144,-0.10840305
128360719,-0.1191775,-0.1460144,-0.10854975
128550679,-0.13069177,-0.14532499,-0.10190227
128751478,-0.12183031,-0.14532499,-0.102342375
128953245,-0.13940273,-0.14498028,-0.09843184
129154758,-0.12198081,-0.1456697,-0.10537271
129356038,-0.13970374,-0.1456697,-0.10449251
129557092,-0.12198081,-0.1456697,-0.10537271
129758484,-0.12213131,-0.1460144,-0.10840305
129959782,-0.12213131,-0.1460144,-0.10840305
130161031,-0.14587873,-0.15233009,-0.10958225
130351267,-0.12828949,-0.15566029,-0.11315402
130554021,-0.1574762,-0.16392736,-0.10461002
130755079,-0.16672185,-0.17690343,-0.11190584
130956541,-0.24652934,-0.2382258,-0.16866118
131158244,-0.24933265,-0.2378811,-0.16548415
131359712,-0.26673776,-0.24017717,-0.15820448
131560864,-0.2636157,-0.27003208,-0.15496348
131762126,-0.31927562,-0.28783405,-0.20248352
131963170,-0.3198935,-0.31344151,-0.21492505
132153698,-0.3653544,-0.32515565,-0.23595092
132354737,-0.34797537,-0.35546622,-0.18413378
132556710,-0.4111162,-0.3375592,-0.26303744
132758224,-0.3898197,-0.36637998,-0.25158566
132959720,-0.45565146,-0.33433995,-0.2058054
133160917,-0.48231715,-0.40105483,-0.20612319
133352190,-0.48202953,-0.37763843,-0.31957397
133553499,-0.38758385,-0.4012886,-0.26618794
133754695,-0.38857722,-0.32652858,-0.16694687
133956103,-0.28462428,-0.34639287,-0.16061904
134158300,-0.08912809,-0.11834463,-0.15934499
134359376,-0.07521246,-0.102155216,-0.17726281
134560885,-0.055539683,-0.08631051,-0.19850436
134751147,-0.01206996,-0.045892492,-0.21756901
134952376,0.008856375,-0.009032494,-0.21357016
135165070,0.009040529,-0.014658763,-0.20986226
135355364,-0.0054602916,-0.035212487,-0.20372704
135556718,0.014949081,-0.04187288,-0.2101371
135757675,0.012128945,-0.038542684,-0.2072988
135958924,-0.010899596,-0.037163857,-0.19400384
136160024,-0.01116695,-0.04382425,-0.19938698
136351179,0.002983313,-0.042217586,-0.21258062
136563489,0.009342453,-0.041183468,-0.203783
136764860,0.00064831926,-0.04382425,-0.19997379
136955140,0.0034852927,-0.050139938,-0.2024733
137156275,0.009208778,-0.044513665,-0.20647456
137357214,0.012179419,-0.047499154,-0.2062825
137558518,-0.0022886726,-0.046809744,-0.19948833
137759616,-0.005727646,-0.04187288,-0.20911019
137960784,0.005986681,-0.023959944,-0.21172962
138161867,-0.00317578,-0.024649354,-0.21735016
138363132,0.003333868,-0.023270529,-0.20552222
138553513,0.0030160388,-0.020974454,-0.21192168
138754451,0.003032864,-0.023959944,-0.21158291
138955986,0.0031328914,-0.014658763,-0.20956886
139158154,0.008890025,-0.0150034735,-0.21289262
139359653,0.008906851,-0.017988963,-0.21255386
139560831,0.01187749,-0.020974454,-0.21236178
139750775,-0.008816063,-0.017988963,-0.21167365
139951919,0.0058361804,-0.024304649,-0.21475993
140152948,-0.011869906,-0.027290137,-0.21354096
140354211,-0.041374445,-0.033261117,-0.21139641
140556039,-0.05028546,-0.051518764,-0.211954
140757319,-0.09096961,-0.062081903,-0.19642377
140958433,-0.090233,-0.08458698,-0.18159227
141159638,-0.12912706,-0.11524227,-0.13001814
141360769,-0.16049826,-0.124771275,-0.10583698
141550575,-0.14574598,-0.12178579,-0.10690926
141751868,-0.14307635,-0.12546068,-0.11277788
141953820,-0.14572915,-0.124771275,-0.10657049
142155277,-0.15444012,-0.124426566,-0.10310005
142356412,-0.14307635,-0.12546068,-0.11277788
142557700,-0.14309317,-0.12247521,-0.11311665
142758682,-0.14307635,-0.12546068,-0.11277788
142960302,-0.16330157,-0.124426566,-0.10265995
143150735,-0.14587966,-0.12511598,-0.10960083
143352207,-0.14587966,-0.12511598,-0.10960083
143564449,-0.14294267,-0.1221305,-0.1100863
143765787,-0.14277534,-0.124771275,-0.10671719
143956428,-0.15474112,-0.12511598,-0.10916072
144157902,-0.15444012,-0.124426566,-0.10310005
144359364,-0.15739392,-0.124426566,-0.10295335
144560568,-0.17511684,-0.124426566,-0.10207314
144761974,-0.1371687,-0.12546068,-0.113071285
