timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
1332887691,1332886635,527625,0.12954842,0.12426262,-0.14630464,3
1332927671,1332916635,527625,0.126177,0.120630816,-0.1479761,3
1333367975,1333356705,527625,0.13037112,0.120360896,-0.14550254,3
1333887679,1333876633,527625,0.12951584,0.11584559,-0.1474407,3
1334367768,1334356778,527625,0.13288614,0.11877858,-0.1469355,3
1334867665,1334866635,527625,0.12995525,0.12288341,-0.14129399,3
1335387858,1335376740,527625,0.13205186,0.11907092,-0.1498502,3
1335887668,1335876632,527625,0.1359339,0.11423545,-0.14764813,3
1336387663,1336386635,527625,0.12870768,0.12559669,-0.1419919,3
1336887748,1336886668,527625,0.13287668,0.118408255,-0.14157575,3
1337367720,1337366694,527625,0.13328649,0.11520447,-0.1435657,3
1337887823,1337876632,527625,0.12805659,0.120444365,-0.14180365,3
1338387661,1338376632,527625,0.12409342,0.1266139,-0.14226401,3
1338887902,1338886635,527625,0.120971054,0.12176057,-0.14534219,3
1339387636,1339376632,527625,0.1314145,0.11892432,-0.14517456,3
1339887967,1339876689,527625,0.13183552,0.11932339,-0.1448406,3
1340387664,1340376632,527625,0.13247526,0.12188639,-0.14448354,3
1340888071,1340886776,527625,0.13563183,0.11419027,-0.1422644,3
1341367662,1341366632,527625,0.13372907,0.120534845,-0.14424634,3
1341887656,1341876632,527625,0.13281126,0.122340485,-0.14329797,3
1342387652,1342386632,527625,0.1312027,0.118511684,-0.14505276,3
1342867669,1342866632,527625,0.14275698,0.11132392,-0.14140388,3
1343367800,1343366632,527625,0.13983566,0.11482242,-0.14386319,3
1343887737,1343876632,527625,0.106025346,0.14483678,-0.14021426,3
1344367868,1344356632,527625,0.034930527,0.18670386,-0.13347918,3
1344867675,1344866632,527625,-0.04273735,0.18047683,-0.13011238,3
1345347666,1345336668,527625,-0.104588866,0.15099901,-0.124853164,3
1345887678,1345876632,527625,-0.023121452,0.14367002,-0.17927647,3
