timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,gyro_coning_vibration,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],temperature_accel,temperature_gyro
671056223,3801098,3801098,0,0,0,0,0,801.3054,801.3054,4006.526,8013.052,0.00017395204,8.500257e-06,1.9294268e-10,-0.05552425,0.3625416,-9.829264,-0.0036616612,0.0037434942,0.0025454212,39.247257,39.247257
671895238,3801098,3801098,0,0,0,0,0,801.3054,801.3054,4006.526,8013.052,0.0043621934,0.00020190157,1.9795884e-08,-0.03811358,0.33125004,-9.863893,-0.0026155983,0.004983146,0.005237655,39.10035,39.10035
672939123,3801098,3801098,0,0,0,0,0,801.3054,801.3054,4006.526,8013.052,0.006199844,0.0003090248,2.8401665e-08,-0.06970012,0.34776747,-9.825772,-0.0038427543,0.0040234127,0.00054869556,39.002445,39.002445
673983003,3801098,3801098,0,0,0,0,0,801.3054,801.3054,4006.526,8013.052,0.005922121,0.00033684852,3.3248376e-08,-0.032662503,0.3566827,-9.851827,-0.0047521438,0.0029379101,0.0032035895,39.002445,39.002445
674927008,3801098,3801098,0,0,0,0,0,801.3054,801.3054,4006.526,8013.052,0.006802217,0.00030901455,2.8789962e-08,-0.055736385,0.3420311,-9.816173,-0.0042149606,-0.0001111687,0.0057323435,39.002445,39.002445
675975899,3801098,3801098,0,0,0,0,0,801.3054,801.3054,4006.526,8013.052,0.004855576,0.00027469918,2.4324148e-08,-0.03852839,0.3992803,-9.837527,-0.003534353,0.001429556,0.0032075327,39.10035,39.10035
676919889,3801098,3801098,0,0,0,0,0,801.3054,801.3054,4006.526,8013.052,0.017862188,0.00051055575,5.6024653e-08,-0.06134861,0.23606582,-9.945543,0.00056676625,0.012178221,0.008581111,39.10035,39.10035
677968752,3801098,3801098,0,0,0,0,0,801.3054,801.3054,4006.526,8013.052,0.045807894,0.0023004392,9.4848605e-07,-0.13011312,0.5696206,-10.418954,-0.07851493,-0.036458034,0.02495491,39.051437,39.051437
678912744,3801098,3801098,0,0,0,0,0,801.3054,801.3054,4006.526,8013.052,0.052441765,0.0023617467,8.431055e-07,-0.093306735,0.5226627,-7.5833054,-0.1268953,0.07473119,-0.007155286,38.75763,38.75763
679961635,3801098,3801098,0,0,0,0,0,801.3054,801.3054,4006.526,8013.052,0.050763942,0.0023817946,7.3568464e-07,-0.23373924,1.0878208,-13.30808,0.05663613,-0.025085595,-0.057220075,38.75763,38.75763
680900758,3801098,3801098,0,0,0,0,0,801.3054,801.3054,4006.526,8013.052,0.052823983,0.002352674,6.561865e-07,-0.10064213,0.7250112,-7.4568906,0.053800058,-0.09454424,-0.0074287476,38.70872,38.70872
681949493,3801098,3801098,0,0,0,0,0,801.3054,801.3054,4006.526,8013.052,0.054399848,0.0022605427,5.955781e-07,-0.35307187,0.52381593,-9.862311,-0.04178865,0.022647806,0.035115805,38.561787,38.561787
682893472,3801098,3801098,0,0,0,0,0,801.3054,801.3054,4006.526,8013.052,0.053257175,0.0024406714,6.15352e-07,0.094152264,0.57898015,-9.877708,0.009431762,-0.032448553,-0.034845065,38.659725,38.659725
683942340,3801098,3801098,0,0,0,0,0,801.3054,801.3054,4006.526,8013.052,0.058682036,0.0024778713,5.8143894e-07,0.19530609,0.9933165,-10.148076,0.0053235237,0.0066471174,-0.0009515937,38.70872,38.70872
684986223,3801098,3801098,0,0,0,0,0,801.3054,801.3054,4006.526,8013.052,0.05478097,0.0024974425,5.1327714e-07,-0.21967597,0.5789737,-9.688714,0.024379404,0.016023846,0.01053577,38.70872,38.70872
685930207,3801098,3801098,0,0,0,0,0,801.3054,801.3054,4006.526,8013.052,0.037822876,0.0018134235,4.4800427e-06,0.015436401,0.6448205,-10.828642,0.07338211,-0.04933672,0.85000753,38.75763,38.75763
686974092,3801098,3801098,0,0,0,0,0,801.3054,801.3054,4006.526,8013.052,0.03868243,0.0014041777,2.6778262e-06,0.108995326,0.5073498,-7.0533075,-0.0009493092,0.048556283,-0.18542515,38.659725,38.659725
687918074,3801098,3801098,0,0,0,0,0,801.3054,801.3054,4006.526,8013.052,0.0520036,0.0019772178,9.855631e-07,-0.08529189,0.64088726,-9.075951,-0.011918116,0.021971073,-0.008094634,38.70872,38.70872
688966938,3801098,3801098,0,0,0,0,0,801.3054,801.3054,4006.526,8013.052,0.057959452,0.0024531146,7.291469e-07,0.14515562,0.7394803,-8.540114,0.0056108916,0.02668411,0.0105381785,38.659725,38.659725
689910959,3801098,3801098,0,0,0,0,0,801.3054,801.3054,4006.526,8013.052,0.06264896,0.0023828147,6.360707e-07,-0.06865496,0.3402975,-9.6292925,0.032528307,0.0013229159,0.04918895,38.659725,38.659725
