timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],accel_error_count,gyro_error_count,accel_vibration_metric,gyro_vibration_metric,gyro_coning_vibration,accel_rate_hz,gyro_rate_hz
481005366,3932170,3932170,0,0,0,0,0,0.0001739233,8.567192e-06,3.58017e-11,798,798
481105626,3932170,3932170,0,0,0,0,0,0.00017022077,8.536805e-06,3.4685442e-11,798,798
482007679,3932170,3932170,0,0,0,0,0,0.00018699087,9.182029e-06,3.9760917e-11,798,798
483010058,3932170,3932170,0,0,0,0,0,0.00018733888,9.137093e-06,3.7531808e-11,798,798
484012422,3932170,3932170,0,0,0,0,0,0.00019665684,8.7740345e-06,3.796244e-11,798,798
485014789,3932170,3932170,0,0,0,0,0,0.015497421,0.0005115288,2.0026056e-07,798,798
486017221,3932170,3932170,0,0,0,0,0,0.02596051,0.0008405995,1.464741e-07,798,798
487019583,3932170,3932170,0,0,0,0,0,0.02760132,0.00086911826,1.4194852e-07,798,798
488021977,3932170,3932170,0,0,0,0,0,0.025873799,0.0008121322,1.4715732e-07,798,798
489024307,3932170,3932170,0,0,0,0,0,0.023100091,0.0006914043,1.1384712e-07,798,798
490026664,3932170,3932170,0,0,0,0,0,0.026513314,0.0009795772,2.2455714e-07,798,798
491029084,3932170,3932170,0,0,0,0,0,0.036560137,0.0013291717,3.764502e-07,798,798
492031452,3932170,3932170,0,0,0,0,0,0.045246318,0.0017418453,6.5287276e-07,798,798
493033764,3932170,3932170,0,0,0,0,0,0.042204145,0.0017445232,2.2828096e-06,798,798
494036140,3932170,3932170,0,0,0,0,0,0.0154040335,0.00062265055,8.95182e-07,798,798
495038535,3932170,3932170,0,0,0,0,0,0.003315496,0.00013056306,1.2750739e-07,798,798
496040915,3932170,3932170,0,0,0,0,0,0.015524141,0.00048589398,1.7010393e-07,798,798
497043225,3932170,3932170,0,0,0,0,0,0.026345927,0.000919516,2.475889e-07,798,798
498045601,3932170,3932170,0,0,0,0,0,0.018673385,0.00064035907,1.2089728e-07,798,798
499047948,3932170,3932170,0,0,0,0,0,0.005073625,0.00016343457,2.081238e-08,798,798
500050363,3932170,3932170,0,0,0,0,0,0.00089888315,3.05096e-05,2.8728753e-09,798,798
