timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],accel_error_count,gyro_error_count,accel_vibration_metric,gyro_vibration_metric,gyro_coning_vibration,accel_rate_hz,gyro_rate_hz
467072353,3932170,3932170,0,0,0,0,0,0.00020157955,9.217227e-06,5.2695844e-11,798,798
467172584,3932170,3932170,0,0,0,0,0,0.00020965564,8.99491e-06,5.1479494e-11,798,798
468074712,3932170,3932170,0,0,0,0,0,0.00019084959,8.47172e-06,4.768134e-11,798,798
469077133,3932170,3932170,0,0,0,0,0,0.00017122904,8.5784695e-06,4.0652103e-11,798,798
470079463,3932170,3932170,0,0,0,0,0,0.00018400406,9.009563e-06,4.7267544e-11,798,798
471081869,3932170,3932170,0,0,0,0,0,0.00018242217,8.743141e-06,4.173237e-11,798,798
472084216,3932170,3932170,0,0,0,0,0,0.0001823885,9.328641e-06,4.1607766e-11,798,798
473086635,3932170,3932170,0,0,0,0,0,0.0001727717,8.463013e-06,3.586836e-11,798,798
474088948,3932170,3932170,0,0,0,0,0,0.00019545697,8.4244975e-06,3.9047342e-11,798,798
475091321,3932170,3932170,0,0,0,0,0,0.00016577088,8.632379e-06,4.017893e-11,798,798
476093764,3932170,3932170,0,0,0,0,0,0.00016993038,8.728647e-06,4.0872732e-11,798,798
477096075,3932170,3932170,0,0,0,0,0,0.00017516427,8.6738455e-06,4.829807e-11,798,798
478098520,3932170,3932170,0,0,0,0,0,0.00018602518,9.451378e-06,5.441412e-11,798,798
