timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect
597165267,inf,0,1,1,1,0
598172698,inf,0,1,1,1,0
599174893,inf,0,1,1,1,0
600182272,inf,0,1,1,1,0
600563228,inf,0,1,0,0,0
601570524,inf,0,1,0,0,0
602312869,inf,0,0,0,0,0
603315251,inf,0,0,0,0,0
604271938,inf,0,1,0,0,0
604923550,inf,0,1,1,0,0
605224105,inf,0,1,1,1,0
605534742,inf,0,1,0,0,0
606421976,inf,0,0,0,0,0
607424168,inf,0,0,0,0,0
608431406,inf,0,0,0,0,0
609433758,inf,0,0,0,0,0
610441266,inf,0,0,0,0,0
610771864,inf,0,1,0,0,0
610802864,inf,0,1,0,0,1
611022852,inf,0,0,0,0,1
611042817,inf,0,0,0,0,0
612049992,inf,0,0,0,0,0
613052034,inf,0,0,0,0,0
614054430,inf,0,0,0,0,0
615057171,inf,0,0,0,0,0
616064482,inf,0,0,0,0,0
617021743,inf,0,0,0,0,1
617272010,inf,0,0,1,0,1
617322675,inf,0,0,1,1,1
617372073,inf,0,1,1,1,1
