timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect
481066191,inf,0,1,1,1,0
482068421,inf,0,1,1,1,0
483076506,inf,0,1,1,1,0
483978043,inf,0,1,0,0,0
484985584,inf,0,1,0,0,0
485987668,inf,0,1,0,0,0
486995079,inf,0,1,0,0,0
487997432,inf,0,1,0,0,0
488483779,inf,0,0,0,0,0
489486760,inf,0,0,0,0,0
490493558,inf,0,0,0,0,0
491495724,inf,0,0,0,0,0
492498133,inf,0,0,0,0,0
493039366,inf,0,1,0,0,0
493615755,inf,0,1,1,0,0
493916581,inf,0,1,1,1,0
494898780,inf,0,1,0,0,0
495906205,inf,0,1,0,0,0
496577735,inf,0,0,0,0,0
497585150,inf,0,0,0,0,0
497595250,inf,0,1,0,0,0
497846068,inf,0,1,1,0,0
498146477,inf,0,1,1,1,0
499148743,inf,0,1,1,1,0
500156157,inf,0,1,1,1,0
