timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect
78848758,inf,0,1,1,1,0
79851334,inf,0,1,1,1,0
80853678,inf,0,1,1,1,0
81194487,inf,0,1,0,0,0
82197731,inf,0,1,0,0,0
83200430,inf,0,1,0,0,0
84202710,inf,0,1,0,0,0
85204466,inf,0,1,0,0,0
86206958,inf,0,1,0,0,0
86768513,inf,0,0,0,0,0
87770746,inf,0,0,0,0,0
88773378,inf,0,0,0,0,0
89775743,inf,0,0,0,0,0
90778184,inf,0,0,0,0,0
91780721,inf,0,0,0,0,0
92783849,inf,0,0,0,0,0
93785563,inf,0,0,0,0,0
94788112,inf,0,0,0,0,0
95790541,inf,0,0,0,0,0
96793755,inf,0,0,0,0,0
97796349,inf,0,0,0,0,0
98798653,inf,0,0,0,0,0
99800893,inf,0,0,0,0,0
100803706,inf,0,0,0,0,0
101805486,inf,0,0,0,0,0
102807911,inf,0,0,0,0,0
103810395,inf,0,0,0,0,0
104813176,inf,0,0,0,0,0
105815313,inf,0,0,0,0,0
106817702,inf,0,0,0,0,0
107820231,inf,0,0,0,0,0
108822779,inf,0,0,0,0,0
109825181,inf,0,0,0,0,0
110827773,inf,0,0,0,0,0
110999147,inf,0,0,0,0,1
112000553,inf,0,0,0,0,1
113003362,inf,0,0,0,0,1
114005448,inf,0,0,0,0,1
114096863,inf,0,0,1,0,1
114105649,inf,0,1,1,0,1
114136940,inf,0,1,1,1,1
