timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect
125780484,inf,0,1,1,1,0
126782579,inf,0,1,1,1,0
127784851,inf,0,1,1,1,0
128787528,inf,0,1,1,1,0
129789614,inf,0,1,1,1,0
130791762,inf,0,1,0,0,0
131794142,inf,0,1,0,0,0
132094974,inf,0,0,0,0,0
133097287,inf,0,0,0,0,0
134099333,inf,0,0,0,0,0
134330175,inf,0,1,0,0,0
134790926,inf,0,0,0,0,0
135793456,inf,0,0,0,0,0
136795785,inf,0,0,0,0,0
137798028,inf,0,0,0,0,0
138800249,inf,0,0,0,0,0
139802523,inf,0,0,0,0,0
140804745,inf,0,0,0,0,0
141807990,inf,0,0,0,0,0
142809756,inf,0,0,0,0,0
143811789,inf,0,0,0,0,0
144092450,inf,0,0,1,0,0
144142373,inf,0,0,1,1,0
144192496,inf,0,1,1,1,0
