timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect
142995309,inf,0,1,1,1,0
143997413,inf,0,1,1,1,0
144999543,inf,0,1,1,1,0
146001824,inf,0,1,1,1,0
147004931,inf,0,1,1,1,0
148007533,inf,0,1,1,1,0
149009658,inf,0,1,1,1,0
150011943,inf,0,1,1,1,0
151013996,inf,0,1,1,1,0
152016371,inf,0,1,1,1,0
152246446,inf,0,1,0,0,0
152376750,inf,0,0,0,0,0
153379062,inf,0,0,0,0,0
154381516,inf,0,0,0,0,0
155003050,inf,0,1,0,0,0
155353716,inf,0,1,1,0,0
155654546,inf,0,1,1,1,0
156165532,inf,0,1,0,0,0
156286099,inf,0,0,0,0,0
157288312,inf,0,0,0,0,0
158270681,inf,0,1,0,0,0
158791849,inf,0,0,0,0,0
159423061,inf,0,1,0,0,0
159673768,inf,0,1,1,0,0
159794216,inf,0,1,0,0,0
160796480,inf,0,1,0,0,0
161798672,inf,0,1,0,0,0
162801149,inf,0,1,0,0,0
163282083,inf,0,0,0,0,0
164284682,inf,0,0,0,0,0
165286723,inf,0,0,0,0,0
166158866,inf,0,1,0,0,0
166299058,inf,0,0,0,0,0
167301498,inf,0,0,0,0,0
168304142,inf,0,0,0,0,0
169306328,inf,0,0,0,0,0
170308574,inf,0,0,0,0,0
171310774,inf,0,0,0,0,0
172313136,inf,0,0,0,0,0
173315797,inf,0,0,0,0,0
174317978,inf,0,0,0,0,0
174829334,inf,0,0,1,0,0
174879324,inf,0,0,1,1,0
174929185,inf,0,1,1,1,0
