timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect
265362320,inf,0,1,1,1,0
266369629,inf,0,1,1,1,0
267371968,inf,0,1,1,1,0
268374099,inf,0,1,1,1,0
269381475,inf,0,1,1,1,0
270383627,inf,0,1,1,1,0
270614170,inf,0,1,0,0,0
271621613,inf,0,1,0,0,0
272623848,inf,0,1,0,0,0
273195209,inf,0,0,0,0,0
274202660,inf,0,0,0,0,0
275154763,inf,0,1,0,0,0
275816459,inf,0,1,1,0,0
276122141,inf,0,1,1,1,0
276313067,inf,0,1,0,0,0
277084271,inf,0,0,0,0,0
278091496,inf,0,0,0,0,0
278532420,inf,0,1,0,0,0
278713303,inf,0,0,0,0,0
279093786,inf,0,1,0,0,0
279344598,inf,0,1,1,0,0
279650118,inf,0,1,1,1,0
280652310,inf,0,1,1,1,0
281654918,inf,0,1,1,1,0
282662244,inf,0,1,1,1,0
