timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,close_to_ground_or_skipped_check
166541159,inf,0,1,1,1,0,0,1,0,0,1
167551119,inf,0,1,1,1,0,0,1,0,0,1
168554489,inf,0,1,1,1,0,0,1,0,0,1
169563336,inf,0,1,1,1,0,0,1,0,0,1
170572663,inf,0,1,1,1,0,0,1,0,0,1
171581541,inf,0,1,1,1,0,0,1,0,0,1
171771266,inf,0,1,1,1,1,0,1,0,0,1
172780189,inf,0,1,1,1,1,0,1,0,0,1
172850457,inf,0,1,0,0,1,0,1,0,0,1
172860159,inf,0,0,0,0,1,0,1,0,0,1
173870482,inf,0,0,0,0,1,0,0,1,0,1
174879290,inf,0,0,0,0,1,0,0,1,0,1
175882211,inf,0,0,0,0,1,0,0,0,0,1
176891502,inf,0,0,0,0,1,0,0,0,0,1
177851003,inf,0,0,0,0,0,0,0,0,0,1
178854566,inf,0,0,0,0,0,0,0,0,0,1
179864015,inf,0,0,0,0,0,0,0,0,0,1
180874408,inf,0,0,0,0,0,0,0,0,0,1
181881354,inf,0,0,0,0,0,0,0,0,0,1
182890923,inf,0,0,0,0,0,0,0,0,0,1
183894597,inf,0,0,0,0,0,0,0,0,0,1
184903350,inf,0,0,0,0,0,0,0,0,0,1
185912489,inf,0,0,0,0,0,0,0,0,0,1
186921286,inf,0,0,0,0,0,0,0,0,0,1
187930497,inf,0,0,0,0,0,0,0,0,0,1
188934554,inf,0,0,0,0,0,0,0,0,0,1
189943454,inf,0,0,0,0,0,0,0,1,0,1
190952362,inf,0,0,0,0,0,0,0,1,0,1
191961179,inf,0,0,0,0,0,0,0,0,0,1
192970326,inf,0,0,0,0,0,0,0,0,0,1
193979404,inf,0,0,0,0,0,0,0,0,0,1
194983112,inf,0,0,0,0,0,0,0,0,0,1
195992216,inf,0,0,0,0,0,0,0,0,0,1
197001084,inf,0,0,0,0,0,0,0,0,0,1
198010692,inf,0,0,0,0,0,0,0,0,0,1
199019232,inf,0,0,0,0,0,0,0,0,0,1
200022936,inf,0,0,0,0,0,0,0,0,0,1
201032566,inf,0,0,0,0,0,0,0,0,0,1
202040856,inf,0,0,0,0,0,0,0,0,0,1
203044894,inf,0,0,0,0,0,0,0,0,0,1
204054004,inf,0,0,0,0,0,0,0,0,0,1
205062839,inf,0,0,0,0,0,0,0,0,0,1
206073173,inf,0,0,0,0,0,0,0,0,0,1
207080937,inf,0,0,0,0,0,0,0,0,0,1
208084675,inf,0,0,0,0,0,0,0,0,0,1
209094418,inf,0,0,0,0,0,0,0,0,0,1
210102544,inf,0,0,0,0,0,0,0,0,0,1
211111812,inf,0,0,0,0,0,0,0,0,0,1
212120471,inf,0,0,0,0,0,0,0,0,0,1
213125009,inf,0,0,0,0,0,0,0,0,0,1
214134169,inf,0,0,0,0,0,0,0,0,0,1
215142302,inf,0,0,0,0,0,0,0,0,0,1
216152081,inf,0,0,0,0,0,0,0,0,0,1
217160231,inf,0,0,0,0,0,0,0,0,0,1
218169792,inf,0,0,0,0,0,0,0,0,0,1
219173341,inf,0,0,0,0,0,0,0,0,0,1
220182284,inf,0,0,0,0,0,0,0,0,0,1
221191255,inf,0,0,0,0,0,0,0,0,0,1
222199975,inf,0,0,0,0,0,0,0,0,0,1
223209553,inf,0,0,0,0,0,0,0,1,0,1
224213580,inf,0,0,0,0,0,0,0,0,0,1
225221776,inf,0,0,0,0,0,0,0,0,0,1
226231312,inf,0,0,0,0,0,0,0,0,0,1
227239702,inf,0,0,0,0,0,0,0,0,0,1
228248696,inf,0,0,0,0,0,0,0,0,0,1
229252640,inf,0,0,0,0,0,0,0,0,0,1
230255316,inf,0,0,0,0,0,0,0,0,0,1
231260446,inf,0,0,0,0,0,0,0,0,0,1
232264587,inf,0,0,0,0,0,0,0,0,0,1
233275070,inf,0,0,0,0,0,0,0,0,0,1
234282239,inf,0,0,0,0,0,0,0,0,0,1
235291802,inf,0,0,0,0,0,0,0,0,0,1
236300261,inf,0,0,0,0,0,0,0,0,0,1
237304188,inf,0,0,0,0,0,0,0,0,0,1
238313589,inf,0,0,0,0,0,0,0,0,0,1
239321846,inf,0,0,0,0,0,0,0,0,0,1
240331386,inf,0,0,0,0,0,0,0,0,0,1
241335458,inf,0,0,0,0,0,0,0,0,0,1
242343857,inf,0,0,0,0,0,0,0,0,0,1
243352653,inf,0,0,0,0,0,0,0,0,0,1
243692239,inf,0,0,0,0,1,1,0,1,0,1
244701072,inf,0,0,0,0,1,1,0,1,0,1
245710054,inf,0,0,0,0,1,1,0,1,0,1
246714562,inf,0,0,0,0,1,1,1,0,0,1
246884281,inf,0,1,0,0,1,1,1,0,0,1
247503028,inf,0,1,0,0,0,0,1,0,0,1
247853248,inf,0,1,1,0,0,0,1,0,0,1
248192352,inf,0,1,1,1,0,0,1,0,0,1
248202270,inf,0,1,1,1,1,0,1,0,0,1
249211199,inf,0,1,1,1,1,0,1,0,0,1
250215192,inf,0,1,1,1,0,0,1,0,0,1
