timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect
1635367608,inf,0,1,1,1,0
1636370467,inf,0,1,1,1,0
1637377912,inf,0,1,1,1,0
1638380578,inf,0,1,1,1,0
1638851836,inf,0,1,0,0,0
1639859665,inf,0,1,0,0,0
1640861964,inf,0,1,0,0,0
1641869618,inf,0,1,0,0,0
1642872249,inf,0,1,0,0,0
1643879947,inf,0,1,0,0,0
1644882502,inf,0,1,0,0,0
1645042906,inf,0,0,0,0,0
1646050569,inf,0,0,0,0,0
1647058193,inf,0,0,0,0,0
1648060832,inf,0,0,0,0,0
1649068563,inf,0,0,0,0,0
1650071321,inf,0,0,0,0,0
1650753088,inf,0,1,0,0,0
1651008798,inf,0,1,1,0,0
1651309402,inf,0,1,1,1,0
1652312003,inf,0,1,1,1,0
1653269852,inf,0,1,0,0,0
1654272419,inf,0,1,0,0,0
1654913821,inf,0,1,1,0,0
1655219685,inf,0,1,1,1,0
1656222444,inf,0,1,1,1,0
1657230307,inf,0,1,1,1,0
