timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect
75294832,inf,0,1,1,1,0
76297242,inf,0,1,1,1,0
76988740,inf,0,1,0,0,0
77991140,inf,0,1,0,0,0
78993373,inf,0,1,0,0,0
79995485,inf,0,0,0,0,0
80998037,inf,0,0,0,0,0
82000629,inf,0,0,0,0,0
83002462,inf,0,0,0,0,0
83643941,inf,0,0,0,0,1
84646357,inf,0,0,0,0,1
84836571,inf,0,0,0,0,0
84846973,inf,0,0,0,0,1
85848998,inf,0,0,0,0,1
86851052,inf,0,0,0,0,1
87853382,inf,0,0,0,0,1
88144159,inf,0,1,0,0,1
88425070,inf,0,1,1,0,1
88725568,inf,0,1,1,1,1
89727797,inf,0,1,1,1,1
