timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect
211659602,inf,0,1,1,1,0
212661965,inf,0,1,1,1,0
213664371,inf,0,1,1,1,0
214666622,inf,0,1,1,1,0
214906957,inf,0,1,0,0,0
215914300,inf,0,1,0,0,0
216921813,inf,0,1,0,0,0
217924493,inf,0,1,0,0,0
218906601,inf,0,0,0,0,0
219914101,inf,0,0,0,0,0
220916289,inf,0,0,0,0,0
221918417,inf,0,0,0,0,0
222925756,inf,0,0,0,0,0
223928248,inf,0,0,0,0,0
224935487,inf,0,0,0,0,0
225938137,inf,0,0,0,0,0
226945573,inf,0,0,0,0,0
227947734,inf,0,0,0,0,0
228955087,inf,0,0,0,0,0
229957235,inf,0,0,0,0,0
230964648,inf,0,0,0,0,0
231966981,inf,0,0,0,0,0
232974295,inf,0,0,0,0,0
233976738,inf,0,0,0,0,0
234417911,inf,0,1,0,0,0
234528148,inf,0,0,0,0,0
235535475,inf,0,0,0,0,0
236537800,inf,0,0,0,0,0
237545050,inf,0,0,0,0,0
238547404,inf,0,0,0,0,0
239554688,inf,0,0,0,0,0
240557048,inf,0,0,0,0,0
240897905,inf,0,0,1,0,0
240948035,inf,0,0,1,1,0
240998365,inf,0,1,1,1,0
