timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect
78471738,inf,0,1,1,1,0
79474402,inf,0,1,1,1,0
80476637,inf,0,1,1,1,0
81478878,inf,0,1,1,1,0
82480935,inf,0,1,1,1,0
83483236,inf,0,1,1,1,0
84485917,inf,0,1,1,1,0
85488021,inf,0,1,1,1,0
85838741,inf,0,1,0,0,0
86530280,inf,0,0,0,0,0
87532789,inf,0,0,0,0,0
88535145,inf,0,0,0,0,0
89537397,inf,0,1,0,0,0
89788139,inf,0,0,0,0,0
90148623,inf,0,1,0,0,0
90399218,inf,0,1,1,0,0
90700135,inf,0,1,1,1,0
91702226,inf,0,1,1,1,0
92704364,inf,0,1,1,1,0
93707434,inf,0,1,1,1,0
