timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect
278175604,inf,0,1,1,1,0
279177978,inf,0,1,1,1,0
280185335,inf,0,1,1,1,0
281187642,inf,0,1,1,1,0
282194912,inf,0,1,1,1,0
282786491,inf,0,1,0,0,0
283793928,inf,0,1,0,0,0
284796327,inf,0,1,0,0,0
285798430,inf,0,1,0,0,0
286805913,inf,0,1,0,0,0
287813480,inf,0,1,0,0,0
288815615,inf,0,1,0,0,0
289818268,inf,0,1,0,0,0
290645063,inf,0,0,0,0,0
291647322,inf,0,0,0,0,0
292654685,inf,0,0,0,0,0
293656970,inf,0,0,0,0,0
294664316,inf,0,0,0,0,0
295666776,inf,0,0,0,0,0
296669145,inf,0,0,0,0,0
297677315,inf,0,0,0,0,0
298683880,inf,0,0,0,0,0
299686456,inf,0,0,0,0,0
300693699,inf,0,0,0,0,0
301695923,inf,0,0,0,0,0
302698326,inf,0,0,0,0,0
303705582,inf,0,0,0,0,0
304708153,inf,0,0,0,0,0
304953529,inf,0,1,0,0,0
305204185,inf,0,1,1,0,0
305505061,inf,0,1,1,1,0
306507270,inf,0,1,1,1,0
307209067,inf,0,0,0,0,0
308216449,inf,0,0,0,0,0
309148390,inf,0,0,1,0,0
309198899,inf,0,0,1,1,0
309248890,inf,0,1,1,1,0
