timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,close_to_ground_or_skipped_check
795904654,inf,0,1,1,1,0,0,1,0,0,1
796913587,inf,0,1,1,1,0,0,1,0,0,1
797922421,inf,0,1,1,1,0,0,1,0,0,1
798926835,inf,0,1,1,1,0,0,1,0,0,1
799935445,inf,0,1,1,1,0,0,1,0,0,1
800944007,inf,0,1,1,1,0,0,1,0,0,1
801948511,inf,0,1,1,1,0,0,1,0,0,1
802028417,inf,0,1,1,1,1,0,1,0,0,1
802996744,inf,0,1,0,0,1,0,1,0,0,1
803006869,inf,0,0,0,0,1,0,1,0,0,1
804015715,inf,0,0,0,0,1,0,0,0,0,1
805024729,inf,0,0,0,0,1,0,1,0,0,1
806033557,inf,0,0,0,0,1,0,1,0,0,1
807042329,inf,0,0,0,0,1,0,0,0,0,1
808006862,inf,0,0,0,0,0,0,0,0,0,1
809015201,inf,0,0,0,0,0,0,0,0,0,1
810024110,inf,0,0,0,0,0,0,0,0,0,1
811033524,inf,0,0,0,0,0,0,0,1,0,1
812041904,inf,0,0,0,0,0,0,0,1,0,1
813045814,inf,0,0,0,0,0,0,0,1,0,1
814054613,inf,0,0,0,0,0,0,0,1,0,1
815063730,inf,0,0,0,0,0,0,0,1,0,1
816072679,inf,0,0,0,0,0,0,0,1,0,1
817082270,inf,0,0,0,0,0,0,0,1,0,1
818085393,inf,0,0,0,0,0,0,0,1,0,1
819094230,inf,0,0,0,0,0,0,0,0,0,1
820103179,inf,0,0,0,0,0,0,0,0,0,1
821111974,inf,0,0,0,0,0,0,0,0,0,1
822120953,inf,0,0,0,0,0,0,0,0,0,1
823124634,inf,0,0,0,0,0,0,0,0,0,1
824134028,inf,0,0,0,0,0,0,0,0,0,1
825142300,inf,0,0,0,0,0,0,0,0,0,1
826151858,inf,0,0,0,0,0,0,0,0,0,1
827155041,inf,0,0,0,0,0,0,0,0,0,1
828164713,inf,0,0,0,0,0,0,0,0,0,1
829172954,inf,0,0,0,0,0,0,0,0,0,1
830181731,inf,0,0,0,0,0,0,0,0,0,1
831190615,inf,0,0,0,0,0,0,0,0,0,1
832195099,inf,0,0,0,0,0,0,0,0,0,1
833203297,inf,0,0,0,0,0,0,0,0,0,1
834212400,inf,0,0,0,0,0,0,0,0,0,1
835216028,inf,0,0,0,0,0,0,0,0,0,1
836225157,inf,0,0,0,0,0,0,0,0,0,1
837229294,inf,0,0,0,0,0,0,0,0,0,1
838237592,inf,0,0,0,0,0,0,0,0,0,1
839247021,inf,0,0,0,0,0,0,0,0,0,1
840256003,inf,0,0,0,0,0,0,0,0,0,1
841264165,inf,0,0,0,0,0,0,0,0,0,1
