timestamp,alt_max,landed,freefall,ground_contact,maybe_landed,in_ground_effect
87461850,inf,1,0,0,0,0
88481771,inf,1,0,0,0,0
89496566,inf,1,0,0,0,0
90511575,inf,1,0,0,0,0
91531568,inf,1,0,0,0,0
92545602,inf,1,0,0,0,0
93564559,inf,1,0,0,0,0
94566510,inf,1,0,0,0,0
95580653,inf,1,0,0,0,0
96597857,inf,1,0,0,0,0
97617572,inf,1,0,0,0,0
98635578,inf,1,0,0,0,0
99649568,inf,1,0,0,0,0
100663359,inf,1,0,0,0,0
101681844,inf,1,0,0,0,0
102695321,inf,1,0,0,0,0
103707569,inf,1,0,0,0,0
104718512,inf,1,0,0,0,0
105737597,inf,1,0,0,0,0
106750560,inf,1,0,0,0,0
107767250,inf,1,0,0,0,0
108779585,inf,1,0,0,0,0
109795448,inf,1,0,0,0,0
110812561,inf,1,0,0,0,0
111826510,inf,1,0,0,0,0
112838514,inf,1,0,0,0,0
113853596,inf,1,0,0,0,0
114864551,inf,1,0,0,0,0
115879571,inf,1,0,0,0,0
116897673,inf,1,0,0,0,0
117912623,inf,1,0,0,0,0
118923568,inf,1,0,0,0,0
119941330,inf,1,0,0,0,0
120958516,inf,1,0,0,0,0
121972612,inf,1,0,0,0,0
122983575,inf,1,0,0,0,0
123986510,inf,1,0,0,0,0
125001589,inf,1,0,0,0,0
126018515,inf,1,0,0,0,0
127039430,inf,1,0,0,0,0
128055624,inf,1,0,0,0,0
129072564,inf,1,0,0,0,0
130083580,inf,1,0,0,0,0
131100566,inf,1,0,0,0,0
132117854,inf,1,0,0,0,0
133132905,inf,1,0,0,0,0
134144563,inf,1,0,0,0,0
135156966,inf,1,0,0,0,0
136168817,inf,1,0,0,0,0
137179172,inf,1,0,0,0,0
138196559,inf,1,0,0,0,0
139209646,inf,1,0,0,0,0
140226515,inf,1,0,0,0,0
141243575,inf,1,0,0,0,0
142258509,inf,1,0,0,0,0
143262568,inf,1,0,0,0,0
144275063,inf,1,0,0,0,0
145290512,inf,1,0,0,0,0
146307568,inf,1,0,0,0,0
147324647,inf,1,0,0,0,0
148336566,inf,1,0,0,0,0
149351630,inf,1,0,0,0,0
150370509,inf,1,0,0,0,0
151388558,inf,1,0,0,0,0
152403575,inf,1,0,0,0,0
153406509,inf,1,0,0,0,0
154419368,inf,1,0,0,0,0
155438522,inf,1,0,0,0,0
156457621,inf,1,0,0,0,0
157470515,inf,1,0,0,0,0
158483568,inf,1,0,0,0,0
159502523,inf,1,0,0,0,0
160515575,inf,1,0,0,0,0
161531568,inf,1,0,0,0,0
162550052,inf,1,0,0,0,0
163566518,inf,1,0,0,0,0
164576992,inf,1,0,0,0,0
165594511,inf,1,0,0,0,0
166612564,inf,1,0,0,0,0
167629591,inf,1,0,0,0,0
168650511,inf,1,0,0,0,0
169650647,inf,1,0,0,0,0
170666511,inf,1,0,0,0,0
171686034,inf,1,0,0,0,0
172686160,inf,1,0,0,0,0
173695989,inf,1,0,0,0,0
174710509,inf,1,0,0,0,0
175728572,inf,1,0,0,0,0
176733332,inf,1,0,0,0,0
177747653,inf,1,0,0,0,0
178764568,inf,1,0,0,0,0
179778516,inf,1,0,0,0,0
180792560,inf,1,0,0,0,0
181797767,inf,1,0,0,0,0
182812559,inf,1,0,0,0,0
183822518,inf,1,0,0,0,0
184835573,inf,1,0,0,0,0
185849636,inf,1,0,0,0,0
186862528,inf,1,0,0,0,0
187877578,inf,1,0,0,0,0
188890753,inf,1,0,0,0,0
189907574,inf,1,0,0,0,0
190920773,inf,1,0,0,0,0
191940480,inf,1,0,0,0,0
192948571,inf,1,0,0,0,0
193966053,inf,1,0,0,0,0
194978508,inf,1,0,0,0,0
195996029,inf,1,0,0,0,0
196997845,inf,1,0,0,0,0
197999583,inf,1,0,0,0,0
199016878,inf,1,0,0,0,0
200031048,inf,1,0,0,0,0
201048123,inf,1,0,0,0,0
202049850,inf,1,0,0,0,0
203061572,inf,1,0,0,0,0
204077857,inf,1,0,0,0,0
205095575,inf,1,0,0,0,0
206104563,inf,1,0,0,0,0
207120563,inf,1,0,0,0,0
208122512,inf,1,0,0,0,0
209122521,inf,1,0,0,0,0
210136649,inf,1,0,0,0,0
211155585,inf,1,0,0,0,0
212173836,inf,1,0,0,0,0
213190040,inf,1,0,0,0,0
214196611,inf,1,0,0,0,0
215216579,inf,1,0,0,0,0
216237856,inf,1,0,0,0,0
217248581,inf,1,0,0,0,0
218260581,inf,1,0,0,0,0
219261604,inf,1,0,0,0,0
220273671,inf,1,0,0,0,0
221284562,inf,1,0,0,0,0
222298610,inf,1,0,0,0,0
223309842,inf,1,0,0,0,0
224329664,inf,1,0,0,0,0
225345590,inf,1,0,0,0,0
226354509,inf,1,0,0,0,0
227373838,inf,1,0,0,0,0
228389575,inf,1,0,0,0,0
229390510,inf,1,0,0,0,0
230400827,inf,1,0,0,0,0
231416090,inf,1,0,0,0,0
232433572,inf,1,0,0,0,0
233433605,inf,1,0,0,0,0
234446517,inf,1,0,0,0,0
235466519,inf,1,0,0,0,0
236481568,inf,1,0,0,0,0
237501595,inf,1,0,0,0,0
238516567,inf,1,0,0,0,0
239517131,inf,1,0,0,0,0
240529569,inf,1,0,0,0,0
241531748,inf,1,0,0,0,0
242550512,inf,1,0,0,0,0
