timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,close_to_ground_or_skipped_check
629589221,inf,0,1,1,1,1,0,1,0,0,1
630592494,inf,0,1,1,1,1,0,1,0,0,1
630832275,inf,0,1,0,0,1,0,1,0,0,1
630852508,inf,0,0,0,0,1,0,0,0,0,1
631861816,inf,0,0,0,0,1,0,0,1,0,1
632870285,inf,0,0,0,0,1,0,0,1,0,1
633879157,inf,0,0,0,0,1,0,0,0,1,1
634883140,inf,0,0,0,0,1,0,0,1,0,1
635845659,inf,0,0,0,0,0,0,0,1,0,1
636851139,inf,0,0,0,0,0,0,0,1,0,1
637863541,inf,0,0,0,0,0,0,0,1,0,1
638872637,inf,0,0,0,0,0,0,0,0,0,1
639873075,inf,0,0,0,0,0,0,0,1,0,1
640882207,inf,0,0,0,0,0,0,0,1,0,1
641892096,inf,0,0,0,0,0,0,0,1,0,1
642896013,inf,0,0,0,0,0,0,0,1,0,1
643903859,inf,0,0,0,0,0,0,0,1,0,1
644913599,inf,0,0,0,0,0,0,0,1,0,1
645921718,inf,0,0,0,0,0,0,0,1,0,1
646930986,inf,0,0,0,0,0,0,0,1,0,1
647939644,inf,0,0,0,0,0,0,1,1,0,1
648309283,inf,0,1,0,0,0,0,1,0,0,1
648838713,inf,0,1,1,0,0,0,1,0,0,1
649178344,inf,0,1,1,1,0,0,1,0,0,1
649188404,inf,0,1,1,1,1,0,1,0,0,1
649553907,inf,0,1,1,1,0,0,1,0,0,1
650562149,inf,0,1,1,1,0,0,1,0,0,1
651031694,inf,0,1,1,1,1,0,1,0,0,1
651191844,inf,0,1,1,1,0,0,1,0,0,1
