timestamp,timestamp_sample,device_id,error_count,pressure,temperature
1332898594,1332898580,3997714,0,470.37997,25.63
1333885800,1333885786,3997714,0,470.44,25.66
1334892740,1334892726,3997714,0,470.41,25.68
1335889478,1335889464,3997714,0,470.43,25.699999
1336886620,1336886606,3997714,0,470.55,25.71
1337893455,1337893442,3997714,0,470.36,25.71
1338880667,1338880653,3997714,0,470.28,25.699999
1339887621,1339887597,3997714,0,470.24,25.68
1340884660,1340884647,3997714,0,470.22,25.67
1341891611,1341891597,3997714,0,470.19998,25.64
1342888605,1342888592,3997714,0,470.16998,25.63
1343875368,1343875355,3997714,0,470.15,25.609999
1344882775,1344882761,3997714,0,469.99,25.59
1345889858,1345889844,3997714,0,469.91998,25.58
1346886805,1346886788,3997714,0,469.81998,25.55
1347893888,1347893874,3997714,0,469.88998,25.51
1348890602,1348890589,3997714,0,469.91998,25.48
1349877819,1349877806,3997714,0,469.94,25.449999
1350884604,1350884590,3997714,0,469.9,25.42
1351891798,1351891782,3997714,0,469.88998,25.369999
1352898883,1352898867,3997714,0,469.84,25.33
1353885814,1353885801,3997714,0,469.9,25.289999
1354892799,1354892786,3997714,0,469.84998,25.21
1355879846,1355879829,3997714,0,469.88998,25.09
1356887089,1356886840,3997714,0,469.84,24.98
1357893827,1357893813,3997714,0,469.8,24.88
1358890978,1358890749,3997714,0,469.84,24.779999
1359887826,1359887813,3997714,0,469.83,24.689999
1360894861,1360894847,3997714,0,469.93,24.58
1361881813,1361881800,3997714,0,469.84998,24.43
1362888887,1362888874,3997714,0,469.91,24.279999
1363885693,1363885679,3997714,0,469.97,24.17
1364892790,1364892774,3997714,0,469.9,24.07
1365889552,1365889538,3997714,0,469.9,24.0
1366876252,1366876239,3997714,0,469.88998,23.939999
1367883315,1367883302,3997714,0,469.87,23.91
1368890513,1368890499,3997714,0,469.88998,23.88
1369887222,1369887208,3997714,0,469.84998,23.869999
1370884248,1370884234,3997714,0,469.78,23.869999
1371891255,1371891242,3997714,0,469.78998,23.869999
1372878214,1372878201,3997714,0,469.84,23.88
1373885300,1373885287,3997714,0,469.84998,23.89
1374892459,1374892442,3997714,0,469.84,23.89
1375889502,1375889488,3997714,0,469.87997,23.9
1376896469,1376896453,3997714,0,469.87,23.91
1377873608,1377873595,3997714,0,469.84,23.91
1378880348,1378880334,3997714,0,469.88998,23.91
1379887461,1379887448,3997714,0,469.9,23.9
1380894333,1380894320,3997714,0,469.87997,23.89
1381891513,1381891499,3997714,0,469.88998,23.859999
1382898806,1382898792,3997714,0,469.88998,23.85
1383875603,1383875590,3997714,0,469.91,23.84
1384882719,1384882703,3997714,0,469.87,23.83
1385889664,1385889651,3997714,0,469.78998,23.81
1386886906,1386886893,3997714,0,469.78,23.789999
1387884095,1387884081,3997714,0,469.84998,23.769999
1388891308,1388891295,3997714,0,469.81998,23.73
1389898331,1389898317,3997714,0,469.81998,23.689999
1390885322,1390885308,3997714,0,469.91998,23.63
1391892345,1391892331,3997714,0,469.83,23.59
1392889258,1392889245,3997714,0,469.84998,23.539999
1393896110,1393896097,3997714,0,469.86,23.47
1394893149,1394893136,3997714,0,469.93,23.4
1395879957,1395879941,3997714,0,469.91,23.35
1396887035,1396887018,3997714,0,469.91998,23.32
1397894226,1397894210,3997714,0,469.94998,23.289999
1398890953,1398890940,3997714,0,469.88998,23.26
1399888174,1399888160,3997714,0,469.88998,23.26
1400875109,1400875091,3997714,0,469.87,23.24
1401882114,1401882101,3997714,0,469.9,23.199999
1402888919,1402888905,3997714,0,469.86,23.16
1403885827,1403885814,3997714,0,469.88998,23.109999
1404892683,1404892670,3997714,0,469.9,23.07
1405889755,1405889742,3997714,0,469.93,23.029999
1406876950,1406876936,3997714,0,469.91,23.01
1407883783,1407883770,3997714,0,469.94998,23.0
1408890994,1408890981,3997714,0,469.97998,23.01
1409887782,1409887768,3997714,0,470.03998,23.019999
1410884702,1410884688,3997714,0,470.03,23.029999
1411891828,1411891814,3997714,0,470.09998,23.029999
1412878626,1412878612,3997714,0,470.05,23.029999
1413885612,1413885598,3997714,0,470.0,23.039999
1414892611,1414892598,3997714,0,470.0,23.029999
1415889711,1415889697,3997714,0,469.87,23.01
1416886657,1416886643,3997714,0,469.84998,22.99
1417893713,1417893697,3997714,0,469.86,22.97
1418880319,1418880306,3997714,0,469.84,22.939999
1419887470,1419887457,3997714,0,469.84,22.869999
1420884495,1420884482,3997714,0,469.87997,22.82
1421891258,1421891242,3997714,0,469.96,22.789999
1422888344,1422888330,3997714,0,469.97,22.789999
1423875061,1423875045,3997714,0,470.02,22.8
1424882103,1424882090,3997714,0,470.0,22.82
1425889012,1425888999,3997714,0,470.05,22.85
1426886164,1426886151,3997714,0,470.06998,22.9
1427893002,1427892989,3997714,0,470.08,22.939999
1428890237,1428890223,3997714,0,470.18,22.98
1429877360,1429877347,3997714,0,470.21,23.019999
1430884358,1430884344,3997714,0,470.28,23.07
1431891462,1431891449,3997714,0,470.28,23.109999
1432888550,1432888533,3997714,0,470.33,23.16
1433885305,1433885292,3997714,0,470.4,23.199999
1434892556,1434892543,3997714,0,470.44,23.24
1435879455,1435879442,3997714,0,470.43,23.269999
1436886657,1436886643,3997714,0,470.41998,23.289999
1437893657,1437893643,3997714,0,470.44998,23.31
1438893085,1438893071,3997714,0,470.43,23.33
