timestamp,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,fake_hvel[0],fake_hvel[1],fake_vvel,fake_hpos[0],fake_hpos[1],fake_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],drag[0],drag[1],airspeed,beta,hagl
31596252,0.0,0.0,0.0,0.0021049057,0.00036712547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.09613037,0.0,0.0,nan,0.0,0.0,-0.0005778074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31606271,0.0,0.0,0.0,0.0021049057,0.00036712547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.09613037,0.0,0.0,nan,0.0,0.0,0.001408577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31796714,0.0,0.0,0.0,0.001964458,-8.684656e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.09613037,0.0,0.0,nan,0.0,0.0,0.007817745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31997178,0.0,0.0,0.0,0.0017583839,-0.0005325876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.33721924,0.0,0.0,nan,0.0,0.0,0.040132165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32197644,0.0,0.0,0.0,0.00138845,-0.0010374552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.1105957,0.0,0.0,nan,0.0,0.0,0.014393449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32398111,0.0,0.0,0.0,0.0009827145,-0.0016377317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.12506104,0.0,0.0,nan,0.0,0.0,0.006168723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32598575,0.0,0.0,0.0,0.0005568771,-0.00222875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.032043457,0.0,0.0,nan,0.0,0.0,0.012760997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32799041,0.0,0.0,0.0,0.00017536407,-0.0028379078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.09118652,0.0,0.0,nan,0.0,0.0,0.022595525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32999503,0.0,0.0,0.0,-0.00010127088,-0.0034633968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.061279297,0.0,0.0,nan,0.0,0.0,0.011766434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33199969,0.0,0.0,0.0,-0.0003383511,-0.003992108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.10369873,0.0,0.0,nan,0.0,0.0,0.0050446987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33400435,0.0,0.0,0.0,-0.0003989969,-0.0045262952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.12384033,0.0,0.0,nan,0.0,0.0,0.036157727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33600900,0.0,0.0,0.0,-0.0004416512,-0.0048507084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.3213501,0.0,0.0,nan,0.0,0.0,0.038402557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33801383,0.0,0.0,0.0,-0.0005227467,-0.004921858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.056396484,0.0,0.0,nan,0.0,0.0,-0.0026738644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34001830,0.0,0.0,0.0,-0.0006054804,-0.0047921618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.099609375,0.0,0.0,nan,0.0,0.0,0.0045753717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34202295,0.0,0.0,0.0,-0.0006433366,-0.0044569178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.08935547,0.0,0.0,nan,0.0,0.0,0.0043770075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34402761,0.0,0.0,0.0,-0.0005148133,-0.0039537577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,-0.13903809,0.0,0.0,nan,0.0,0.0,0.035585165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34603225,0.0,0.0,0.0,-0.00035361038,-0.0034530363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.19036865,0.0,0.0,nan,0.0,0.0,-0.0042378902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
