timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping
208625834,208625687,4259850,4325386,-2.5725087e-05,-2.212162e-05,2.8056176e-05,-0.006361882,-0.004112492,-0.04703364,5006,4971,0
208630850,208630696,4259850,4325386,-3.1679574e-05,-9.1370737e-07,-8.45319e-06,-0.0064479103,-0.004091634,-0.046845388,5009,4971,0
209131487,209131339,4259850,4325386,8.785416e-06,-2.1068354e-06,-2.2792809e-05,-0.006507386,-0.004103164,-0.047109235,5010,4971,0
209627218,209627101,4259850,4325386,2.7596852e-05,2.9028832e-05,5.368208e-06,-0.006346559,-0.0040840697,-0.04694215,5006,4968,0
210127719,210127610,4259850,4325386,1.7780216e-05,6.5208965e-06,-6.374382e-06,-0.006477975,-0.004117585,-0.047310345,5006,5003,0
210628360,210628252,4259850,4325386,-2.7555052e-05,1.8887193e-05,-5.1060547e-06,-0.0063287457,-0.004123542,-0.047455467,5006,5008,0
211129006,211128894,4259850,4325386,7.0063893e-06,-4.7162207e-06,4.8595615e-05,-0.006418672,-0.004107163,-0.04715115,5007,4972,0
211629646,211629536,4259850,4325386,1.2719552e-05,1.8071298e-05,-1.3296505e-05,-0.006535988,-0.0041145273,-0.047212493,5007,4973,0
212130483,212130360,4259850,4325386,2.9034225e-05,2.3010158e-05,-3.319299e-05,-0.0063569555,-0.004105188,-0.047143612,5011,4975,0
212631009,212630821,4259850,4325386,-3.2834923e-06,1.31594215e-05,-1.0109995e-06,-0.00638702,-0.0041166586,-0.047245473,5009,4976,0
213131633,213131461,4259850,4325386,-6.974085e-05,2.9898113e-06,1.277318e-06,-0.0064108935,-0.004100377,-0.047089465,5006,4971,0
213627205,213627095,4259850,4325386,2.7933042e-06,-8.383635e-06,1.2835558e-06,-0.006439755,-0.0041001784,-0.047086284,5006,4971,0
214127847,214127740,4259850,4325386,1.5865944e-05,-5.503089e-08,-1.9199344e-07,-0.00623277,-0.004096786,-0.047068935,4993,4972,0
214628726,214628608,4259850,4325386,-2.6965514e-05,-2.280743e-05,2.8279233e-05,-0.0059774537,-0.003905083,-0.04481848,4972,4719,0
215129163,215129022,4259850,4325386,-3.3233187e-06,-2.339036e-05,2.0748137e-05,-0.006262729,-0.004114799,-0.0472466,5000,4981,0
215629778,215629663,4259850,4325386,-2.186387e-06,-9.245474e-06,2.2272403e-05,-0.0062693683,-0.004102082,-0.04711152,5007,4971,0
216130413,216130304,4259850,4325386,-1.856398e-05,-3.9107927e-05,-1.6446436e-05,-0.006446814,-0.004116023,-0.047225565,5005,4971,0
216631086,216630970,4259850,4325386,-5.0199982e-05,-1.5707992e-05,-4.259457e-06,-0.0063720196,-0.0040566763,-0.046561148,5018,4907,0
217127000,217126841,4259850,4325386,2.8153574e-05,-6.191918e-06,2.6444675e-05,-0.006417151,-0.0041612615,-0.047711883,5009,5009,0
217627336,217627227,4259850,4325386,1.1722388e-05,5.9546906e-06,1.8381763e-05,-0.006178487,-0.004078976,-0.046912402,5004,4971,0
218128083,218127889,4259850,4325386,2.6358073e-06,-1.9366616e-05,1.0261448e-05,-0.0064359447,-0.004104443,-0.047130853,5011,4974,0
218628676,218628508,4259850,4325386,-9.302452e-06,-6.2315994e-06,2.5708638e-07,-0.006379571,-0.004148735,-0.04761923,5006,5016,0
219129264,219129150,4259850,4325386,4.3038417e-05,3.0152337e-06,7.889031e-06,-0.006467232,-0.004128734,-0.047413673,4999,5005,0
219629954,219629792,4259850,4325386,-1.0108706e-05,-2.917287e-05,2.2181664e-05,-0.0064945547,-0.0040982277,-0.047064103,5006,4970,0
