timestamp,timestamp_sample,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],n_states
26782629,26781322,-0.2488416,0.018040715,-0.11345985,0.9617064,-0.0010722773,0.0019171275,0.021024467,-0.13902743,0.00030479336,-0.39011833,-1.3545682e-05,2.5935798e-05,1.558139e-05,1.4341059e-06,2.675091e-05,5.4645323e-05,0.18032482,-0.068808824,-0.12778233,0.0,0.0,0.0,0.0,0.0,0.00013494823,1.31056595e-05,1.2250776e-05,8.8780325e-06,0.01812711,0.017815458,0.011447294,0.048283394,0.048169993,0.1701854,5.3898542e-11,6.624272e-11,7.0564293e-10,3.9276906e-06,3.895808e-06,5.000009e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
27776327,27775124,-0.25074577,0.016932838,-0.11886326,0.9605787,-0.0066562407,0.008798237,0.01182752,-0.18846944,0.017073361,-0.38115305,-1.3315918e-05,2.6206306e-05,1.4112065e-05,1.4341059e-06,2.675091e-05,5.3928077e-05,0.18032482,-0.068808824,-0.12778233,0.0,0.0,0.0,0.0,0.0,0.00013172875,9.652258e-06,8.60803e-06,8.785829e-06,0.015879434,0.015699731,0.010440106,0.045422442,0.04534582,0.16391218,4.2773226e-11,5.625604e-11,6.227482e-10,3.9276906e-06,3.895808e-06,5.000027e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
28775084,28773930,-0.2512536,0.01732563,-0.12008187,0.9602874,0.000781795,0.018789832,0.0010285897,-0.23075527,0.033022024,-0.3920058,-1.3311705e-05,2.6380872e-05,1.3753276e-05,1.4341059e-06,2.675091e-05,5.240334e-05,0.18032482,-0.068808824,-0.12778233,0.0,0.0,0.0,0.0,0.0,0.00013224634,7.778001e-06,6.627981e-06,8.870599e-06,0.014026481,0.013904565,0.010077752,0.043925684,0.043871917,0.15846275,3.6679725e-11,5.0445165e-11,5.609334e-10,3.9276906e-06,3.895808e-06,5.000009e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
29773914,29772739,-0.25188342,0.017438084,-0.1208152,0.96002835,-0.0044233385,0.016027015,-0.009792013,-0.26704717,0.05552415,-0.4202815,-1.3314767e-05,2.657752e-05,1.3142292e-05,1.4341059e-06,2.675091e-05,5.1854615e-05,0.18032482,-0.068808824,-0.12778233,0.0,0.0,0.0,0.0,0.0,0.00012966566,6.7449746e-06,5.5522273e-06,8.755905e-06,0.012664577,0.0125609245,0.010113021,0.042789407,0.04274891,0.15665378,3.3090742e-11,4.6394794e-11,4.9911586e-10,3.9276906e-06,3.895808e-06,5.0000363e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
30772865,30771553,-0.25248644,0.017306767,-0.12066121,0.9598916,0.0027748349,0.022791076,-0.020694718,-0.30381933,0.08871541,-0.47169554,-1.3295354e-05,2.6787531e-05,1.2796758e-05,1.4341059e-06,2.675091e-05,4.9470345e-05,0.18032482,-0.068808824,-0.12778233,0.0,0.0,0.0,0.0,0.0,0.00012485834,6.1330343e-06,4.958938e-06,8.4973335e-06,0.011729177,0.011634695,0.010254419,0.04182332,0.04178883,0.15393499,3.075475e-11,4.3244207e-11,4.4045775e-10,3.9276906e-06,3.895808e-06,5.000018e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
31776801,31775363,-0.25285965,0.01748511,-0.12394213,0.95937204,-0.005769506,0.03622043,-0.03380405,-0.34628576,0.1288775,-0.48813862,-1.3318376e-05,2.6989204e-05,1.27290705e-05,-4.8182108e-05,-1.0438847e-05,3.8547456e-05,0.18032482,-0.068808824,-0.12778233,0.0,0.0,0.0,0.0,0.0,0.00012164639,5.9094186e-06,4.6525297e-06,8.3486575e-06,0.021060742,0.020537255,0.011093174,0.041218184,0.04117698,0.15208115,2.912679e-11,4.0861314e-11,3.930985e-10,3.6562597e-06,3.6357274e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
32775389,32774181,-0.25356624,0.016615616,-0.12570055,0.9589721,0.008143695,0.02251101,-0.074187174,-0.3764076,0.18853483,-0.54627454,-1.3225257e-05,2.7120788e-05,1.2183392e-05,-5.2251275e-05,-0.00016014483,2.5154304e-05,0.18032482,-0.068808824,-0.12778233,0.0,0.0,0.0,0.0,0.0,0.00011939608,6.540657e-06,5.308583e-06,8.272013e-06,0.028357843,0.02765946,0.012235681,0.041644968,0.041573133,0.15278454,2.9176456e-11,3.988078e-11,3.541667e-10,1.7254401e-06,1.7409754e-06,5.0000363e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
33774222,33773001,-0.25457308,0.016091824,-0.12529397,0.95876753,0.0018419246,0.022679249,-0.09283742,-0.41343054,0.24985437,-0.60223407,-1.3131202e-05,2.7231057e-05,1.17715945e-05,-0.00013951164,-0.00017096658,4.2563985e-07,0.18032482,-0.068808824,-0.12778233,0.0,0.0,0.0,0.0,0.0,0.00011635526,7.655135e-06,6.556503e-06,8.164313e-06,0.021390643,0.020934155,0.01218037,0.04158098,0.04149021,0.15195268,3.0033403e-11,3.955606e-11,3.1865427e-10,8.3308856e-07,8.410164e-07,5.000018e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
34768579,34766831,-0.25446308,0.015918009,-0.12453226,0.95889884,0.0047389776,0.028135007,-0.096648194,-0.45158154,0.3178122,-0.6342085,-1.3160674e-05,2.717794e-05,1.2248639e-05,-0.00016170586,-0.00016980128,-3.4010096e-05,0.18032482,-0.068808824,-0.12778233,0.0,0.0,0.0,0.0,0.0,0.00011161044,8.887056e-06,7.913916e-06,7.902783e-06,0.010956787,0.010855978,0.011388049,0.04025491,0.040169843,0.15271248,3.080911e-11,3.9245343e-11,2.848747e-10,7.4674307e-07,7.5307156e-07,5.0000363e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
35777461,35775647,-0.25426698,0.016067402,-0.1246117,0.95893806,0.009683772,0.022804925,-0.08652102,-0.4811636,0.39017776,-0.6701162,-1.3248022e-05,2.7149837e-05,1.2961535e-05,-0.00016170586,-0.00016980128,-6.163818e-05,0.18032482,-0.068808824,-0.12778233,0.0,0.0,0.0,0.0,0.0,0.000108843546,9.581598e-06,8.62271e-06,7.771469e-06,0.0103749875,0.010328648,0.011065069,0.03914289,0.039085686,0.15274245,3.0375882e-11,3.82506e-11,2.573552e-10,7.4674307e-07,7.5307156e-07,5.000027e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
