timestamp,speed_xy,speed_up,speed_down,want_takeoff
1332886686,12.0,3.0,1.0,0
1332908087,12.0,3.0,1.0,0
1333886161,12.0,3.0,1.0,0
1334884290,12.0,3.0,1.0,0
1335894278,12.0,3.0,1.0,1
1336887703,12.0,3.0,1.0,1
1337885897,12.0,3.0,1.0,1
1338885506,12.0,3.0,1.0,1
1339894792,12.0,3.0,1.0,0
1340887569,12.0,3.0,1.0,0
1341886970,12.0,3.0,1.0,0
1342885428,12.0,3.0,1.0,0
1343887685,5.0,3.0,1.0,1
1344894338,5.0,3.0,1.0,1
1345896488,5.0,3.0,1.0,1
1346885836,5.0,3.0,1.0,0
1347888351,5.0,3.0,1.0,0
1348894528,5.0,3.0,1.0,1
1349885689,5.0,3.0,1.0,1
1350874590,5.0,3.0,1.0,1
1351884880,5.0,3.0,1.0,0
1352898199,5.0,3.0,1.0,0
1353876055,5.0,3.0,1.0,0
1354890261,5.0,3.0,1.0,0
1355888976,5.0,3.0,1.0,0
1356887999,5.0,3.0,1.0,0
1357886595,5.0,3.0,1.0,0
1358886747,5.0,3.0,1.0,0
1359885584,5.0,3.0,1.0,0
1360888242,5.0,3.0,1.0,0
1361886699,5.0,3.0,1.0,0
1362887236,5.0,3.0,1.0,1
1363889569,5.0,3.0,1.0,1
1364884659,5.0,3.0,1.0,1
1365886972,5.0,3.0,1.0,0
1366887411,5.0,3.0,1.0,1
1367889940,5.0,3.0,1.0,1
1368889807,5.0,3.0,1.0,0
1369888658,5.0,3.0,1.0,0
1370887953,5.0,3.0,1.0,0
1371889863,5.0,3.0,1.0,0
1372888660,5.0,3.0,1.0,0
1373895283,5.0,3.0,1.0,0
1374892812,5.0,3.0,1.0,0
1375890266,5.0,3.0,1.0,0
1376889006,5.0,3.0,1.0,0
1377877898,5.0,3.0,1.0,0
1378886541,5.0,3.0,1.0,0
1379891676,5.0,3.0,1.0,0
1380889338,5.0,3.0,1.0,1
1381867940,5.0,3.0,1.0,0
1382897839,5.0,3.0,1.0,0
1383886961,5.0,3.0,1.0,0
1384889267,5.0,3.0,1.0,0
1385884454,5.0,3.0,1.0,0
1386886802,5.0,3.0,1.0,0
1387892063,5.0,3.0,1.0,0
1388889670,5.0,3.0,1.0,0
1389884609,5.0,3.0,1.0,0
1390886966,5.0,3.0,1.0,0
1391887725,5.0,3.0,1.0,0
1392885953,5.0,3.0,1.0,0
1393884744,5.0,3.0,1.0,0
1394887189,5.0,3.0,1.0,0
1395887412,5.0,3.0,1.0,0
1396886225,5.0,3.0,1.0,0
1397884943,5.0,3.0,1.0,0
1398887102,5.0,3.0,1.0,1
1399892454,12.0,3.0,1.0,0
1400886071,12.0,3.0,1.0,0
1401888690,12.0,3.0,1.0,0
1402893568,12.0,3.0,1.0,0
1403892305,12.0,3.0,1.0,0
1404886313,12.0,3.0,1.0,0
1405885196,12.0,3.0,1.0,0
1406893623,12.0,3.0,1.0,0
1407892548,12.0,3.0,1.0,0
1408886175,12.0,3.0,1.0,0
1409885158,12.0,3.0,1.0,0
1410893693,12.0,3.0,1.0,0
1411892584,12.0,3.0,1.0,0
1412892019,5.0,3.0,1.0,1
1413885130,5.0,3.0,1.0,1
1414893877,5.0,3.0,1.0,1
1415892671,5.0,3.0,1.0,1
1416894962,5.0,3.0,1.0,1
1417885410,5.0,3.0,1.0,0
1418893932,5.0,3.0,1.0,0
1419896209,5.0,3.0,1.0,0
1420885036,5.0,3.0,1.0,0
1421888933,5.0,3.0,1.0,0
1422887763,5.0,3.0,1.0,0
1423893223,5.0,3.0,1.0,0
1424891524,5.0,3.0,1.0,0
1425885964,5.0,3.0,1.0,0
1426874060,5.0,3.0,1.0,0
1427892802,5.0,3.0,1.0,0
1428891680,5.0,3.0,1.0,0
1429885913,5.0,3.0,1.0,0
1430894146,5.0,3.0,1.0,0
1431892989,5.0,3.0,1.0,0
1432891761,5.0,3.0,1.0,0
1433885563,5.0,3.0,1.0,0
1434884743,5.0,3.0,1.0,0
1435888618,5.0,3.0,1.0,0
1436886870,5.0,3.0,1.0,0
1437886039,5.0,3.0,1.0,0
1438884549,5.0,3.0,1.0,0
