timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
788144799,0.0,-0.0,-2.3378422,0.0,-0.3911448,0.0,0.0,0.92032915,0.0,0.0,-0.001,0,0,0,0,0
788154994,0.0,-0.0,-2.337841,0.0,-0.39114538,0.0,0.0,0.9203289,0.0,0.0,-0.001,0,0,0,0,0
788195053,0.0,-0.0,-2.3378453,0.0,-0.39114344,0.0,0.0,0.92032975,0.0,0.0,-0.001,0,0,0,0,0
788244624,0.0,-0.0,-2.337849,0.0,-0.3911418,0.0,0.0,0.9203304,0.0,0.0,-0.001,0,0,0,0,0
788296696,0.0,-0.0,-2.337863,0.0,-0.3911353,0.0,0.0,0.9203332,0.0,0.0,-0.001,0,0,0,0,0
788344618,0.0,-0.0,-2.337679,0.0,-0.39122,0.0,0.0,0.9202972,0.0,0.0,-0.001,0,0,0,0,0
788395155,0.0,-0.0,-2.3375916,0.0,-0.39126018,0.0,0.0,0.9202801,0.0,0.0,-0.001,0,0,0,0,0
788444410,0.0,-0.0,-2.3380756,0.0,-0.3910374,0.0,0.0,0.9203748,0.0,0.0,-0.001,0,0,0,0,0
788495103,0.0,-0.0,-2.337921,0.0,-0.39110863,0.0,0.0,0.92034453,0.0,0.0,-0.001,0,0,0,0,0
788544275,0.0,-0.0,-2.3377852,0.0,-0.3911711,0.0,0.0,0.920318,0.0,0.0,-0.001,0,0,0,0,0
788594969,0.0,-0.0,-2.3378444,0.0,-0.39114386,0.0,0.0,0.9203296,0.0,0.0,-0.001,0,0,0,0,0
788644351,0.0,-0.0,-2.3377461,0.0,-0.39118904,0.0,0.0,0.9203104,0.0,0.0,-0.001,0,0,0,0,0
788696268,0.0,-0.0,-2.3378153,0.0,-0.39115724,0.0,0.0,0.9203239,0.0,0.0,-0.001,0,0,0,0,0
788744078,0.0,-0.0,-2.3378625,0.0,-0.39113554,0.0,0.0,0.9203331,0.0,0.0,-0.001,0,0,0,0,0
788794837,0.0,-0.0,-2.3379345,0.0,-0.3911024,0.0,0.0,0.92034715,0.0,0.0,-0.001,0,0,0,0,0
788849202,0.0,-0.0,-2.3378606,0.0,-0.3911364,0.0,0.0,0.92033273,0.0,0.0,-0.001,0,0,0,0,0
788900314,0.0,-0.0,-2.3378794,0.0,-0.39112774,0.0,0.0,0.92033637,0.0,0.0,-0.001,0,0,0,0,0
788949488,-0.034593213,-0.01563149,-2.3378725,0.0,-0.39093605,0.013956648,-0.012860903,0.92022216,0.0,0.0,-0.00432188,0,0,0,0,0
788998764,-0.026317962,-0.010412041,-2.3378725,0.0,-0.39102873,0.009937513,-0.010074109,0.92026967,0.0,0.0,-0.006855796,0,0,0,0,0
789049090,-0.013019687,-0.0032399208,-2.3378725,0.0,-0.39111242,0.004037054,-0.005357584,0.9203184,0.0,0.0,-0.012094617,0,0,0,0,0
789098674,-0.00089222897,-0.0017027674,-2.3378725,0.0,-0.39113045,0.0009580473,-7.757224e-05,0.92033476,0.0,0.0,-0.017084775,0,0,0,0,0
789149017,-0.005797016,-0.00036184976,-2.3378725,0.0,-0.39112875,0.0013002051,-0.0025968296,0.9203314,0.0,0.0,-0.020574452,0,0,0,0,0
789198607,-0.007949018,0.0011937107,-2.3378725,0.0,-0.39113,0.0010052462,-0.0038913165,0.92032665,0.0,0.0,-0.026884515,0,0,0,0,0
789248642,-0.0054085767,0.0007414216,-2.3378725,0.0,-0.3911304,0.00071655243,-0.002633844,0.9203313,0.0,0.0,-0.03065149,0,0,0,0,0
789299727,-0.0094664255,-0.003542654,-2.3378725,0.0,-0.39111826,0.0034814915,-0.0036633064,0.9203266,0.0,0.0,-0.038970653,0,0,0,0,0
789348737,-0.010541914,0.0022842132,-2.3378725,0.0,-0.3911308,0.0010105175,-0.005297728,0.9203193,0.0,0.0,-0.04292941,0,0,0,0,0
789398511,-0.011695034,0.0030429813,-2.3378725,0.0,-0.3911319,0.0008868722,-0.005976729,0.9203148,0.0,0.0,-0.0500353,0,0,0,0,0
789448626,-0.014924716,0.002751397,-2.3378725,0.0,-0.39112914,0.0016526614,-0.007405863,0.92030454,0.0,0.0,-0.05585278,0,0,0,0,0
789499404,-0.013769472,0.0020002467,-2.3378725,0.0,-0.39112777,0.0017723835,-0.0067273793,0.9203101,0.0,0.0,-0.06372148,0,0,0,0,0
789548578,-0.019267175,0.0024427257,-2.3378725,0.0,-0.3911233,0.0026439219,-0.009343675,0.9202871,0.0,0.0,-0.0705224,0,0,0,0,0
789598149,-0.021748155,0.0038836482,-2.3378725,0.0,-0.39112642,0.0024660742,-0.010767041,0.9202707,0.0,0.0,-0.07786578,0,0,0,0,0
789648191,-0.02962255,0.003322761,-2.3378725,0.0,-0.39111012,0.0042640683,-0.014280562,0.92022324,0.0,0.0,-0.08651125,0,0,0,0,0
789699453,-0.029467965,0.008396775,-2.3378725,0.0,-0.39114192,0.0018991642,-0.015201527,0.92020285,0.0,0.0,-0.094472505,0,0,0,0,0
789748100,-0.019795436,0.009252251,-2.3378725,0.0,-0.39114973,-0.0003861628,-0.010918296,0.9202622,0.0,0.0,-0.102665566,0,0,0,0,0
789797965,-0.016986372,0.006419433,-2.3378725,0.0,-0.3911398,0.0003679875,-0.009071815,0.9202865,0.0,0.0,-0.111142576,0,0,0,0,0
789847993,-0.019289041,0.008957677,-2.3378725,0.0,-0.39114857,-0.00034965252,-0.01062769,0.9202661,0.0,0.0,-0.11980077,0,0,0,0,0
789899007,-0.017397232,0.0020174377,-2.3378725,0.0,-0.39112398,0.0024739287,-0.008400062,0.9202963,0.0,0.0,-0.12943536,0,0,0,0,0
789947863,-0.01922625,0.0047503165,-2.3378725,0.0,-0.39113277,0.0015740833,-0.009776089,0.920281,0.0,0.0,-0.13807698,0,0,0,0,0
789997759,-0.02835389,0.013841537,-2.3378725,0.0,-0.39117247,-0.00082401175,-0.015753424,0.92018217,0.0,0.0,-0.14851367,0,0,0,0,0
790048396,-0.030770376,0.011339701,-2.3378725,0.0,-0.3911586,0.0007997718,-0.016376121,0.9201772,0.0,0.0,-0.15852691,0,0,0,0,0
790098939,-0.037237376,0.005987387,-2.3378725,0.0,-0.39111263,0.004527171,-0.018305084,0.9201496,0.0,0.0,-0.17072992,0,0,0,0,0
790147901,-0.034823813,0.0069947755,-2.3378725,0.0,-0.39112526,0.0035916753,-0.017391609,0.92016613,0.0,0.0,-0.17967373,0,0,0,0,0
790197617,-0.030451084,0.01379718,-2.3378725,0.0,-0.39117292,-0.0003934194,-0.016709644,0.92016536,0.0,0.0,-0.18926816,0,0,0,0,0
790247552,-0.027461246,0.008383699,-2.3378725,0.0,-0.39114356,0.0015127236,-0.014275667,0.9202177,0.0,0.0,-0.20093715,0,0,0,0,0
790298698,-0.030383592,0.008976035,-2.3378725,0.0,-0.3911446,0.0018117029,-0.015736058,0.9201929,0.0,0.0,-0.2131764,0,0,0,0,0
790347444,-0.035175975,0.014387892,-2.3378725,0.0,-0.39117676,0.00025891306,-0.018998904,0.9201194,0.0,0.0,-0.2240533,0,0,0,0,0
790397308,-0.033852506,0.019150645,-2.3378725,0.0,-0.39120606,-0.0021913473,-0.019320974,0.92009765,0.0,0.0,-0.23439038,0,0,0,0,0
790447232,-0.03873817,0.006276762,-2.3378725,0.0,-0.39111155,0.004687521,-0.019052131,0.9201341,0.0,0.0,-0.24820088,0,0,0,0,0
790498397,-0.039780103,0.00953559,-2.3378725,0.0,-0.39113635,0.003391927,-0.020168552,0.92010546,0.0,0.0,-0.2621947,0,0,0,0,0
790547762,-0.037242036,0.012096514,-2.3378725,0.0,-0.3911596,0.0017172775,-0.019501507,0.92011464,0.0,0.0,-0.2744335,0,0,0,0,0
790597230,-0.043027982,0.00028221068,-2.3378725,0.0,-0.3910432,0.008284303,-0.01985373,0.9201209,0.0,0.0,-0.28727892,0,0,0,0,0
790647634,-0.03606152,0.018410493,-2.3378725,0.0,-0.3912035,-0.0014187085,-0.02019256,0.92008156,0.0,0.0,-0.29885092,0,0,0,0,0
790698278,-0.040849734,0.008859456,-2.3378725,0.0,-0.39112875,0.0039121923,-0.020528467,0.9200987,0.0,0.0,-0.31101874,0,0,0,0,0
