timestamp,load,ram_usage
81946509,0.39586616,0.4050548
82446903,0.54949903,0.54469883
82946534,0.4391516,0.534844
83446679,0.4453988,0.534844
83946489,0.43472522,0.534844
84447032,0.43632162,0.534844
84946530,0.43304294,0.534844
85446586,0.42831635,0.534844
85946497,0.4470538,0.534844
86446491,0.4318229,0.534844
86946488,0.433528,0.534844
87446498,0.4270723,0.534844
87946503,0.72839415,0.534844
88446646,0.7537086,0.534844
88947236,0.45920855,0.534844
89446504,0.43294555,0.534844
89946489,0.43232065,0.534844
90446607,0.42533565,0.534844
90946575,0.44390506,0.534844
91446490,0.42642576,0.534844
91946564,0.43629855,0.534844
92446557,0.4351884,0.534844
92946490,0.48561698,0.534844
