timestamp,load,ram_usage
30448228,0.39265758,0.5319277
30948227,0.5445342,0.5320283
31448228,0.43458313,0.5320283
31948361,0.44077134,0.532464
32448237,0.43894666,0.532464
32948910,0.43219113,0.532464
33448287,0.44188583,0.532464
33948229,0.433034,0.532464
34448238,0.43740827,0.532464
34948277,0.43728364,0.532464
35448227,0.42647564,0.532464
35948231,0.43453598,0.532464
36448275,0.4317819,0.532464
36948260,0.4279986,0.532464
37448229,0.43642682,0.532464
37948439,0.43894786,0.532464
38448229,0.42582053,0.5334026
38948230,0.4308071,0.5334026
39448296,0.43110138,0.5334026
39948228,0.4298702,0.5346428
40448229,0.43739712,0.5346428
40948229,0.44678998,0.53511214
41448475,0.46981084,0.53511214
