timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,is_external
42265287,42264369,396825,-0.15157057,-0.07322113,-0.13736983,nan,0,0
42276430,42275596,396825,-0.15459472,-0.070224404,-0.12820911,nan,0,0
43261691,43260790,396825,-0.15459472,-0.070224404,-0.13736983,nan,0,0
44259841,44259004,396825,-0.15157057,-0.07322113,-0.13431627,nan,0,0
45267307,45266471,396825,-0.15459472,-0.070224404,-0.13736983,nan,0,0
46263138,46262256,396825,-0.15459472,-0.07322113,-0.13431627,nan,0,0
47260460,47259624,396825,-0.1787879,-0.08820475,-0.13431627,nan,0,0
48256808,48255973,396825,-0.19390862,-0.10918181,-0.14653054,nan,0,0
49263829,49262995,396825,-0.1969328,-0.13015887,-0.11294128,nan,0,0
50260880,50260039,396825,-0.1969328,-0.14514248,-0.100727,nan,0,0
51257531,51256645,396825,-0.21507765,-0.1601261,-0.13736983,nan,0,0
52264507,52263672,396825,-0.21507765,-0.18709661,-0.0915663,nan,0,0
53261713,53260819,396825,-0.23322254,-0.22006057,-0.10683414,nan,0,0
54258317,54257479,396825,-0.29975381,-0.24103765,-0.0030127906,nan,0,0
55265874,55264917,396825,-0.21507765,-0.44781154,-0.0915663,nan,0,0
56261267,56260432,396825,-0.59914446,-0.41484758,-0.061030608,nan,0,0
57256789,57255957,396825,-0.5205166,-0.6036411,0.32677263,nan,0,0
58264781,58263943,396825,-0.78059334,-0.23804091,-0.13431627,nan,0,0
59259931,59259098,396825,-0.93180066,-0.61263126,-0.61678016,nan,0,0
60257307,60256473,396825,-0.6172893,-0.44781154,-0.10988771,nan,0,0
61265351,61264517,396825,-0.49632344,-0.22605401,-0.52517307,nan,0,0
62261946,62261112,396825,-0.22717427,-0.19608678,-0.16790552,nan,0,0
63257492,63256607,396825,-0.13040152,-0.1331556,-0.11599485,nan,0,0
64265130,64264296,396825,-0.10923249,-0.18110317,-0.061030608,nan,0,0
65260265,65259431,396825,-0.10923249,-0.1840999,-0.07019131,nan,0,0
66257559,66256721,396825,-0.13644983,-0.1840999,-0.08240559,nan,0,0
67264664,67263790,396825,-0.12737739,-0.19009334,-0.07935202,nan,0,0
68261656,68260718,396825,-0.106208354,-0.17810646,-0.06713775,nan,0,0
69258072,69257237,396825,-0.10016005,-0.17510971,-0.048816327,nan,0,0
70265500,70264626,396825,-0.106208354,-0.17211299,-0.06713775,nan,0,0
71261540,71260706,396825,-0.10016005,-0.17510971,-0.05797704,nan,0,0
72257172,72256339,396825,-0.1031842,-0.17510971,-0.06408417,nan,0,0
73264965,73264132,396825,-0.13040152,-0.15413266,-0.061030608,nan,0,0
74261494,74260627,396825,-0.11830494,-0.13015887,-0.12210199,nan,0,0
