timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,is_external
58936923,58935999,396825,-0.12435324,-0.09419819,-0.14958411,nan,0,0
58948066,58947231,396825,-0.12435324,-0.09120146,-0.14958411,nan,0,0
59933945,59933097,396825,-0.13040152,-0.09120146,-0.1404234,nan,0,0
60930221,60929240,396825,-0.12435324,-0.09120146,-0.14653054,nan,0,0
61937474,61936642,396825,-0.12435324,-0.09419819,-0.14653054,nan,0,0
62932633,62931802,396825,-0.13040152,-0.09120146,-0.1404234,nan,0,0
63929532,63928606,396825,-0.12737739,-0.09120146,-0.14653054,nan,0,0
64936873,64935989,396825,-0.12435324,-0.09120146,-0.14958411,nan,0,0
65933704,65932870,396825,-0.12435324,-0.09419819,-0.14958411,nan,0,0
66941446,66940614,396825,-0.13040152,-0.09120146,-0.1404234,nan,0,0
67937830,67936993,396825,-0.12435324,-0.09419819,-0.14958411,nan,0,0
68933682,68932849,396825,-0.12435324,-0.09419819,-0.14958411,nan,0,0
69930222,69929387,396825,-0.12737739,-0.09120146,-0.14347698,nan,0,0
