timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,accel_bias_valid,mag_bias_valid
1332294243,1332291215,3801098,-0.0033968445,0.002665942,0.0022681903,0.34906584,1.958007e-09,1.9597834e-09,3.7326346e-09,3801098,-0.013302484,0.027106386,-0.01805507,0.4,5.007026e-06,5.0078106e-06,5.0056647e-06,527625,0.0025710762,-0.008721833,0.0022181692,0.5,4.3227617e-05,4.023641e-05,5.894533e-05,1,1,1
1335095594,1335092999,3801098,-0.0034241213,0.0026347502,0.0022871133,0.34906584,1.9506925e-09,1.9523143e-09,3.7145846e-09,3801098,-0.013294782,0.027090691,-0.019319978,0.4,5.0041267e-06,5.004911e-06,5.0027666e-06,527625,0.0025710762,-0.008721833,0.0022181692,0.5,4.3227617e-05,4.023641e-05,5.894533e-05,1,1,1
1335894627,1335892081,3801098,-0.0034369538,0.00262869,0.0022813221,0.34906584,1.9500705e-09,1.9516704e-09,3.7204593e-09,3801098,-0.013299146,0.027099583,-0.020368122,0.4,5.0057697e-06,5.006554e-06,5.0044086e-06,527625,0.0025710762,-0.008721833,0.0022181692,0.5,4.3227617e-05,4.023641e-05,5.894533e-05,1,1,1
1336494446,1336491397,3801098,-0.0034456393,0.0026210719,0.0022774823,0.34906584,1.9494744e-09,1.9510482e-09,3.7157608e-09,3801098,-0.013185646,0.02701235,-0.021415493,0.4,5.0050135e-06,5.0050135e-06,5.0050135e-06,527625,0.0025710762,-0.008721833,0.0022181692,0.5,4.3227617e-05,4.023641e-05,5.894533e-05,1,1,1
1337098148,1337095699,3801098,-0.0034426916,0.0026099673,0.0022712161,0.34906584,1.9427702e-09,1.9443565e-09,3.6998273e-09,3801098,-0.012799184,0.026655719,-0.022877632,0.4,4.9897885e-06,4.9897885e-06,4.9897885e-06,527625,0.0025710762,-0.008721833,0.0022181692,0.5,4.3227617e-05,4.023641e-05,5.894533e-05,1,1,1
1337297846,1337295470,3801098,-0.00343747,0.002618752,0.0022656715,0.34906584,1.9433768e-09,1.945061e-09,3.7003187e-09,3801098,-0.012939278,0.026862513,-0.024419824,0.4,4.992685e-06,4.992685e-06,4.992685e-06,527625,0.0025710762,-0.008721833,0.0022181692,0.5,4.3227617e-05,4.023641e-05,5.894533e-05,1,1,1
1337497481,1337495241,3801098,-0.0034325074,0.0026167443,0.0022668403,0.34906584,1.9435116e-09,1.9453161e-09,3.700369e-09,3801098,-0.01276031,0.0270755,-0.026973905,0.4,4.99506e-06,4.99506e-06,4.99506e-06,527625,0.0025710762,-0.008721833,0.0022181692,0.5,4.3227617e-05,4.023641e-05,5.894533e-05,1,1,1
1337697596,1337695011,3801098,-0.0034384297,0.0025940675,0.0022627374,0.34906584,1.9436135e-09,1.945535e-09,3.7000825e-09,3801098,-0.011806464,0.026883684,-0.028535027,0.4,4.996934e-06,4.996934e-06,4.996934e-06,527625,0.0025710762,-0.008721833,0.0022181692,0.5,4.3227617e-05,4.023641e-05,5.894533e-05,1,1,1
1337897724,1337894782,3801098,-0.0034230151,0.002571404,0.002258496,0.34906584,1.9440907e-09,1.9461135e-09,3.6996899e-09,3801098,-0.010807648,0.027534967,-0.03048483,0.4,4.9985865e-06,4.9985865e-06,4.9985865e-06,527625,0.0025710762,-0.008721833,0.0022181692,0.5,4.3227617e-05,4.023641e-05,5.894533e-05,1,1,1
1338097156,1338094552,3801098,-0.003431911,0.0025591718,0.002258749,0.34906584,1.9449e-09,1.9469988e-09,3.7027081e-09,3801098,-0.010211352,0.027183684,-0.032287207,0.4,4.9998903e-06,4.9998903e-06,4.9998903e-06,527625,0.0025710762,-0.008721833,0.0022181692,0.5,4.3227617e-05,4.023641e-05,5.894533e-05,1,1,1
1338296898,1338294322,3801098,-0.0034234666,0.0025663578,0.0022719214,0.34906584,1.9460074e-09,1.948153e-09,3.6984853e-09,3801098,-0.01046921,0.027594157,-0.034441814,0.4,5.000954e-06,5.000954e-06,5.000954e-06,527625,0.0025710762,-0.008721833,0.0022181692,0.5,4.3227617e-05,4.023641e-05,5.894533e-05,1,1,1
1338496496,1338494093,3801098,-0.0034290222,0.002570393,0.0022697526,0.34906584,1.9474944e-09,1.9496522e-09,3.6977674e-09,3801098,-0.010570941,0.027356293,-0.03594178,0.4,5.001826e-06,5.001826e-06,5.001826e-06,527625,0.0025710762,-0.008721833,0.0022181692,0.5,4.3227617e-05,4.023641e-05,5.894533e-05,1,1,1
1338696284,1338693874,3801098,-0.0034298464,0.0025677187,0.0022668708,0.34906584,1.9494057e-09,1.9515416e-09,3.7004935e-09,3801098,-0.0103673255,0.027325686,-0.03732063,0.4,5.0025315e-06,5.0025315e-06,5.0025315e-06,527625,0.0025710762,-0.008721833,0.0022181692,0.5,4.3227617e-05,4.023641e-05,5.894533e-05,1,1,1
1339096060,1339093409,3801098,-0.0034421256,0.002577103,0.0022659649,0.34906584,1.958258e-09,1.9602961e-09,3.723472e-09,3801098,-0.010686324,0.026610745,-0.038753245,0.4,5.0035965e-06,5.0035965e-06,5.0035965e-06,527625,0.0025710762,-0.008721833,0.0022181692,0.5,4.3227617e-05,4.023641e-05,5.894533e-05,1,1,1
1339495406,1339492946,3801098,-0.003451979,0.0025902677,0.002266012,0.34906584,1.9784259e-09,1.98041e-09,3.7639403e-09,3801098,-0.011370912,0.025759248,-0.03831083,0.4,5.0042563e-06,5.0042563e-06,5.0042563e-06,527625,0.0025710762,-0.008721833,0.0022181692,0.5,4.3227617e-05,4.023641e-05,5.894533e-05,1,1,1
1339695127,1339692716,3801098,-0.00345228,0.0025974729,0.0022665984,0.34906584,1.9911246e-09,1.9930877e-09,3.7841548e-09,3801098,-0.01189872,0.025639703,-0.037454277,0.4,5.0045614e-06,5.0045614e-06,5.0045614e-06,527625,0.0025710762,-0.008721833,0.0022181692,0.5,4.3227617e-05,4.023641e-05,5.894533e-05,1,1,1
1339895096,1339892487,3801098,-0.0034603218,0.0026064299,0.0022668855,0.34906584,2.005071e-09,2.0070194e-09,3.8043e-09,3801098,-0.012725929,0.024629386,-0.035074204,0.4,5.0047815e-06,5.0047815e-06,5.0047815e-06,527625,0.0025710762,-0.008721833,0.0022181692,0.5,4.3227617e-05,4.023641e-05,5.894533e-05,1,1,1
1340099687,1340097251,3801098,-0.0034639917,0.0026184025,0.0022668992,0.34906584,2.020021e-09,2.021959e-09,3.824371e-09,3801098,-0.014093019,0.02401566,-0.032433398,0.4,5.0049125e-06,5.0049125e-06,5.0049125e-06,527625,0.0025710762,-0.008721833,0.0022181692,0.5,4.3227617e-05,4.023641e-05,5.894533e-05,1,1,1
1340299319,1340297022,3801098,-0.0034451503,0.00260678,0.0022567913,0.34906584,2.0264852e-09,2.0284066e-09,3.826998e-09,3801098,-0.013910681,0.024151918,-0.030820876,0.4,4.982346e-06,4.982346e-06,4.982346e-06,527625,0.0025710762,-0.008721833,0.0022181692,0.5,4.3227617e-05,4.023641e-05,5.894533e-05,1,1,1
1340698879,1340696563,3801098,-0.0034511683,0.0026169585,0.0022603867,0.34906584,2.0623088e-09,2.064222e-09,3.8726995e-09,3801098,-0.014692597,0.023751436,-0.030144509,0.4,4.9900673e-06,4.9900673e-06,4.9900673e-06,527625,0.0025710762,-0.008721833,0.0022181692,0.5,4.3227617e-05,4.023641e-05,5.894533e-05,1,1,1
1341098514,1341096104,3801098,-0.0034541623,0.0026262808,0.0022629,0.34906584,2.0985023e-09,2.1004125e-09,3.9164427e-09,3801098,-0.015652014,0.023601416,-0.030672492,0.4,4.9952464e-06,4.9952464e-06,4.9952464e-06,527625,0.0025710762,-0.008721833,0.0022181692,0.5,4.3227617e-05,4.023641e-05,5.894533e-05,1,1,1
1341457143,1341455691,3801098,-0.0034560421,0.0026292487,0.0022642592,0.34906584,2.1331819e-09,2.1350919e-09,3.9546157e-09,3801098,-0.01578864,0.023561494,-0.03174232,0.4,4.9985715e-06,4.9985674e-06,4.998428e-06,527625,0.0025710762,-0.008721833,0.0022181692,0.5,4.3227617e-05,4.023641e-05,5.894533e-05,1,1,1
1341697664,1341695416,3801098,-0.0034596506,0.0026326026,0.0022653777,0.34906584,2.1528836e-09,2.154795e-09,3.979607e-09,3801098,-0.016112918,0.02293067,-0.032972127,0.4,4.999993e-06,4.999993e-06,4.999993e-06,527625,0.0025710762,-0.008721833,0.0022181692,0.5,4.3227617e-05,4.023641e-05,5.894533e-05,1,1,1
1342097393,1342094958,3801098,-0.0034592561,0.0026394492,0.0022670233,0.34906584,2.1888182e-09,2.1907367e-09,4.0206065e-09,3801098,-0.016966537,0.023151677,-0.034390844,0.4,5.001896e-06,5.001896e-06,5.001896e-06,527625,0.0025710762,-0.008721833,0.0022181692,0.5,4.3227617e-05,4.023641e-05,5.894533e-05,1,1,1
1342297193,1342294728,3801098,-0.0034608277,0.0026417703,0.0022678804,0.34906584,2.2065973e-09,2.2085214e-09,4.0409533e-09,3801098,-0.017217822,0.022995,-0.03564971,0.4,5.0025897e-06,5.0025897e-06,5.0025897e-06,527625,0.0025710762,-0.008721833,0.0022181692,0.5,4.3227617e-05,4.023641e-05,5.894533e-05,1,1,1
1342696927,1342694269,3801098,-0.0034595423,0.0026446902,0.0022689968,0.34906584,2.2416e-09,2.243542e-09,4.081238e-09,3801098,-0.017473528,0.023261525,-0.037142903,0.4,5.003612e-06,5.003612e-06,5.003612e-06,527625,0.0025710762,-0.008721833,0.0022181692,0.5,4.3227617e-05,4.023641e-05,5.894533e-05,1,1,1
1343096210,1343093811,3801098,-0.0034615167,0.0026487526,0.0022699463,0.34906584,2.2756408e-09,2.277608e-09,4.120762e-09,3801098,-0.017861208,0.02314036,-0.03828109,0.4,5.004329e-06,5.004329e-06,5.004329e-06,527625,0.0025710762,-0.008721833,0.0022181692,0.5,4.3227617e-05,4.023641e-05,5.894533e-05,1,1,1
1343495790,1343493353,3801098,-0.003463042,0.0026540216,0.0022697584,0.34906584,2.3083284e-09,2.3103288e-09,4.159978e-09,3801098,-0.01827165,0.023131868,-0.039446276,0.4,5.004794e-06,5.004794e-06,5.004794e-06,527625,0.0025710762,-0.008721833,0.0022181692,0.5,4.3227617e-05,4.023641e-05,5.894533e-05,1,1,1
1343605108,1343603227,3801098,-0.0034631076,0.0026540842,0.0022695174,0.34906584,2.3193847e-09,2.3213846e-09,4.1708583e-09,3801098,-0.018272087,0.023133347,-0.03950335,0.4,5.004991e-06,5.0049807e-06,5.004892e-06,527625,0.0046509104,-0.008083529,0.0028936397,0.5,0.0014993175,0.0014255572,0.0016658681,1,1,1
1343634576,1343633196,3801098,-0.0034631267,0.0026540991,0.0022695302,0.34906584,2.3224007e-09,2.3244007e-09,4.1738843e-09,3801098,-0.018272188,0.023133477,-0.03950357,0.4,5.005046e-06,5.0050357e-06,5.004947e-06,527625,0.0032516725,-0.0057217907,0.004356324,0.5,0.0012300403,0.001115781,0.0014988006,1,1,1
1343665107,1343663158,3801098,-0.0034631407,0.0026541103,0.0022695402,0.34906584,2.3254139e-09,2.3274138e-09,4.176906e-09,3801098,-0.018272277,0.02313411,-0.03952139,0.4,5.0050953e-06,5.005081e-06,5.004942e-06,527625,0.002669439,-0.003956539,0.0042936835,0.5,0.0010990633,0.0009695155,0.0014272932,1,1,1
1343695696,1343693123,3801098,-0.003466216,0.0026531024,0.0022695237,0.34906584,2.323438e-09,2.3254607e-09,4.1798702e-09,3801098,-0.018233526,0.023134215,-0.042952497,0.4,5.0049334e-06,5.0049334e-06,5.0049334e-06,527625,0.0026286582,-0.0037234104,0.0041163666,0.5,0.0010199585,0.0008855485,0.0013876046,1,1,1
1343714852,1343713101,3801098,-0.0034662485,0.002653127,0.0022695444,0.34906584,2.3254614e-09,2.327484e-09,4.1819104e-09,3801098,-0.018233689,0.023134192,-0.042944927,0.4,5.0049975e-06,5.0049944e-06,5.0049794e-06,527625,0.0034761298,-0.004722367,0.0037516411,0.5,0.0009644794,0.0008332292,0.00136235,1,1,1
1343784331,1343783020,3801098,-0.003466283,0.0026531536,0.0022695672,0.34906584,2.3324918e-09,2.3345144e-09,4.18896e-09,3801098,-0.018233875,0.023134498,-0.04294778,0.4,5.005111e-06,5.005104e-06,5.0050476e-06,527625,0.0037607038,-0.0054506855,0.00289187,0.5,0.0008841459,0.00077754236,0.0013320206,1,1,1
1343905475,1343902883,3801098,-0.0034561541,0.0026556905,0.0022695872,0.34906584,2.3372524e-09,2.3393125e-09,4.2008783e-09,3801098,-0.018320689,0.02378308,-0.048465874,0.4,5.0049825e-06,5.0049825e-06,5.0049825e-06,527625,0.0030550105,-0.0052498854,0.0024703948,0.5,0.0007925828,0.0007465598,0.0013079946,1,1,1
1343964135,1343962814,3801098,-0.003456629,0.002655808,0.0022692098,0.34906584,2.3433202e-09,2.3453792e-09,4.2069774e-09,3801098,-0.01832099,0.02380035,-0.04847862,0.4,5.0051663e-06,5.0051713e-06,5.005187e-06,527625,0.004722451,-0.00559168,0.0019279254,0.5,0.00073409814,0.0007393792,0.0012981844,1,1,1
1344099056,1344092665,3801098,-0.0034505392,0.002656882,0.0022692396,0.34906584,2.3483437e-09,2.350437e-09,4.219921e-09,3801098,-0.018367035,0.0241739,-0.05212073,0.4,5.0052226e-06,5.0052226e-06,5.0052226e-06,527625,0.004715357,-0.0056204163,0.0020006727,0.5,0.0006462331,0.00073001103,0.0012880852,1,1,1
1344294857,1344292435,3801098,-0.0034482393,0.0026591655,0.0022691078,0.34906584,2.3599442e-09,2.3620683e-09,4.239866e-09,3801098,-0.01845012,0.02436982,-0.054665636,0.4,5.0053145e-06,5.0053145e-06,5.0053145e-06,527625,0.0046709604,-0.0052185454,0.0020962972,0.5,0.0004642662,0.0006788825,0.00127639,1,1,1
1344373569,1344372343,3801098,-0.003448109,0.0026589392,0.0022689474,0.34906584,2.367959e-09,2.3700786e-09,4.247852e-09,3801098,-0.018463999,0.024366934,-0.054671936,0.4,5.0053854e-06,5.005396e-06,5.0053573e-06,527625,0.003241809,-0.0058919615,0.0021079523,0.5,0.00040479776,0.00064747216,0.0012737325,1,1,1
1344494890,1344492206,3801098,-0.0034456807,0.0026569616,0.0022682312,0.34906584,2.3711446e-09,2.3732964e-09,4.2597614e-09,3801098,-0.018477049,0.024576752,-0.05688896,0.4,5.005395e-06,5.005395e-06,5.005395e-06,527625,0.0024561675,-0.006015365,0.002130076,0.5,0.0003264469,0.0005936997,0.0012705553,1,1,1
1344694606,1344691976,3801098,-0.0034476486,0.0026662054,0.002268489,0.34906584,2.3822577e-09,2.3844366e-09,4.279583e-09,3801098,-0.018582813,0.024492273,-0.05794153,0.4,5.00546e-06,5.00546e-06,5.00546e-06,527625,0.0019032883,-0.006155139,0.0020912227,0.5,0.0002255888,0.00049636443,0.0012661971,1,1,1
1344783181,1344781876,3801098,-0.003447657,0.0026657348,0.002267458,0.34906584,2.3912623e-09,2.3934323e-09,4.2884563e-09,3801098,-0.018611811,0.0245035,-0.057941858,0.4,5.005502e-06,5.005524e-06,5.0055287e-06,527625,0.0009254507,-0.0066150296,0.0020554697,0.5,0.00018138888,0.00043894415,0.001263989,1,1,1
1345104626,1345101506,3801098,-0.0034412222,0.002658299,0.0022646142,0.34906584,2.4049052e-09,2.4071531e-09,4.319695e-09,3801098,-0.018769072,0.024779135,-0.055834234,0.4,5.005554e-06,5.005554e-06,5.005554e-06,527625,0.00047792896,-0.0060850247,0.002617031,0.5,0.00010121037,0.00029235045,0.0012583475,1,1,1
1345297370,1345291288,3801098,-0.0034432744,0.0026715347,0.0022635146,0.34906584,2.415246e-09,2.4175428e-09,4.3380877e-09,3801098,-0.01868082,0.024266126,-0.053433094,0.4,5.0055864e-06,5.0055864e-06,5.0055864e-06,527625,-0.000320467,-0.0064527406,0.0030455252,0.5,8.241786e-05,0.00024039441,0.0012558842,1,1,1
