timestamp,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2]
143565373,3932170,0.0015881507,-0.0018364117,-8.354459e-05,3932170,0.0,0.0,0.13685127,396825,0.0,0.0,0.0
143575354,3932170,0.0015879285,-0.0018366147,-8.751121e-05,3932170,0.0,0.0,0.13685177,396825,0.0,0.0,0.0
144567658,3932170,0.0016136661,-0.0018218271,-0.00017240392,3932170,0.0,0.0,0.13700753,396825,0.0,0.0,0.0
145569987,3932170,0.0016471125,-0.0018027973,-0.00025024725,3932170,0.0,0.0,0.13761663,396825,0.0,0.0,0.0
146572331,3932170,0.0016804503,-0.001778998,-0.000331475,3932170,0.0,0.0,0.13817297,396825,0.0,0.0,0.0
147564620,3932170,0.0017141596,-0.0017507544,-0.00039707182,3932170,0.0,0.0,0.13874203,396825,0.0,0.0,0.0
148566948,3932170,0.0017502578,-0.0017201763,-0.00044397867,3932170,0.0,0.0,0.13935159,396825,0.0,0.0,0.0
149569277,3932170,0.0017817256,-0.0016866517,-0.0005180094,3932170,0.0,0.0,0.13963595,396825,0.0,0.0,0.0
150571606,3932170,0.0018104785,-0.001659346,-0.00058111665,3932170,0.0,0.0,0.13971947,396825,0.0,0.0,0.0
151573935,3932170,0.0018388048,-0.0016331496,-0.0006327967,3932170,0.0,0.0,0.1396065,396825,0.0,0.0,0.0
152566241,3932170,0.0018592451,-0.0016072111,-0.00068928045,3932170,-0.0050893915,0.0014673249,0.13983922,396825,0.0,0.0,0.0
153568574,3932170,0.0018696176,-0.0016077446,-0.00078654254,3932170,-0.05204252,0.015095809,0.13978803,396825,0.0,0.0,0.0
154570900,3932170,0.0018730888,-0.0016320441,-0.00089597085,3932170,-0.06605303,0.018456768,0.13889508,396825,0.0,0.0,0.0
155573271,3932170,0.0018849573,-0.0016448006,-0.00084014685,3932170,-0.051599953,0.023347702,0.13734414,396825,0.0,0.0,0.0
156575564,3932170,0.0018946133,-0.0016461278,-0.0007076764,3932170,-0.05394866,0.025750468,0.13700947,396825,0.0,0.0,0.0
157567889,3932170,0.0018758762,-0.0016451859,-0.0007689424,3932170,-0.057127398,0.021606522,0.13724642,396825,0.0,0.0,0.0
158570198,3932170,0.0018653556,-0.0016657315,-0.000788718,3932170,-0.054257236,0.018063486,0.13593046,396825,0.0,0.0,0.0
159572529,3932170,0.0019295046,-0.0017221357,-0.00073856086,3932170,-0.04060382,0.03406866,0.13586558,396825,0.0,0.0,0.0
160564838,3932170,0.0019473559,-0.0017117186,-0.000666113,3932170,-0.044301823,0.03428316,0.13540651,396825,0.0,0.0,0.0
161567167,3932170,0.0019457298,-0.0016876068,-0.0007729734,3932170,-0.05215204,0.033112135,0.13478275,396825,0.0,0.0,0.0
162569498,3932170,0.0019466149,-0.0016639553,-0.00073481246,3932170,-0.058129616,0.03198489,0.13431357,396825,0.0,0.0,0.0
163571829,3932170,0.0019490956,-0.0016441481,-0.0006720324,3932170,-0.061700076,0.031508397,0.1337642,396825,0.0,0.0,0.0
164564185,3932170,0.0019460808,-0.001628754,-0.00064492825,3932170,-0.06306742,0.031188983,0.13358751,396825,0.0,0.0,0.0
165566468,3932170,0.0019548803,-0.0016090964,-0.0004938561,3932170,-0.06293192,0.03182735,0.13386327,396825,0.0,0.0,0.0
166568799,3932170,0.0019018899,-0.0015860389,-0.00049894647,3932170,-0.06241025,0.030406771,0.1326441,396825,0.0,0.0,0.0
167571131,3932170,0.0019967107,-0.0017569826,-0.0003606013,3932170,-0.05722387,0.030591965,0.13234134,396825,0.0,0.0,0.0
168573463,3932170,0.0019646822,-0.0018309169,-0.00024713343,3932170,-0.00093711267,0.03239302,0.12752701,396825,0.0,0.0,0.0
169565771,3932170,0.0019480307,-0.0018485689,-0.00014078885,3932170,0.11595164,0.039939042,0.11443755,396825,0.0,0.0,0.0
170568103,3932170,0.001940451,-0.0017685283,-0.000100736455,3932170,0.26173103,0.051670402,0.094310164,396825,0.0,0.0,0.0
171570434,3932170,0.0019426484,-0.0016391025,-0.00013401597,3932170,0.3999997,0.064758085,0.07106378,396825,0.0,0.0,0.0
172572766,3932170,0.0019361919,-0.0014967674,-0.00014421828,3932170,0.3999995,0.077530086,0.04598242,396825,0.0,0.0,0.0
173575139,3932170,0.0019247999,-0.001373567,-0.00013567653,3932170,0.40041533,0.08882503,0.022728605,396825,0.0,0.0,0.0
174567407,3932170,0.0019166016,-0.0012679081,-0.00011672178,3932170,0.39999977,0.09695968,0.0025122543,396825,0.0,0.0,0.0
