timestamp,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2]
75353951,3932170,-0.0030694583,0.0008615419,-0.0010611666,3932170,0.0,0.0,0.094141856,396825,0.0,0.0,0.0
75363974,3932170,-0.0030694606,0.00086154253,-0.0010611675,3932170,0.0,0.0,0.09414193,396825,0.0,0.0,0.0
76356233,3932170,-0.0030487631,0.00085347914,-0.0010745908,3932170,0.0,0.0,0.09424115,396825,0.0,0.0,0.0
77358514,3932170,-0.0030265953,0.000846912,-0.0010952683,3932170,0.0033992361,0.001975762,0.0945143,396825,0.0,0.0,0.0
78360798,3932170,-0.0030076255,0.0008486924,-0.001147242,3932170,0.015304987,0.018611442,0.09514228,396825,0.0,0.0,0.0
79353059,3932170,-0.00300603,0.00084826356,-0.0010127766,3932170,0.01341609,0.020551162,0.096456185,396825,0.0,0.0,0.0
80355344,3932170,-0.0030087968,0.0008432793,-0.00079393917,3932170,0.007381776,0.019235976,0.09698235,396825,0.0,0.0,0.0
81357628,3932170,-0.0030137154,0.00083628553,-0.0005148292,3932170,0.0046673133,0.019210175,0.09691817,396825,0.0,0.0,0.0
82359913,3932170,-0.0030294382,0.00082032813,0.00014194951,3932170,0.0029771607,0.025296686,0.09703894,396825,0.0,0.0,0.0
83362199,3932170,-0.0030460798,0.0008708891,0.00044215037,3932170,-0.008734378,0.0263081,0.098204605,396825,0.0,0.0,0.0
84354462,3932170,-0.0025570476,0.0010756131,0.0008249909,3932170,-0.007857938,0.02785,0.09822322,396825,0.0,0.0,0.0
85356749,3932170,-0.0020492086,0.0012774271,0.00079911924,3932170,-0.0043707215,0.0365182,0.098791614,396825,0.0,0.0,0.0
86359037,3932170,-0.0014114216,0.0013258002,0.00080012716,3932170,0.015089559,0.07100771,0.09831933,396825,0.0,0.0,0.0
87361323,3932170,-0.0011194296,0.0013103078,0.0008297063,3932170,0.036168706,0.10550677,0.09916497,396825,0.0,0.0,0.0
88363612,3932170,-0.0010115091,0.0012821725,0.0008705133,3932170,0.04896796,0.12231935,0.10210379,396825,0.0,0.0,0.0
89365915,3932170,-0.000982398,0.001260092,0.0009098441,3932170,0.052243553,0.12533993,0.106853664,396825,0.0,0.0,0.0
