timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,accel_bias_valid,mag_bias_valid
558293200,558290502,3801098,-0.0023972283,0.00404657,0.002748808,0.34906584,1.946888e-09,2.0107986e-09,3.5934806e-09,3801098,-0.033749413,0.0075930892,-0.04837655,0.4,5.0041044e-06,5.0041044e-06,5.003933e-06,527625,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
559891976,559888868,3801098,-0.0024197327,0.0040670093,0.0027418255,0.34906584,1.9470692e-09,2.0112483e-09,3.6001595e-09,3801098,-0.033755753,0.0075945156,-0.047312353,0.4,5.0050444e-06,5.0050444e-06,5.004873e-06,527625,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
561894279,561891817,3801098,-0.002445956,0.0040548053,0.0027367275,0.34906584,1.9439415e-09,2.00783e-09,3.5896532e-09,3801098,-0.033713374,0.007584981,-0.048416283,0.4,4.998761e-06,4.998761e-06,4.9985897e-06,527625,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
562493597,562491202,3801098,-0.0024637675,0.0040478604,0.0027399787,0.34906584,1.944814e-09,2.008652e-09,3.5895327e-09,3801098,-0.03373337,0.00758948,-0.049482606,0.4,5.0017256e-06,5.0017256e-06,5.0015547e-06,527625,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
562893420,562890791,3801098,-0.0024685396,0.0040401677,0.0027399694,0.34906584,1.9453474e-09,2.009545e-09,3.5986891e-09,3801098,-0.033741355,0.0075912755,-0.050624475,0.4,5.0029093e-06,5.0029093e-06,5.002738e-06,527625,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
563292709,563290388,3801098,-0.0024731378,0.004034112,0.0027383196,0.34906584,1.9455464e-09,2.0099569e-09,3.603803e-09,3801098,-0.033746693,0.007592477,-0.051708918,0.4,5.0037006e-06,5.0037006e-06,5.0035296e-06,527625,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
563692586,563689969,3801098,-0.002473202,0.0040285266,0.002741391,0.34906584,1.9456008e-09,2.0099415e-09,3.6021095e-09,3801098,-0.033750318,0.0075932923,-0.052942514,0.4,5.004238e-06,5.004238e-06,5.004067e-06,527625,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
564091993,564089556,3801098,-0.002474903,0.004022561,0.002737577,0.34906584,1.945771e-09,2.0101714e-09,3.6036312e-09,3801098,-0.03375275,0.00759384,-0.05457028,0.4,5.004599e-06,5.004599e-06,5.0044277e-06,527625,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
564491525,564489144,3801098,-0.0024831025,0.0040174276,0.0027365324,0.34906584,1.945706e-09,2.010013e-09,3.6018353e-09,3801098,-0.03375441,0.007594213,-0.056001917,0.4,5.0048448e-06,5.0048448e-06,5.0046733e-06,527625,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
564691294,564688938,3801098,-0.0024799618,0.0040127463,0.0027408556,0.34906584,1.9456756e-09,2.009938e-09,3.6009418e-09,3801098,-0.033754993,0.0075943447,-0.05702499,0.4,5.0049316e-06,5.0049316e-06,5.0047606e-06,527625,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
565090875,565088525,3801098,-0.002480312,0.0040123616,0.0027371063,0.34906584,1.9456854e-09,2.0098718e-09,3.599248e-09,3801098,-0.03375588,0.007594544,-0.058701452,0.4,5.005063e-06,5.005063e-06,5.0048916e-06,527625,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
565490501,565488113,3801098,-0.0024762726,0.004004685,0.002737859,0.34906584,1.9457398e-09,2.009981e-09,3.6007237e-09,3801098,-0.03375649,0.007594682,-0.060214568,0.4,5.005154e-06,5.005154e-06,5.0049825e-06,527625,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
565890281,565887700,3801098,-0.0024771993,0.0039981343,0.0027401422,0.34906584,1.9457922e-09,2.0099644e-09,3.5988295e-09,3801098,-0.0337569,0.0075947735,-0.061627705,0.4,5.0052145e-06,5.0052145e-06,5.005043e-06,527625,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
566295521,566292281,3801098,-0.0024773355,0.004000944,0.0027371463,0.34906584,1.9458122e-09,2.0099005e-09,3.5970293e-09,3801098,-0.033757173,0.007594835,-0.06342048,0.4,5.005255e-06,5.005255e-06,5.0050835e-06,527625,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
566884053,566881670,3801098,-0.002475268,0.00398315,0.0027311104,0.34906584,1.939347e-09,2.003585e-09,3.5931402e-09,3801098,-0.033662558,0.007573548,-0.06515205,0.4,4.991226e-06,4.991226e-06,4.991055e-06,527625,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
