timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
1332892095,1332891785,0.035429947,-0.016157024,-8.8203815e-05,0.001,0.0,0.0,0.0,-1.0
1332944522,1332944217,0.035295337,-0.016756922,-0.00038976225,0.001,0.0,0.0,0.0,-1.0
1332994480,1332994166,0.035292618,-0.016445536,-0.0004570193,0.001,0.0,0.0,0.0,-1.0
1333043174,1333042858,0.03542784,-0.017089136,-0.0023657752,0.001,0.0,0.0,0.0,-1.0
1333091863,1333091548,0.03528154,-0.018174559,0.008918703,0.001,0.0,0.0,0.0,-1.0
1333144294,1333143988,0.034021575,-0.017490583,0.0065587573,0.001,0.0,0.0,0.0,-1.0
1333192989,1333192682,0.036712907,-0.014230942,-0.0151561815,0.001,0.0,0.0,0.0,-1.0
1333242934,1333242625,0.033762082,-0.01941397,0.011047345,0.001,0.0,0.0,0.0,-1.0
1333297874,1333297563,0.039400596,-0.012652947,0.0017886704,0.001,0.0,0.0,0.0,-1.0
1333344065,1333343759,0.03571074,-0.014073512,-0.0051716175,0.001,0.0,0.0,0.0,-1.0
1333392759,1333392453,0.038976535,-0.014181684,0.0056110974,0.001,0.0,0.0,0.0,-1.0
1333441464,1333441147,0.042513367,-0.017871793,-0.0045585306,0.001,0.0,0.0,0.0,-1.0
1333496402,1333496085,0.036499374,-0.018134456,-0.0008533491,0.001,0.0,0.0,0.0,-1.0
1333543839,1333543533,0.030903699,-0.01590774,-0.000114772796,0.001,0.0,0.0,0.0,-1.0
1333592529,1333592224,0.02713024,-0.011713214,-0.0038936983,0.001,0.0,0.0,0.0,-1.0
1333651221,1333650911,0.038991123,-0.020343045,-0.00011975826,0.001,0.0,0.0,0.0,-1.0
1333693702,1333693389,0.039597202,-0.01931328,-0.00049440435,0.001,0.0,0.0,0.0,-1.0
1333743611,1333743299,0.029709464,-0.011204292,-0.00034402902,0.001,0.0,0.0,0.0,-1.0
1333792293,1333791993,0.029865919,-0.013092829,-0.0009739893,0.001,0.0,0.0,0.0,-1.0
1333846000,1333845698,0.038241666,-0.017884206,0.00020978937,0.001,0.0,0.0,0.0,-1.0
1333893434,1333893127,0.030274775,-0.013279932,-0.000624906,0.001,0.0,0.0,0.0,-1.0
1333942135,1333941821,0.03658884,-0.014216632,-0.00021450485,0.001,0.0,0.0,0.0,-1.0
1333995823,1333995510,0.034694146,-0.01803992,0.0020319666,0.001,0.0,0.0,0.0,-1.0
1334045754,1334045452,0.031923514,-0.0148703335,-0.0018074578,0.001,0.0,0.0,0.0,-1.0
