timestamp,saturation_status
1332892161,1533
1333893495,1533
1334896084,1533
1335894947,1
1336893791,1
1337893914,1
1338896503,1
1339895343,1
1340894220,1
1341894297,1
1342891909,1
1343894513,1
1344894626,1
1345897202,1357
1346892301,1
1347896145,1
1348894992,1
1349892606,1
1350892687,1
1351895284,1
1352899144,1
1353892983,1
1354894309,1357
1355896929,1357
1356891990,1
1357894553,1
1358894645,1
1359897219,1
1360892290,1
1361894837,1
1362894911,1
1363892474,1
1364898765,1
1365893832,1
1366895152,1
1367892702,1335
1368894034,1
1369895323,1197
1370892892,1
1371892932,1333
1372896775,1
1373895574,1
1374893117,1
1375894430,1
1376896954,1
1377892004,1333
1378893300,1
1379894605,1
1380897152,1
1381895952,1
1382898483,1
1383894772,1
1384892318,1
1385896114,1
1386894931,1
1387892456,1
1388892480,1237
1389900001,1197
1390895061,1333
1391892583,1197
1392893865,1357
1393896384,1
1394895162,1
1395892674,1
1396893968,1
1397895232,1
1398895242,1
1399892774,1
1400894048,1
1401895308,1
1402894081,1
1403894111,1
1404896612,1
1405892900,1
1406894157,1
1407894185,1
1408897942,1
1409892963,1
1410894245,1
1411892988,1
1412891756,1
1413893019,1
1414894284,1
1415893072,1
1416895563,1
1417894329,1
1418894340,1
1419896848,1
1420893110,1
1421895631,1
1422895652,1
1423893168,1
1424894425,1
1425895682,1
1426891959,1
1427893219,1
1428894499,1
1429895763,1
1430894560,1
1431893302,1
1432894572,1
1433892098,1
1434894623,1
1435894654,1
1436898430,1533
1437892195,1533
1438894733,1533
