timestamp,x,y,z,yaw,yawspeed,vx,vy,vz,acceleration[0],acceleration[1],acceleration[2],jerk[0],jerk[1],jerk[2],thrust[0],thrust[1],thrust[2]
1332886769,nan,nan,nan,-1.1492273,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
1332986587,nan,nan,nan,-1.149301,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
1333086489,nan,nan,nan,-1.1495891,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
1333186526,nan,nan,nan,-1.1495265,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
1333297751,nan,nan,nan,-1.1489791,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
1333386399,nan,nan,nan,-1.1491488,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
1333497063,nan,nan,nan,-1.1494825,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
1333586174,nan,nan,nan,-1.1493835,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
1333686035,nan,nan,nan,-1.1493355,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
1333795605,nan,nan,nan,-1.1493878,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
1333886232,nan,nan,nan,-1.1493497,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
1333995478,nan,nan,nan,-1.1493753,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
1334085535,nan,nan,nan,-1.1494308,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
1334195050,nan,nan,nan,-1.1495823,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
1334285624,nan,nan,nan,-1.1494588,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
1334395100,nan,nan,nan,-1.1493788,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
1334484831,nan,nan,nan,-1.1494508,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
1334594611,nan,nan,nan,-1.149598,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
1334695854,nan,nan,nan,-1.1494465,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
1334794508,nan,nan,nan,-1.1492939,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
1334895417,nan,nan,nan,-1.1494074,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
1334984152,nan,nan,nan,-1.1493114,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
1335095367,nan,nan,nan,-1.149372,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
1335193988,nan,nan,nan,-1.1495649,0.0,-0.004816408,-0.03562305,2.360974,0.07626119,0.40935463,9.688328,0.0,0.0,0.0,3.190414e-05,0.00017125497,-0.0041028545
1335295335,nan,nan,nan,-1.1495649,0.0,-0.0009952098,-0.007360756,2.1768641,0.028384808,0.2572785,9.404721,0.0,0.0,0.0,4.0336545e-05,0.00036560843,-0.013936975
1335393748,-1.6862525,-7.7880177,nan,-1.1495649,0.0,-0.00015684962,0.0037299632,1.9979316,0.01914623,0.075058706,9.101035,0.0,0.0,0.0,4.7798203e-05,0.00018738265,-0.02446736
1335494967,-1.6862525,-7.7880177,nan,-1.1495649,0.0,-0.00033023357,0.012385798,1.8139907,0.024381164,0.068095975,8.750504,0.0,0.0,0.0,9.111854e-05,0.00025449175,-0.036622122
1335593558,-1.6862525,-7.7880177,nan,-1.1495649,0.0,-0.0019066572,0.022792459,1.6348491,0.013814817,0.10405255,8.373564,0.0,0.0,0.0,7.000437e-05,0.00052726956,-0.049692594
1335694630,-1.6862525,-7.7880177,nan,-1.1495649,0.0,-0.0027396022,0.031610012,1.4511642,0.0068924967,0.12170719,7.9467263,0.0,0.0,0.0,4.5345027e-05,0.00080069917,-0.064493276
1335793274,-1.6862525,-7.7880177,nan,-1.1495649,0.0,-0.0035773038,0.041151,1.2718989,0.009955971,0.13464007,7.487956,0.0,0.0,0.0,8.1608574e-05,0.0011036376,-0.08040124
