timestamp,load,ram_usage
1332755205,0.57007337,0.86015445
1333254448,0.6518438,0.86015445
1333754387,0.55411714,0.86015445
1334256032,0.5213373,0.86015445
1334755287,0.5210774,0.86015445
1335254657,0.5201251,0.86015445
1335754425,0.51824915,0.86015445
1336254590,0.52301455,0.86015445
1336754395,0.5251926,0.86015445
1337254396,0.5280507,0.86015445
1337754384,0.52537465,0.86015445
1338254427,0.52825,0.86015445
1338755709,0.5277485,0.86015445
1339255205,0.5250705,0.86015445
1339754578,0.5286721,0.86015445
1340254392,0.52646965,0.86015445
1340754518,0.5267215,0.86015445
1341254387,0.5320839,0.86015445
1341754630,0.5293181,0.86015445
1342254381,0.527488,0.86015445
1342754389,0.524106,0.86015445
1343255526,0.5297866,0.86015445
1343755065,0.5577214,0.86015445
1344254534,0.5932789,0.86015445
1344754384,0.5995803,0.86015445
1345254384,0.6099912,0.86015445
1345757071,0.59483063,0.86015445
1346254492,0.6127486,0.86015445
1346754391,0.61587274,0.86015445
1347255868,0.6052955,0.86015445
1347755517,0.60697246,0.86015445
1348259056,0.60653496,0.86015445
1348754387,0.60458696,0.86015445
1349254390,0.59787035,0.86015445
1349754426,0.6174969,0.86015445
1350254424,0.5982715,0.86015445
1350756091,0.6161202,0.86015445
1351254380,0.6024528,0.86015445
1351755736,0.61900353,0.86015445
1352255528,0.5561874,0.86015445
1352754618,0.54591954,0.86015445
1353254384,0.6018481,0.86015445
1353754547,0.6071136,0.86015445
1354254389,0.60676944,0.86015445
1354754634,0.6158509,0.86015445
1355254381,0.607432,0.86015445
1355754385,0.60566604,0.86015445
1356255413,0.6125412,0.86015445
1356758970,0.60723627,0.86015445
1357254707,0.6129335,0.86015445
1357754425,0.61674106,0.86015445
1358254462,0.6075966,0.86015445
1358754384,0.59532535,0.86015445
1359254419,0.60982466,0.86015445
1359754383,0.61204994,0.86015445
1360255823,0.6100198,0.86015445
1360755237,0.6072537,0.86015445
1361258883,0.60885143,0.86015445
1361754386,0.6088941,0.86015445
1362257497,0.6057823,0.86015445
1362754387,0.6126828,0.86015445
1363254630,0.607512,0.86015445
1363754387,0.613276,0.86015445
1364259330,0.60646355,0.86015445
1364755478,0.61577743,0.86015445
1365255363,0.59245753,0.86015445
1365754383,0.61389583,0.86015445
1366254428,0.6090677,0.86015445
1366754384,0.61143523,0.86015445
1367254429,0.611434,0.86015445
1367754384,0.620052,0.86015445
1368254380,0.594134,0.86015445
1368754729,0.60548174,0.86015445
1369254384,0.6092681,0.86015445
1369754406,0.6189597,0.86015445
1370254420,0.6032145,0.86015445
1370754454,0.6096233,0.86015445
1371254384,0.6089547,0.86015445
1371754545,0.60809565,0.86015445
1372254387,0.60700995,0.86015445
1372759812,0.6155292,0.86015445
1373255583,0.6006019,0.86015445
1373754701,0.6021867,0.86015445
1374254392,0.6152944,0.86015445
1374754587,0.594586,0.86015445
1375254395,0.6146436,0.86015445
1375754384,0.6049304,0.86015445
1376254431,0.5986973,0.86015445
1376754394,0.6116811,0.86015445
1377255693,0.61417246,0.86015445
1377754983,0.600877,0.86015445
1378254408,0.6027051,0.86015445
1378754427,0.6053735,0.86015445
1379254425,0.6060723,0.86015445
1379754381,0.597571,0.86015445
1380254384,0.61547554,0.86015445
1380754423,0.6101252,0.86015445
1381255672,0.6089444,0.86015445
1381755002,0.60244286,0.86015445
1382258765,0.60968554,0.86015445
1382754381,0.60157543,0.86015445
1383254451,0.6096984,0.86015445
1383754385,0.6169585,0.86015445
1384254550,0.5838932,0.86015445
1384754384,0.6094036,0.86015445
1385259208,0.6089447,0.86015445
1385755271,0.62434304,0.86015445
1386254956,0.60607743,0.86015445
1386754384,0.60645944,0.86015445
1387254587,0.606864,0.86015445
1387754387,0.606532,0.86015445
1388256427,0.6038666,0.86015445
1388754388,0.6106491,0.86015445
1389259249,0.6112056,0.86015445
1389755597,0.6048665,0.86015445
1390255033,0.60230374,0.86015445
