timestamp,voltage5v_v,voltage3v3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc
265414165,5.0015626,3.3290038,1,0,1,0,1,0,0
265424175,5.009619,3.3290038,1,0,1,0,1,0,0
265914079,5.0015626,3.3306153,1,0,1,0,1,0,0
266414261,5.0257325,3.3290038,1,0,1,0,1,0,0
266914079,5.024121,3.3306153,1,0,1,0,1,0,0
267414166,5.0257325,3.3322265,1,0,1,0,1,0,0
267914085,4.9967284,3.3290038,1,0,1,0,1,0,0
268414207,5.0273438,3.3290038,1,0,1,0,1,0,0
268914076,4.995117,3.3290038,1,0,1,0,1,0,0
269414079,4.9967284,3.3290038,1,0,1,0,1,0,0
269914079,4.9097166,3.3306153,1,0,1,0,1,0,0
270414159,5.017676,3.3306153,1,0,1,0,1,0,0
270914083,4.999951,3.325781,1,0,1,0,1,0,0
271414229,5.019287,3.3322265,1,0,1,0,1,0,0
271914158,4.9983397,3.3290038,1,0,1,0,1,0,0
272414085,4.9967284,3.3290038,1,0,1,0,1,0,0
272915237,4.9967284,3.3290038,1,0,1,0,1,0,0
273414078,5.0208983,3.3322265,1,0,1,0,1,0,0
273914078,5.0015626,3.3306153,1,0,1,0,1,0,0
274414078,4.92583,3.3306153,1,0,1,0,1,0,0
274914955,5.0257325,3.3290038,1,0,1,0,1,0,0
275414081,4.9177732,3.3290038,1,0,1,0,1,0,0
275914175,4.995117,3.3290038,1,0,1,0,1,0,0
276414079,5.004785,3.3306153,1,0,1,0,1,0,0
276914635,4.9435544,3.3290038,1,0,1,0,1,0,0
277414079,4.995117,3.3290038,1,0,1,0,1,0,0
277914175,4.9967284,3.3273926,1,0,1,0,1,0,0
278414096,4.92583,3.3290038,1,0,1,0,1,0,0
278914097,5.016064,3.3290038,1,0,1,0,1,0,0
279414772,4.9967284,3.3306153,1,0,1,0,1,0,0
279914076,5.0015626,3.3306153,1,0,1,0,1,0,0
280414077,4.995117,3.3290038,1,0,1,0,1,0,0
280914078,5.0257325,3.3290038,1,0,1,0,1,0,0
281414322,4.9129395,3.3290038,1,0,1,0,1,0,0
281914079,4.95,3.3306153,1,0,1,0,1,0,0
282414077,5.054736,3.3306153,1,0,1,0,1,0,0
