timestamp,voltage5v_v,voltage3v3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc
63446074,5.0015626,3.3306153,1,0,1,0,1,0,0
63456086,4.920996,3.3306153,1,0,1,0,1,0,0
63946492,4.999951,3.3273926,1,0,1,0,1,0,0
64446071,5.0225096,3.3322265,1,0,1,0,1,0,0
64946073,4.9322753,3.3290038,1,0,1,0,1,0,0
65446070,4.9967284,3.3290038,1,0,1,0,1,0,0
65946842,5.0080075,3.3322265,1,0,1,0,1,0,0
66446218,4.9983397,3.3338377,1,0,1,0,1,0,0
66946223,5.028955,3.3290038,1,0,1,0,1,0,0
67446208,5.0063963,3.3306153,1,0,1,0,1,0,0
67946415,4.9338865,3.3322265,1,0,1,0,1,0,0
68446187,4.9983397,3.3306153,1,0,1,0,1,0,0
68946186,5.0257325,3.3322265,1,0,1,0,1,0,0
69446173,4.9338865,3.3290038,1,0,1,0,1,0,0
69947027,5.028955,3.3322265,1,0,1,0,1,0,0
70446144,4.9967284,3.3322265,1,0,1,0,1,0,0
70946135,5.024121,3.3306153,1,0,1,0,1,0,0
71446113,4.9983397,3.3322265,1,0,1,0,1,0,0
71946500,5.024121,3.3306153,1,0,1,0,1,0,0
72446068,4.9338865,3.3322265,1,0,1,0,1,0,0
72946135,5.024121,3.3306153,1,0,1,0,1,0,0
73446070,4.999951,3.3306153,1,0,1,0,1,0,0
73946715,4.9483886,3.3290038,1,0,1,0,1,0,0
74446107,5.0354004,3.3306153,1,0,1,0,1,0,0
