timestamp,voltage5v_v,voltage3v3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc
143564105,5.0273438,3.3290038,1,0,1,0,1,0,0
143574084,5.0080075,3.3290038,1,0,1,0,1,0,0
144074101,4.9918942,3.325781,1,0,1,0,1,0,0
144574080,5.003174,3.3290038,1,0,1,0,1,0,0
145074479,4.9918942,3.3290038,1,0,1,0,1,0,0
145574074,4.995117,3.3306153,1,0,1,0,1,0,0
146074079,4.9983397,3.3290038,1,0,1,0,1,0,0
146564076,4.995117,3.3290038,1,0,1,0,1,0,0
147074535,4.914551,3.3306153,1,0,1,0,1,0,0
147574074,4.995117,3.3290038,1,0,1,0,1,0,0
148074075,4.9983397,3.3290038,1,0,1,0,1,0,0
148574073,4.941943,3.3290038,1,0,1,0,1,0,0
149074074,4.995117,3.3306153,1,0,1,0,1,0,0
149574080,4.993506,3.3290038,1,0,1,0,1,0,0
150064080,4.993506,3.3290038,1,0,1,0,1,0,0
150574081,4.9983397,3.3306153,1,0,1,0,1,0,0
151074112,4.9918942,3.3273926,1,0,1,0,1,0,0
151574077,4.9467773,3.3322265,1,0,1,0,1,0,0
152074237,4.9918942,3.3273926,1,0,1,0,1,0,0
152574118,5.0015626,3.3290038,1,0,1,0,1,0,0
153074156,4.9177732,3.3306153,1,0,1,0,1,0,0
153564235,4.995117,3.3273926,1,0,1,0,1,0,0
154074085,5.0208983,3.3290038,1,0,1,0,1,0,0
154574088,4.9193845,3.3290038,1,0,1,0,1,0,0
155074074,4.9918942,3.3306153,1,0,1,0,1,0,0
155574309,4.993506,3.3273926,1,0,1,0,1,0,0
156074077,4.9129395,3.3290038,1,0,1,0,1,0,0
156574074,4.9967284,3.3306153,1,0,1,0,1,0,0
157064073,4.993506,3.3322265,1,0,1,0,1,0,0
157574080,4.92583,3.3306153,1,0,1,0,1,0,0
158074107,5.017676,3.3322265,1,0,1,0,1,0,0
158574075,4.995117,3.325781,1,0,1,0,1,0,0
159074166,4.9097166,3.3290038,1,0,1,0,1,0,0
159574111,4.995117,3.3290038,1,0,1,0,1,0,0
160074790,4.995117,3.3306153,1,0,1,0,1,0,0
160564074,4.951611,3.3322265,1,0,1,0,1,0,0
161074082,4.999951,3.3290038,1,0,1,0,1,0,0
161574091,4.9983397,3.3290038,1,0,1,0,1,0,0
162074074,4.9483886,3.3290038,1,0,1,0,1,0,0
162574074,4.9983397,3.3290038,1,0,1,0,1,0,0
163074078,4.9918942,3.3306153,1,0,1,0,1,0,0
163574073,4.929053,3.3306153,1,0,1,0,1,0,0
164074369,5.017676,3.3290038,1,0,1,0,1,0,0
164574136,4.9967284,3.3306153,1,0,1,0,1,0,0
165074104,4.920996,3.3306153,1,0,1,0,1,0,0
165574080,5.024121,3.3306153,1,0,1,0,1,0,0
166074176,5.0257325,3.3290038,1,0,1,0,1,0,0
166574508,4.9193845,3.3273926,1,0,1,0,1,0,0
167074073,4.995117,3.3290038,1,0,1,0,1,0,0
167564081,5.019287,3.3290038,1,0,1,0,1,0,0
168074089,4.9967284,3.3306153,1,0,1,0,1,0,0
168574603,4.9967284,3.3290038,1,0,1,0,1,0,0
169074073,4.995117,3.3306153,1,0,1,0,1,0,0
169574074,4.930664,3.3322265,1,0,1,0,1,0,0
170074124,4.995117,3.3306153,1,0,1,0,1,0,0
170574075,4.927441,3.3290038,1,0,1,0,1,0,0
171064082,4.9242187,3.3306153,1,0,1,0,1,0,0
171574149,4.9983397,3.3290038,1,0,1,0,1,0,0
172074154,4.9371095,3.3290038,1,0,1,0,1,0,0
172574109,4.9677243,3.3290038,1,0,1,0,1,0,0
173074073,4.995117,3.3322265,1,0,1,0,1,0,0
173574204,4.930664,3.3306153,1,0,1,0,1,0,0
174074080,4.920996,3.3290038,1,0,1,0,1,0,0
174574079,4.9983397,3.3290038,1,0,1,0,1,0,0
175074241,4.882324,3.3290038,1,0,1,0,1,0,0
