timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
18630679,18630216,-0.38876244,1.6727678,-9.676753
18680648,18680169,-0.36060944,1.6689401,-9.668252
18730597,18730121,-0.3865895,1.6665045,-9.663674
18785534,18785068,-0.38557062,1.6734835,-9.668934
18830499,18830028,-0.37875488,1.6551386,-9.647316
18880481,18879991,-0.28279206,1.6215965,-9.69734
18930415,18929942,-0.4149166,1.6449312,-9.6554575
18985340,18984883,-0.27569696,1.6475644,-9.679312
19030301,19029843,-0.50153345,1.739689,-9.508495
19080288,19079792,-0.21670981,1.6289574,-9.66626
19135196,19134738,-0.36415726,1.3809282,-9.727354
19185150,19184691,-0.70090616,1.7260895,-9.987445
19230110,19229652,-0.6538488,1.6203127,-9.898379
19280209,19279603,-0.13510913,1.9184506,-10.257224
19335023,19334550,-0.9376099,1.585949,-9.099963
19384978,19384504,-0.24872403,1.9410356,-10.069604
19434976,19434455,0.06812082,1.9613271,-9.584462
19484864,19484408,-0.8693961,1.7655189,-9.109977
19534816,19534361,0.27151126,1.9790028,-10.000735
19579776,19579318,0.004924557,2.1977012,-9.953932
19634752,19634267,-0.43135577,1.6589906,-9.647145
19684665,19684220,-0.21530576,1.9841156,-10.052051
19734623,19734179,-0.6215218,1.67943,-9.460422
19779594,19779131,-0.3751073,1.5952246,-9.145915
19834552,19834079,-0.22825353,2.1577718,-10.156448
19884500,19884043,-0.28144306,1.5266354,-9.216231
19934470,19933990,-0.45922542,1.9898721,-9.959552
19979402,19978942,-0.12164685,2.160517,-10.325082
20034338,20033891,-0.79440504,1.8222342,-9.312587
20084298,20083848,0.15113166,2.3052557,-10.193092
20134930,20133797,-0.79401094,1.5758666,-9.267415
20179220,20178754,-0.90561086,1.5959878,-9.294765
20234175,20233703,-0.3241299,1.9256688,-9.840837
20284111,20283655,-0.36223245,1.829072,-9.201638
20334085,20333608,0.12887847,1.8896801,-10.291373
20384013,20383560,-0.6462909,1.8801292,-8.900188
20434000,20433520,-0.09421191,1.8226635,-10.254355
20483916,20483466,-0.6264445,1.8940524,-9.539386
20533949,20533432,-0.2178215,1.7897677,-9.676301
20583830,20583385,-0.28793672,2.2428417,-9.827355
20633806,20633344,-0.4100298,1.7564334,-9.321763
20678734,20678281,-0.3845674,1.5961678,-9.968696
20733683,20733229,-0.36798427,2.0149655,-9.100219
20783627,20783182,-0.28340182,1.5560945,-10.036074
20833609,20833146,-0.20248905,2.257665,-9.460422
20883539,20883087,-0.6642555,1.336405,-9.63921
20933560,20933043,-0.22851865,2.383403,-9.866333
20983452,20982992,-0.66220903,1.6139909,-9.561853
21033423,21032961,-0.0855709,2.2904286,-9.821343
21083347,21082898,-0.3926502,1.8224219,-9.670479
21133308,21132852,-0.18359196,1.9120911,-9.453151
21183254,21182805,-0.18596894,2.0856183,-10.085573
21233242,21232756,-0.3208055,1.7260228,-9.2936945
21283155,21282708,-0.11505439,2.2397683,-9.945
21333146,21332661,-0.42768866,1.5523285,-9.674567
21383061,21382613,-0.44714072,2.027739,-9.648122
21433049,21432566,-0.1594893,1.8501179,-10.112977
21482966,21482519,-0.48980296,1.761367,-9.155755
21532957,21532471,0.17990893,2.044089,-10.230232
21582929,21582424,-0.44571587,1.8335737,-9.051522
21632854,21632391,-0.3270102,2.2815628,-10.196797
21682790,21682344,-0.26835775,1.8706983,-9.42105
21732756,21732301,-0.69735795,1.8095497,-9.6039915
21782681,21782235,0.22765641,2.0010092,-9.900348
21832664,21832188,-0.8835049,1.6956239,-9.304934
21882602,21882139,0.39231166,2.2031178,-10.113974
21932546,21932092,-0.7178426,1.6505201,-9.311013
21982501,21982044,-0.06136351,2.1105673,-9.928669
22032467,22031997,-0.48506343,1.7949934,-9.752724
22082409,22081949,-0.37685996,1.746094,-9.42437
22132359,22131902,-0.041083943,2.0126147,-10.207226
22182300,22181854,-0.6439954,1.6913841,-9.12443
22232264,22231807,0.118441194,2.1695004,-10.304727
22282212,22281759,-0.65845835,1.8930819,-9.420692
22332222,22331712,-0.023082873,2.0870616,-9.839726
22382165,22381664,-0.6202151,2.0211382,-9.879196
22432133,22431617,-0.3692506,1.6257113,-9.327226
22482019,22481569,-0.23523715,1.9435627,-10.228417
22531977,22531522,-0.29208875,1.8008473,-9.034893
22581922,22581474,-0.38047022,1.9356042,-10.147049
22631876,22631427,-0.1888812,2.1089876,-9.302428
22681855,22681386,-0.47612327,1.5148145,-9.720293
22731794,22731331,-0.05422618,2.3373406,-9.732929
22781731,22781285,-0.608456,1.4679664,-9.354019
22831686,22831236,0.045636598,2.4060168,-9.937304
22881656,22881191,-0.38626075,1.6894453,-9.608338
22931602,22931141,-0.35522118,1.9927818,-9.613608
22981555,22981094,-0.21939032,1.9226319,-9.987244
23031499,23031047,-0.30066395,1.9034705,-9.270623
23081479,23081015,-0.11703767,2.2462723,-10.073199
23131404,23130952,-0.35584703,1.8412153,-9.218916
23181354,23180909,-0.46386498,2.1466799,-9.838346
23231317,23230856,-0.30874005,1.8118385,-9.622373
23281255,23280809,-0.560498,2.0963616,-9.491163
23336231,23335757,-0.19853953,1.8233432,-9.062253
23381160,23380714,-0.6398823,1.791025,-9.145925
23431122,23430676,0.06636084,2.0756598,-10.270617
23481075,23480620,-0.46047685,1.6493657,-9.151999
23531020,23530570,-0.18841009,1.9873899,-9.82108
23580980,23580525,-0.12555125,1.8658496,-9.870858
23630925,23630477,-0.6638636,1.8624468,-9.070482
23685876,23685426,-0.4903675,1.9117172,-9.709843
23730839,23730393,-0.67532206,1.7501525,-9.017553
23780796,23780335,-0.08304735,2.276217,-10.064885
23830734,23830288,-0.6297869,1.9821873,-9.729139
23885692,23885236,0.09335197,1.7668772,-10.386353
23930640,23930193,-0.21083322,2.1431928,-10.179346
23980616,23980146,-0.4578159,1.8138685,-8.996981
24035559,24035094,-0.18972814,2.0278616,-9.500963
24080518,24080057,-0.68828446,1.9861714,-9.007623
24130464,24130004,-0.39997905,1.8114246,-9.922441
24180416,24179956,-0.24383548,2.3084154,-9.516394
24235350,24234904,0.14944439,1.932509,-9.93729
24280306,24279862,-0.053384673,2.150375,-9.992831
24330271,24329814,-0.11871802,1.9270658,-9.035673
24385211,24384762,0.048138488,2.0718858,-10.236091
24435172,24434715,-0.67727906,1.8615304,-9.48741
24480135,24479672,-0.38196498,1.6175929,-9.641767
24530086,24529625,-0.038360063,1.8841527,-9.484791
24585032,24584573,0.17042565,0.9651484,-10.278523
24634985,24634525,0.059543688,0.32419434,-10.181053
24679940,24679483,-0.3494335,0.27748033,-9.241291
24734890,24734431,0.00066134956,0.34695357,-10.231461
24784836,24784390,-0.80188084,0.019945275,-9.796502
24829866,24829340,-0.4220831,0.37612116,-9.372501
24879749,24879293,0.10261159,0.43917087,-9.579628
24934687,24934241,-0.84434116,-0.2090941,-10.293596
24984640,24984193,-0.019737812,-0.22014858,-9.958875
