timestamp,safety_switch_available,safety_off,override_available,override_enabled
166668919,1,1,0,0
167691926,1,1,0,0
168715085,1,1,0,0
169737908,1,1,0,0
170760911,1,1,0,0
171783911,1,1,0,0
172806982,1,1,0,0
173829917,1,1,0,0
174852908,1,1,0,0
175875908,1,1,0,0
176898908,1,1,0,0
177922031,1,1,0,0
178944951,1,1,0,0
179967908,1,1,0,0
180990908,1,1,0,0
182013908,1,1,0,0
183037008,1,1,0,0
184059908,1,1,0,0
185083464,1,1,0,0
186105908,1,1,0,0
187128908,1,1,0,0
188151908,1,1,0,0
189175080,1,1,0,0
190197938,1,1,0,0
191220908,1,1,0,0
192243942,1,1,0,0
193266915,1,1,0,0
194289914,1,1,0,0
195313399,1,1,0,0
196336382,1,1,0,0
197358922,1,1,0,0
198381908,1,1,0,0
199404991,1,1,0,0
200428113,1,1,0,0
201451776,1,1,0,0
202473990,1,1,0,0
203496908,1,1,0,0
204520110,1,1,0,0
205542908,1,1,0,0
206565908,1,1,0,0
207588908,1,1,0,0
208612124,1,1,0,0
209634951,1,1,0,0
210657908,1,1,0,0
211681163,1,1,0,0
212703908,1,1,0,0
213726910,1,1,0,0
214749908,1,1,0,0
215772911,1,1,0,0
216795908,1,1,0,0
217820393,1,1,0,0
218841908,1,1,0,0
219864952,1,1,0,0
220888124,1,1,0,0
221910908,1,1,0,0
222933981,1,1,0,0
223956908,1,1,0,0
224980087,1,1,0,0
226002908,1,1,0,0
227025912,1,1,0,0
228052578,1,1,0,0
229074659,1,1,0,0
230094951,1,1,0,0
231117908,1,1,0,0
232140908,1,1,0,0
233163988,1,1,0,0
234186908,1,1,0,0
235209908,1,1,0,0
236232908,1,1,0,0
237255911,1,1,0,0
238278908,1,1,0,0
239302534,1,1,0,0
240325417,1,1,0,0
241347909,1,1,0,0
242370908,1,1,0,0
243393912,1,1,0,0
244416951,1,1,0,0
245440844,1,1,0,0
246462910,1,1,0,0
247486103,1,1,0,0
248508908,1,1,0,0
249531908,1,1,0,0
250555372,1,1,0,0
