timestamp,safety_switch_available,safety_off,override_available,override_enabled
1635118024,1,1,0,0
1636125705,1,1,0,0
1637143389,1,1,0,0
1638148424,1,1,0,0
1639158740,1,1,0,0
1640173765,1,1,0,0
1641176530,1,1,0,0
1642184101,1,1,0,0
1643196778,1,1,0,0
1644199433,1,1,0,0
1645207000,1,1,0,0
1646207110,1,1,0,0
1647217356,1,1,0,0
1648227604,1,1,0,0
1649235182,1,1,0,0
1650245202,1,1,0,0
1651257874,1,1,0,0
1652275665,1,1,0,0
1653293266,1,1,0,0
1654300855,1,1,0,0
1655308666,1,1,0,0
1656321192,1,1,0,0
1657326305,1,1,0,0
