timestamp,safety_switch_available,safety_off,override_available,override_enabled
78240984,1,1,0,0
79253364,1,1,0,0
80260848,1,1,0,0
81275982,1,1,0,0
82285894,1,1,0,0
83295963,1,1,0,0
84300915,1,1,0,0
85308395,1,1,0,0
86320966,1,1,0,0
87328372,1,1,0,0
88338295,1,1,0,0
89353387,1,1,0,0
90363488,1,1,0,0
91378390,1,1,0,0
92398372,1,1,0,0
93408347,1,1,0,0
94413386,1,1,0,0
95423452,1,1,0,0
96430759,1,1,0,0
97433213,1,1,0,0
98443213,1,1,0,0
99453223,1,1,0,0
100465741,1,1,0,0
101478225,1,1,0,0
102483254,1,1,0,0
103485678,1,1,0,0
104493246,1,1,0,0
105508196,1,1,0,0
106523213,1,1,0,0
107535693,1,1,0,0
108550597,1,1,0,0
109560629,1,1,0,0
110570632,1,1,0,0
111583122,1,1,0,0
112590618,1,1,0,0
113598036,1,1,0,0
114615564,1,1,0,0
