timestamp,safety_switch_available,safety_off,override_available,override_enabled
1332352905,1,1,0,0
1333376320,1,1,0,0
1334398908,1,1,0,0
1335421905,1,1,0,0
1336444905,1,1,0,0
1337467907,1,1,0,0
1338490905,1,1,0,0
1339514937,1,1,0,0
1340536905,1,1,0,0
1341559905,1,1,0,0
1342582907,1,1,0,0
1343605905,1,1,0,0
1344628905,1,1,0,0
1345652794,1,1,0,0
1346674905,1,1,0,0
1347697905,1,1,0,0
1348720905,1,1,0,0
1349746253,1,1,0,0
1350766905,1,1,0,0
1351789905,1,1,0,0
1352814360,1,1,0,0
1353835905,1,1,0,0
1354859993,1,1,0,0
1355881990,1,1,0,0
1356904905,1,1,0,0
1357927949,1,1,0,0
1358951155,1,1,0,0
1359973952,1,1,0,0
1360996905,1,1,0,0
1362019905,1,1,0,0
1363042911,1,1,0,0
1364066331,1,1,0,0
1365089015,1,1,0,0
1366111909,1,1,0,0
1367134972,1,1,0,0
1368159623,1,1,0,0
1369180905,1,1,0,0
1370203952,1,1,0,0
1371227889,1,1,0,0
1372250370,1,1,0,0
1373272905,1,1,0,0
1374295905,1,1,0,0
1375318914,1,1,0,0
1376341905,1,1,0,0
1377369243,1,1,0,0
1378388089,1,1,0,0
1379410905,1,1,0,0
1380434137,1,1,0,0
1381456906,1,1,0,0
1382479917,1,1,0,0
1383503618,1,1,0,0
1384526685,1,1,0,0
1385549429,1,1,0,0
1386571906,1,1,0,0
1387594905,1,1,0,0
1388617905,1,1,0,0
1389640905,1,1,0,0
1390664217,1,1,0,0
1391688222,1,1,0,0
1392710670,1,1,0,0
1393732930,1,1,0,0
1394755905,1,1,0,0
1395778906,1,1,0,0
1396801908,1,1,0,0
1397829442,1,1,0,0
1398848240,1,1,0,0
1399870906,1,1,0,0
1400894202,1,1,0,0
1401916905,1,1,0,0
1402939948,1,1,0,0
1403962908,1,1,0,0
1404986814,1,1,0,0
1406009331,1,1,0,0
1407031905,1,1,0,0
1408054910,1,1,0,0
1409077905,1,1,0,0
1410100905,1,1,0,0
1411124344,1,1,0,0
1412146905,1,1,0,0
1413169905,1,1,0,0
1414192908,1,1,0,0
1415215908,1,1,0,0
1416238965,1,1,0,0
1417261911,1,1,0,0
1418289344,1,1,0,0
1419309144,1,1,0,0
1420330905,1,1,0,0
1421354825,1,1,0,0
1422376908,1,1,0,0
1423400085,1,1,0,0
1424422905,1,1,0,0
1425446475,1,1,0,0
1426469078,1,1,0,0
1427491905,1,1,0,0
1428515066,1,1,0,0
1429537905,1,1,0,0
1430560905,1,1,0,0
1431584118,1,1,0,0
1432606905,1,1,0,0
1433630261,1,1,0,0
1434652908,1,1,0,0
1435675905,1,1,0,0
1436698905,1,1,0,0
1437721913,1,1,0,0
1438745080,1,1,0,0
