timestamp,safety_switch_available,safety_off,override_available,override_enabled
142918499,1,1,0,0
143930863,1,1,0,0
144938187,1,1,0,0
145945499,1,1,0,0
146950266,1,1,0,0
147957651,1,1,0,0
148962545,1,1,0,0
149977361,1,1,0,0
150984802,1,1,0,0
151992013,1,1,0,0
152996832,1,1,0,0
154004224,1,1,0,0
155016573,1,1,0,0
156024001,1,1,0,0
157031251,1,1,0,0
158046148,1,1,0,0
159060973,1,1,0,0
160073315,1,1,0,0
161083197,1,1,0,0
162095565,1,1,0,0
163102924,1,1,0,0
164112700,1,1,0,0
165125014,1,1,0,0
166137374,1,1,0,0
167157302,1,1,0,0
168167147,1,1,0,0
169179493,1,1,0,0
170199381,1,1,0,0
171206673,1,1,0,0
172211567,1,1,0,0
173228902,1,1,0,0
174238798,1,1,0,0
175243605,1,1,0,0
