timestamp,timestamp_sample,yaw_composite,yaw_variance,yaw[0],yaw[1],yaw[2],yaw[3],yaw[4],innov_vn[0],innov_vn[1],innov_vn[2],innov_vn[3],innov_vn[4],innov_ve[0],innov_ve[1],innov_ve[2],innov_ve[3],innov_ve[4],weight[0],weight[1],weight[2],weight[3],weight[4]
30018608,30016924,2.4946923,3.5532022,-2.519516,-1.2628758,-0.006229715,1.25041,2.5070398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
30028280,30026912,2.532048,3.5536916,-2.5199094,-1.263269,-0.006620346,1.2500204,2.5066485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
31017389,31015957,2.592011,3.5321717,-2.5350695,-1.2774765,-0.016003447,1.2426629,2.4957194,-0.12097342,-0.016721815,0.11896004,0.09768301,-0.050284803,-0.063729815,-0.17234813,-0.10631053,0.04286596,0.06871386,0.20079532,0.1984686,0.19825776,0.2004512,0.20202717
32026973,32024983,2.4733295,3.4676464,-2.5329475,-1.2724775,-0.0040382077,1.2560074,2.5029917,-0.22834048,-0.03347815,0.24227044,0.2136949,-0.07498496,-0.045149244,-0.27148247,-0.15360656,0.14321211,0.20827715,0.2014103,0.19573015,0.1959349,0.20174623,0.20517851
33026147,33024017,2.4302223,3.3997948,-2.5300493,-1.2667599,0.0077131875,1.2685854,2.510126,-0.36052337,-0.07085643,0.3250706,0.26997817,-0.14845105,-0.04630629,-0.36775678,-0.18550362,0.24281278,0.32405302,0.2018348,0.19294687,0.19375215,0.20317434,0.20829192
34024495,34023061,2.3714862,3.330702,-2.5263426,-1.259954,0.019271992,1.2798843,2.5166185,-0.45693508,-0.06895304,0.4183164,0.31580064,-0.21556473,-0.0739539,-0.46016517,-0.20030466,0.3351436,0.40630567,0.20173575,0.18993339,0.19190872,0.20506445,0.21135776
35023765,35022083,2.3894067,3.245223,-2.521605,-1.2538903,0.029010646,1.2904646,2.5241408,-0.51340127,-0.042159114,0.50247115,0.34804106,-0.26647624,-0.1109441,-0.5313762,-0.19952384,0.40943903,0.45589337,0.2023183,0.18733858,0.1896408,0.20624816,0.21445417
36027461,36026109,2.3786392,3.198235,-2.5148056,-1.2467165,0.036282305,1.2974111,2.530805,-0.5751789,-0.02758009,0.5667773,0.36496428,-0.32544303,-0.14977658,-0.5984277,-0.20099495,0.47375396,0.49667275,0.2021658,0.18640386,0.18916917,0.20690669,0.21535447
37027356,37025140,2.5984735,3.126931,-2.5474863,-1.2833474,0.0013427017,1.2673802,2.5020974,-0.54933757,0.0429786,0.62369823,0.3662226,-0.34176302,-0.15850928,-0.578343,-0.12777627,0.5489756,0.5202201,0.20711347,0.18709284,0.18487619,0.2032422,0.21767525
38026182,38024170,2.8274837,3.476347,-2.755087,-1.4962178,-0.22172962,1.0436298,2.2877545,-0.60548395,0.015417268,0.62426823,0.36059925,-0.38974547,-0.19721499,-0.6340054,-0.16721697,0.5478134,0.52020466,0.20707473,0.1976777,0.19158618,0.19701675,0.2066447
39025121,39023201,-2.5280716,3.2647135,-2.731052,-1.4733722,-0.2045529,1.0586687,2.307013,-0.6203189,-0.006063085,0.55284625,0.26825827,-0.4482264,-0.1623065,-0.549466,-0.07532361,0.59546304,0.53436553,0.20445976,0.20422082,0.19804111,0.19466539,0.19861291
40023636,40022232,2.353795,3.1423619,-2.7223134,-1.4589022,-0.18152206,1.0810097,2.3206294,-0.6199168,0.0058350014,0.63929677,0.38586038,-0.38003603,-0.2067375,-0.6698613,-0.20506413,0.53043103,0.52112204,0.20353746,0.19221626,0.19162093,0.20252427,0.21010104
41018149,41016269,2.2794528,3.0940373,-2.7134483,-1.4488164,-0.1694075,1.0930938,2.3307297,-0.64672637,0.0018853317,0.65504473,0.38833076,-0.40172637,-0.21136023,-0.68819046,-0.20387651,0.55450064,0.54067147,0.20339544,0.18859933,0.18942495,0.2047839,0.21379639
42027169,42025293,2.288857,3.0646482,-2.7046726,-1.4398578,-0.15969633,1.1030616,2.3401241,-0.637993,0.032148674,0.6778912,0.38485545,-0.4127027,-0.22047149,-0.68335783,-0.1735151,0.58462435,0.5466807,0.2038285,0.18702854,0.18797563,0.20543362,0.21573372
42416258,42414917,2.2601242,3.0636697,-2.7013125,-1.436253,-0.15614288,1.1063393,2.343288,-0.642778,0.032811172,0.67156374,0.36896378,-0.42762092,-0.2347578,-0.6886367,-0.1708839,0.58303446,0.5347732,0.2032858,0.18661502,0.18822585,0.20603593,0.21583737
