timestamp,yaw_composite,yaw_variance,yaw[0],yaw[1],yaw[2],yaw[3],yaw[4],innov_vn[0],innov_vn[1],innov_vn[2],innov_vn[3],innov_vn[4],innov_ve[0],innov_ve[1],innov_ve[2],innov_ve[3],innov_ve[4],weight[0],weight[1],weight[2],weight[3],weight[4]
152556218,-0.077465974,3.559034,-2.5135162,-1.2568791,-0.00024208082,1.256395,2.513032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
152566241,1.139446,3.5667384,-2.5135608,-1.2569236,-0.0002865234,1.2563505,2.5129876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
152756687,-1.858555,3.9146674,-2.5137553,-1.2571391,-0.00050925714,1.2561445,2.512799,0.016693516,0.017111307,0.02290316,0.02606491,0.022227133,0.0046895123,-0.0012646015,-0.002707169,0.0023554268,0.006926824,0.20000722,0.20000754,0.19999737,0.19999084,0.19999695
152957149,-1.526484,3.625584,-2.5136573,-1.2570405,-0.00041701048,1.256232,2.5128896,-0.0010491436,0.00023102539,-0.0023235912,-0.005182661,-0.0043950425,-0.011436323,-0.008334227,-0.0061580027,-0.007915139,-0.011177328,0.20000514,0.20000903,0.20000038,0.19999126,0.19999422
153157616,-1.5258687,3.625291,-2.5131693,-1.2565875,1.2512219e-05,1.2566823,2.5133762,-0.010478668,-0.00626865,-0.013687223,-0.022482354,-0.02049949,-0.0064399336,0.0027285214,0.009565892,0.0046232035,-0.005268983,0.20001404,0.20002462,0.2000011,0.19997612,0.19998412
153358081,-1.3513179,3.561467,-2.5127811,-1.2562484,0.0002975294,1.2569828,2.5137405,-0.005463939,-0.0073157153,-0.018280407,-0.02320553,-0.015284417,-0.020415273,-0.009488004,-0.0078719035,-0.017800894,-0.025553167,0.2000208,0.20005208,0.20001133,0.19995494,0.19996084
153558547,-1.2438203,3.5524187,-2.5131235,-1.2566084,-9.671112e-05,1.256585,2.5133748,-0.0070653334,-0.0029864141,0.007984542,0.010688053,0.0013850082,0.013467895,0.0032579312,0.0039810436,0.014639662,0.020503797,0.20001973,0.20006607,0.20002106,0.19994697,0.19994618
153759020,-0.48900068,3.789849,-2.513275,-1.256695,-0.00039262118,1.256095,2.5129743,0.025148407,0.029041398,-0.00215607,-0.025337404,-0.008460702,-0.044530883,-0.010460928,0.0037734564,-0.021500163,-0.051357802,0.19993651,0.20010471,0.20012817,0.19997452,0.19985612
153959479,-0.43903115,3.742804,-2.5142992,-1.2576977,-0.0013680799,1.2551148,2.5119643,0.009019708,-3.936002e-05,-0.010320041,-0.0076197633,0.0043345164,0.010361363,0.018228607,0.01204719,0.0003576544,-0.0006865286,0.19993512,0.20009257,0.20012206,0.19998288,0.19986738
154159945,-0.53393596,3.834357,-2.5147636,-1.2581899,-0.0018656735,1.2546415,2.5115113,0.0015100995,-0.007120977,-0.012536963,-0.007255609,0.0014273291,-0.005577704,-0.002687485,-0.010000588,-0.017413065,-0.014680229,0.19994657,0.2001022,0.20011653,0.19996987,0.19986486
