timestamp,yaw_composite,yaw_variance,yaw[0],yaw[1],yaw[2],yaw[3],yaw[4],innov_vn[0],innov_vn[1],innov_vn[2],innov_vn[3],innov_vn[4],innov_ve[0],innov_ve[1],innov_ve[2],innov_ve[3],innov_ve[4],weight[0],weight[1],weight[2],weight[3],weight[4]
274121379,-1.4247315,3.5751138,-2.518658,-1.2625335,-0.006302126,1.2505989,2.507805,-0.04252495,-0.0040238276,0.05225797,0.048564725,-0.010039449,0.006406985,-0.040253416,-0.018077303,0.042327605,0.057464607,0.20011605,0.20024927,0.20003858,0.19977392,0.1998222
274321841,-1.4953884,3.6015763,-2.5193162,-1.2633597,-0.0072049224,1.2498165,2.5071738,-0.027308635,-0.0046074837,0.045406938,0.053647075,0.008680463,0.017819576,-0.027387198,-0.019791294,0.030148659,0.053402204,0.20016834,0.20031501,0.20002693,0.19970097,0.19978875
274522324,-1.644117,3.6918368,-2.5206485,-1.2646991,-0.008441248,1.2486516,2.5059497,-0.019236293,-0.028954037,-0.006935153,0.016427781,0.0088170525,-0.0011136215,-0.027433937,-0.044826746,-0.029248603,-0.00221421,0.20019959,0.20028976,0.19998017,0.1996973,0.19983327
274722763,-1.4259202,3.5665226,-2.5204859,-1.26551,-0.010185135,1.2473042,2.505781,0.021331392,-0.006031178,0.06810689,0.14138666,0.11243952,0.08285036,-0.004010182,-0.05692762,-0.0027328543,0.083702214,0.20036928,0.20079808,0.20012374,0.19927855,0.19943038
274923224,-1.1869272,3.527633,-2.5208776,-1.2680591,-0.0157198,1.2420764,2.503736,0.11765719,-0.014422908,0.02729252,0.18555467,0.24146014,0.11865087,0.031641934,-0.1209621,-0.12848888,0.019875873,0.20050043,0.20218077,0.20084023,0.19834328,0.19813524
275123686,-1.3675679,3.5161827,-2.5166483,-1.2665038,-0.015474046,1.2442007,2.5083227,0.08319043,0.054164186,0.14267603,0.2272409,0.19034116,0.058667846,-0.044119984,-0.10383193,-0.037983745,0.06294249,0.20131628,0.20326193,0.20068282,0.19717568,0.19756325
275324149,-1.1968701,3.491364,-2.5124545,-1.2635375,-0.015415556,1.2436656,2.5103693,-0.15242481,0.12738311,0.15728681,-0.10599731,-0.2986108,-0.2124286,-0.15112853,0.13393131,0.25149518,0.035756487,0.20105821,0.20438685,0.20162167,0.1966379,0.19629543
275524615,-1.1911802,3.4907575,-2.5044668,-1.255749,-0.007747943,1.2514588,2.5183527,-0.15242481,0.12738311,0.15728681,-0.10599731,-0.2986108,-0.2124286,-0.15112853,0.13393131,0.25149518,0.035756487,0.20105821,0.20438685,0.20162167,0.1966379,0.19629543
275725070,-0.6924451,3.5345724,-2.4885955,-1.2497022,-0.04252772,1.2022104,2.499889,-0.43648505,-0.33475134,-0.14168859,-0.11060126,-0.29911363,0.04230646,-0.12888479,-0.092823096,0.107380256,0.19780466,0.19362319,0.21901977,0.21778388,0.19176014,0.177813
275915509,-0.7171705,3.5345604,-2.513291,-1.2743993,-0.06721925,1.1775283,2.475204,-0.43648505,-0.33475134,-0.14168859,-0.11060126,-0.29911363,0.04230646,-0.12888479,-0.092823096,0.107380256,0.19780466,0.19362319,0.21901977,0.21778388,0.19176014,0.177813
